no. of analyses,Year,Lat oN,Long oE,Min. Depth (mbls.),Max. Depth (mbls.),Depth,cellsPer_rounded,cellsPer,S.D. (cells/gram or cells/mL),MethodTC,MethodDescription,MethodCM,T (oC),pH,Eh,Salinity (M),Ionic Strength (M),SOC  (ppm),DOC (ppm),NH4 or N (ppm),NO3 (ppm),porosity (%),conductivity (m/sec),Biomass Correlation?,Most Abundance Isolates or Phyla,gas concentrations,Sample_Type,Simplified_Rock_Type,rock type,Formation,Formation age,Citation,Na (M),Cl (M),Ca (M),Unnamed: 36,TDS ppm,meanHF,medianHF,mast,tcon,z85med,z122med,z85mean,z122mean,rechargeFull,rechargeType,rechargeVolume,crustTypeCompleteInfo,crustTypeMin1,crustType,crustTypeFull,crustScheme2,combined_cv,combined_cr_icefull,combined_cr,rechargeShort,crust,lat_grid,lon_grid,gradient
1,1951.0,52.6333,49.0,300.0,2093,560.0,35000000.0,35000000.0,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,Vitorye Baku,,Ekzertsev 1951 Mikrobiologiya 20:324-329; Ekzertsev 1956,,,,,,46.0,46.0,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton,52.5,49.0,33.1187629699707
1,1951.0,52.6333,49.0,,,675.0,94000000.0,94000000.0,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46.0,46.0,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton,52.5,49.0,33.1187629699707
1,1951.0,52.6333,49.0,,,588.0,105000000.0,105000000.0,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46.0,46.0,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton,52.5,49.0,33.1187629699707
1,1951.0,52.6333,49.0,,,730.0,117000000.0,117000000.0,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46.0,46.0,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton,52.5,49.0,33.1187629699707
1,1951.0,52.6333,49.0,,,748.0,70000000.0,70000000.0,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46.0,46.0,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton,52.5,49.0,33.1187629699707
1,1951.0,52.6333,49.0,,,1910.0,47000000.0,47000000.0,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46.0,46.0,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton,52.5,49.0,33.1187629699707
1,1951.0,52.6333,49.0,,,872.0,23000000.0,23000000.0,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46.0,46.0,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton,52.5,49.0,33.1187629699707
1,1951.0,52.6333,49.0,,,1018.0,12000000.0,12000000.0,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46.0,46.0,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton,52.5,49.0,33.1187629699707
1,1951.0,52.6333,49.0,,,1078.0,35000000.0,35000000.0,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46.0,46.0,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton,52.5,49.0,33.1187629699707
1,1951.0,52.6333,49.0,,,1085.0,70000000.0,70000000.0,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46.0,46.0,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton,52.5,49.0,33.1187629699707
1,1951.0,52.6333,49.0,,,2090.0,70000000.0,70000000.0,,cell counts,,direct,,,,,,,,,,,,,,,core,sandstone,sandstone,,,,,,,,,46.0,46.0,4.518518519,2.5,4.373993559,6.384863124,4.373993559,6.384863124,major_20-100_mm/a,major,low,G1,Archaean,Archaean_and_Proterozoic,D-,Craton,Craton low,Craton major,Craton major,major low,Craton,52.5,49.0,33.1187629699707
1,1983.0,34.7003,-96.4319,1.0,8,1.2,6800000.0,6800000.0,4.90E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,"1,200",,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",Quaternary,"Wilson et al. Ground Water 21:134-142, 1983; ",,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
1,1983.0,34.7003,-96.4319,,,3.0,3400000.0,3400000.0,2.30E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,400,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
1,1983.0,34.7003,-96.4319,,,5.0,6800000.0,6800000.0,4.30E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,400,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
1,1983.0,34.7003,-96.4319,,,1.2,9800000.0,9800000.0,1.30E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,"1,200",,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
1,1983.0,34.7003,-96.4319,,,3.0,3700000.0,3700000.0,1.10E+06,AODC,cells desorbed with Na pyrophosphate ,direct,17.0,5.4,,,,400,,,,,,,,,core,"clay, sand, gravel, and/or silt",sand,"Lula, Oklahoma site",,,,,,,,55.4500008,53.5,15.125,2.5,3.265186916,4.994158879,3.15036064,4.818530138,shallow_>=100_mm/a,shallow,high,H1,Proterozoic,Archaean_and_Proterozoic,H1,Craton,Craton high,Craton shallow,Craton shallow,shallow high,Craton,34.5,-96.5,30.4173913043478
