FID,Longitude,Latitude,Mean_HF,Median_HF,MEAN_Annual_Temp,Therm_Cond__W_per_m_K,Z85_Med_HF_km,Z122_Med_HF_km,Z85_Mean_HF_km,Z122_Mean_HF_km,rechargeDepth,Descriptio,rechargeVolume,grid_area_m2,crustTypeFull,crustType,crustTypeMin1,crustScheme2,combined_cv,combined_cr,rechargeShort,lat_int,lon_int,gradient,maxdepth
3790,-24.545,83,86.0599976,86.0599976,-18.75342466,2.5,3.01398523,4.088816773,3.01398523,4.088816773,shallow,shallow_<100_mm/a,low,49311931613,S-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow low,83,-24,47.81155776977539,2.4628712881141035
3789,-40.909,83,60.7400017,60.7400017,-21.77142857,2.5,4.394609219,5.917493602,4.394609219,5.917493602,shallow,shallow_<100_mm/a,low,49311928599,T-,Continental_shelf/slope,Margin-continent/shield_transition,Extended_Crust,Extended_Crust low,Extended_Crust shallow,shallow low,83,-40,45.02999877929688,2.61466880548935
3788,-57.273,83,59.7200012,59.7200012,-18.55263158,2.5,4.334922534,5.883817346,4.334922534,5.883817346,shallow,shallow_<100_mm/a,low,49311928599,C-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow low,83,-57,48.15876770019531,2.4451515366713856
3787,-73.636,83,71.0699997,63.3899994,-22.21126761,2.5,4.228240599,5.68746131,3.771326441,5.072860145,shallow,shallow_<100_mm/a,low,49311952707,C-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow low,83,-73,46.890262603759766,2.511158556295419
3786,-90.0,83,72.8600006,61.3300018,-22.38461538,2.5,4.377328071,5.88556217,3.684621689,4.954179735,shallow,shallow_<100_mm/a,low,49311952707,A1,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow low,83,-90,55.624061584472656,2.117577158677184
3785,96.429,81,65.7900009,65.7900009,-19.15625,2.5,3.957905783,5.363894515,3.957905783,5.363894515,shallow,shallow_<100_mm/a,low,49734154345,S-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow low,81,96,47.43247604370117,2.4825132166797133
3784,83.571,81,69.1100006,61.9399986,-15.5,2.5,4.056344942,5.549725666,3.635508578,4.973954522,shallow,shallow_<100_mm/a,low,49734154345,C-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow low,81,83,43.381439208984375,2.7138016161989915
3783,70.714,81,69.1900024,62.2900009,-15.5,2.5,4.033552679,5.518542222,3.631304976,4.968203325,shallow,shallow_<100_mm/a,low,49734154345,S-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow low,81,70,49.2529525756836,2.390941044895844
3782,57.857,81,76.1399994,63.6500015,-14.64285714,2.5,3.913702074,5.366962055,3.271698776,4.486566135,shallow,shallow_<100_mm/a,low,49734158213,T-,Continental_shelf/slope,Margin-continent/shield_transition,Extended_Crust,Extended_Crust low,Extended_Crust shallow,shallow low,81,57,29.90225601196289,4.504520357231233
3781,45.0,81,70.4499969,61.7200012,-12.22727273,2.5,3.93824007,5.436943864,3.450222747,4.763210739,shallow,shallow_<100_mm/a,low,49734096322,C-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow low,81,45,44.98005294799805,2.617565692216877
3780,32.143,81,65.3899994,65.3899994,-8.428571429,2.5,3.571974778,4.986564177,3.571974778,4.986564177,shallow,shallow_<100_mm/a,low,49734154345,S-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow low,81,32,64.51403045654297,1.826228748868444
3779,19.286,81,71.1200027,71.1200027,-9.066666667,2.5,3.306617797,4.607236421,3.306617797,4.607236421,shallow,shallow_<100_mm/a,low,49734154345,A1,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,shallow low,81,19,63.60325622558594,1.8523385928992149
3778,-6.429,81,249.8899994,249.8899994,-13.85714286,2.5,0.989006594,1.359169466,0.989006594,1.359169466,icesheet,ice_sheet,ice,49734154345,A1,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,ice,Continental_shelf/slope,icesheet ice,81,-6,83.32672882080078,1.414414800482733
3777,-19.286,81,69.0,69.0,-17.04347826,2.5,3.697227473,5.037807183,3.697227473,5.037807183,shallow,shallow_<100_mm/a,low,49734154345,Z1,Phanerozoic_and_arcs,Phanerozoic,orogen,orogen,orogen shallow,shallow low,81,-19,29.36355781555176,4.527677164494936
3776,-32.143,81,71.3199997,80.0699997,-22.12745098,2.5,2.653927823,3.809166993,2.979528896,4.276500298,icesheet,ice_sheet,ice,49734096322,H1,Archaean_and_Proterozoic,Proterozoic,Craton,ice,Craton icesheet,icesheet ice,81,-32,23.157325744628903,5.7266958844465865
3775,-45.0,81,70.3000031,89.1699982,-23.58415842,2.5,2.383088531,3.42043295,3.022759468,4.338548884,icesheet,ice_sheet,ice,49734158213,H1,Archaean_and_Proterozoic,Proterozoic,Craton,ice,Craton icesheet,icesheet ice,81,-45,23.49832534790039,5.674133288367577
3774,-57.857,81,72.8499985,71.1500015,-19.10679612,2.2,2.62825012,3.772311937,2.566918378,3.684282849,icesheet,ice_sheet,ice,49734154345,H1,Archaean_and_Proterozoic,Proterozoic,Craton,ice,Craton icesheet,icesheet ice,81,-57,24.437175750732425,5.465995737447353
3773,-70.714,81,68.8099976,66.2200012,-20.04166667,2.5,3.965632164,5.362491094,3.816366456,5.160647857,shallow,shallow_<100_mm/a,low,49734123399,Z1,Phanerozoic_and_arcs,Phanerozoic,orogen,orogen,orogen shallow,shallow low,81,-70,24.42619514465332,5.438287119937834
3772,-83.571,81,44.2599983,44.5,-23.20792079,2.5,6.079096674,8.157748359,6.112060831,8.201984092,shallow,shallow_<100_mm/a,low,49734127267,Z1,Phanerozoic_and_arcs,Phanerozoic,orogen,orogen,orogen shallow,shallow low,81,-83,25.902721405029297,5.108667372477674
