Latitude,Longitude,Mean_Temperature_C
-89.5,-179.5,-42.9694120625
-89.5,-178.5,-42.9609584375
-89.5,-177.5,-42.9534091875
-89.5,-176.5,-42.9464626875
-89.5,-175.5,-42.939564625
-89.5,-174.5,-42.932374875
-89.5,-173.5,-42.92519
-89.5,-172.5,-42.9181920625
-89.5,-171.5,-42.9129341875
-89.5,-170.5,-42.907612875
-89.5,-169.5,-42.9043185
-89.5,-168.5,-42.901946125
-89.5,-167.5,-42.8993740625
-89.5,-166.5,-42.896655875
-89.5,-165.5,-42.893900875
-89.5,-164.5,-42.891011125
-89.5,-163.5,-42.888141625
-89.5,-162.5,-42.8847045625
-89.5,-161.5,-42.88111525
-89.5,-160.5,-42.8773519375
-89.5,-159.5,-42.874136
-89.5,-158.5,-42.872366125
-89.5,-157.5,-42.8713580625
-89.5,-156.5,-42.8705750625
-89.5,-155.5,-42.8699340625
-89.5,-154.5,-42.8691816875
-89.5,-153.5,-42.8685501875
-89.5,-152.5,-42.8676653125
-89.5,-151.5,-42.866882125000004
-89.5,-150.5,-42.86595625
-89.5,-149.5,-42.865376375000004
-89.5,-148.5,-42.864492
-89.5,-147.5,-42.8634844375
-89.5,-146.5,-42.8624055625
-89.5,-145.5,-42.8612988125
-89.5,-144.5,-42.8600665
-89.5,-143.5,-42.8587259375
-89.5,-142.5,-42.85727875
-89.5,-141.5,-42.8557435
-89.5,-140.5,-42.8541256875
-89.5,-139.5,-42.8524168125
-89.5,-138.5,-42.8492229375
-89.5,-137.5,-42.845287375
-89.5,-136.5,-42.8407486875
-89.5,-135.5,-42.836038375
-89.5,-134.5,-42.831207375
-89.5,-133.5,-42.826304125
-89.5,-132.5,-42.821430125
-89.5,-131.5,-42.81647675
-89.5,-130.5,-42.81149175
-89.5,-129.5,-42.8055803125
-89.5,-128.5,-42.798461875
-89.5,-127.5,-42.7915745625
-89.5,-126.5,-42.78463725
-89.5,-125.5,-42.77769
-89.5,-124.5,-42.7707930625
-89.5,-123.5,-42.763843625
-89.5,-122.5,-42.7569274375
-89.5,-121.5,-42.7505073125
-89.5,-120.5,-42.7441816875
-89.5,-119.5,-42.739065
-89.5,-118.5,-42.732931125
-89.5,-117.5,-42.726124
-89.5,-116.5,-42.7192290625
-89.5,-115.5,-42.71239225
-89.5,-114.5,-42.704680625
-89.5,-113.5,-42.696521625
-89.5,-112.5,-42.688222125
-89.5,-111.5,-42.6800851875
-89.5,-110.5,-42.671997187500004
-89.5,-109.5,-42.6634129375
-89.5,-108.5,-42.656108
-89.5,-107.5,-42.6492510625
-89.5,-106.5,-42.6424464375
-89.5,-105.5,-42.635598875
-89.5,-104.5,-42.628855125
-89.5,-103.5,-42.622283125
-89.5,-102.5,-42.6162300625
-89.5,-101.5,-42.6101569375
-89.5,-100.5,-42.6047079375
-89.5,-99.5,-42.5980731875
-89.5,-98.5,-42.5908200625
-89.5,-97.5,-42.5836993125
-89.5,-96.5,-42.576527875000004
-89.5,-95.5,-42.568909625
-89.5,-94.5,-42.561330625
-89.5,-93.5,-42.5537928125
-89.5,-92.5,-42.5462645625
-89.5,-91.5,-42.538715375
-89.5,-90.5,-42.530822625
-89.5,-89.5,-42.5205995625
-89.5,-88.5,-42.5115365
-89.5,-87.5,-42.502542375
-89.5,-86.5,-42.493651
-89.5,-85.5,-42.484802375
-89.5,-84.5,-42.4752511875
-89.5,-83.5,-42.4657810625
-89.5,-82.5,-42.4562178125
-89.5,-81.5,-42.4467268125
-89.5,-80.5,-42.437326375
-89.5,-79.5,-42.4260140625
-89.5,-78.5,-42.41548625
-89.5,-77.5,-42.4050721875
-89.5,-76.5,-42.3944700625
-89.5,-75.5,-42.3838204375
-89.5,-74.5,-42.373361625
-89.5,-73.5,-42.362742374999996
-89.5,-72.5,-42.35224425
-89.5,-71.5,-42.34246825
-89.5,-70.5,-42.332579625
-89.5,-69.5,-42.3226325625
-89.5,-68.5,-42.3126115
-89.5,-67.5,-42.30259325
-89.5,-66.5,-42.292592937500004
-89.5,-65.5,-42.2826224375
-89.5,-64.5,-42.272603125
-89.5,-63.5,-42.2628373125
-89.5,-62.5,-42.25304175
-89.5,-61.5,-42.24377425
-89.5,-60.5,-42.234333875
-89.5,-59.5,-42.2245990625
-89.5,-58.5,-42.2170201875
-89.5,-57.5,-42.21002
-89.5,-56.5,-42.204153
-89.5,-55.5,-42.1980790625
-89.5,-54.5,-42.190937875
-89.5,-53.5,-42.1835756875
-89.5,-52.5,-42.1762209375
-89.5,-51.5,-42.168833625
-89.5,-50.5,-42.161510375
-89.5,-49.5,-42.1541136875
-89.5,-48.5,-42.148610437500004
-89.5,-47.5,-42.1434915625
-89.5,-46.5,-42.13844675
-89.5,-45.5,-42.1332710625
-89.5,-44.5,-42.1282146875
-89.5,-43.5,-42.1232205625
-89.5,-42.5,-42.119709875
-89.5,-41.5,-42.116790375
-89.5,-40.5,-42.11452275
-89.5,-39.5,-42.114500875
-89.5,-38.5,-42.115204625
-89.5,-37.5,-42.116242375
-89.5,-36.5,-42.1164646875
-89.5,-35.5,-42.1163740625
-89.5,-34.5,-42.1162634375
-89.5,-33.5,-42.1161395
-89.5,-32.5,-42.1159458125
-89.5,-31.5,-42.115814125
-89.5,-30.5,-42.11569025
-89.5,-29.5,-42.115701875
-89.5,-28.5,-42.116272875
-89.5,-27.5,-42.1171465625
-89.5,-26.5,-42.118013375000004
-89.5,-25.5,-42.1188345625
-89.5,-24.5,-42.119659625
-89.5,-23.5,-42.1204748125
-89.5,-22.5,-42.1212349375
-89.5,-21.5,-42.12286275
-89.5,-20.5,-42.1248483125
-89.5,-19.5,-42.1267479375
-89.5,-18.5,-42.128612625
-89.5,-17.5,-42.129853000000004
-89.5,-16.5,-42.1309205
-89.5,-15.5,-42.131978
-89.5,-14.5,-42.1330958125
-89.5,-13.5,-42.133677375000005
-89.5,-12.5,-42.1339006875
-89.5,-11.5,-42.13406275
-89.5,-10.5,-42.134267125
-89.5,-9.5,-42.1336259375
-89.5,-8.5,-42.1326799375
-89.5,-7.5,-42.1319371875
-89.5,-6.5,-42.1311845625
-89.5,-5.5,-42.130400625
-89.5,-4.5,-42.12949775
-89.5,-3.5,-42.128722375
-89.5,-2.5,-42.1282861875
-89.5,-1.5,-42.127838062500004
-89.5,-0.5,-42.127421125
-89.5,0.5,-42.1256896875
-89.5,1.5,-42.1214399375
-89.5,2.5,-42.117116625
-89.5,3.5,-42.1127024375
-89.5,4.5,-42.10845825
-89.5,5.5,-42.1041068125
-89.5,6.5,-42.099814375
-89.5,7.5,-42.095479125
-89.5,8.5,-42.0910740625
-89.5,9.5,-42.08652575
-89.5,10.5,-42.0817563125
-89.5,11.5,-42.0767223125
-89.5,12.5,-42.071738
-89.5,13.5,-42.0666416875
-89.5,14.5,-42.061594125
-89.5,15.5,-42.0567523125
-89.5,16.5,-42.0522060625
-89.5,17.5,-42.0476064375
-89.5,18.5,-42.0429065625
-89.5,19.5,-42.038332062500004
-89.5,20.5,-42.0342910625
-89.5,21.5,-42.031615375
-89.5,22.5,-42.0294894375
-89.5,23.5,-42.0277424375
-89.5,24.5,-42.0260621875
-89.5,25.5,-42.02443425
-89.5,26.5,-42.0227145625
-89.5,27.5,-42.0210065
-89.5,28.5,-42.0194203125
-89.5,29.5,-42.018902125000004
-89.5,30.5,-42.018953375
-89.5,31.5,-42.020264625
-89.5,32.5,-42.021545375
-89.5,33.5,-42.022786125
-89.5,34.5,-42.02406975
-89.5,35.5,-42.0252609375
-89.5,36.5,-42.02643875
-89.5,37.5,-42.0274046875
-89.5,38.5,-42.0278034375
-89.5,39.5,-42.0277595625
-89.5,40.5,-42.0257263125
-89.5,41.5,-42.0256146875
-89.5,42.5,-42.0256156875
-89.5,43.5,-42.0260430625
-89.5,44.5,-42.0260624375
-89.5,45.5,-42.02572725
-89.5,46.5,-42.025176875
-89.5,47.5,-42.0246374375
-89.5,48.5,-42.0239771875
-89.5,49.5,-42.023153125
-89.5,50.5,-42.01992675
-89.5,51.5,-42.0161655625
-89.5,52.5,-42.012420750000004
-89.5,53.5,-42.00851625
-89.5,54.5,-42.004578625
-89.5,55.5,-42.000578875
-89.5,56.5,-41.995981
-89.5,57.5,-41.99100775
-89.5,58.5,-41.9872025625
-89.5,59.5,-41.983754125000004
-89.5,60.5,-41.98140425
-89.5,61.5,-41.97714225
-89.5,62.5,-41.971740625
-89.5,63.5,-41.967071625
-89.5,64.5,-41.963663062500004
-89.5,65.5,-41.9602870625
-89.5,66.5,-41.95693875
-89.5,67.5,-41.9535206875
-89.5,68.5,-41.95008475
-89.5,69.5,-41.946636375
-89.5,70.5,-41.9436856875
-89.5,71.5,-41.9416500625
-89.5,72.5,-41.939504625
-89.5,73.5,-41.94137475
-89.5,74.5,-41.94369425
-89.5,75.5,-41.945993375
-89.5,76.5,-41.9483664375
-89.5,77.5,-41.9507954375
-89.5,78.5,-41.953033000000005
-89.5,79.5,-41.9554034375
-89.5,80.5,-41.9634705
-89.5,81.5,-41.9721269375
-89.5,82.5,-41.9813640625
-89.5,83.5,-41.99080275
-89.5,84.5,-42.000356625
-89.5,85.5,-42.0100506875
-89.5,86.5,-42.019865
-89.5,87.5,-42.0330009375
-89.5,88.5,-42.0474643125
-89.5,89.5,-42.0620008125
-89.5,90.5,-42.081604812500004
-89.5,91.5,-42.104737375
-89.5,92.5,-42.127929625
-89.5,93.5,-42.151104000000004
-89.5,94.5,-42.1743366875
-89.5,95.5,-42.197622125
-89.5,96.5,-42.220946437500004
-89.5,97.5,-42.245340812500004
-89.5,98.5,-42.2699478125
-89.5,99.5,-42.294729062500004
-89.5,100.5,-42.320831125
-89.5,101.5,-42.351817375
-89.5,102.5,-42.384196125
-89.5,103.5,-42.416523625
-89.5,104.5,-42.447978125
