RTP,LAB,Curie,elevation,gradient,Moho,Magnetic,Ridge,Susceptibility,tectonicunit,Topo,Transform,Trench,Volcanos,YoungRift,VP1,VP2,VP3,VS1,VS2,VS3,lat,lon,is_land
-3.498380675,187.60155,38.808414,,,40.000122,11.263635,2658,0.011298815,,144.55797,3092,3322,395.57224,544.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-180,TRUE
-3.5133764,187.50592,38.830307,,,40.000122,-4.442551,2658,0.011298666,,134.87334,3092,3321,395.29727,544.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-179,TRUE
-3.528155475,187.41202,38.813896,,,40.000114,0.001093766,2658,0.01129856,,127.07031,3093,3321,395.0401,544.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-178,TRUE
-3.54281225,187.31987,38.80366,,,40.0001,40.78613,2658,0.011298496,,202.69247,3093,3320,394.8016,544.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-177,TRUE
-3.557304475,187.22954,38.795155,,,40.000076,51.103355,2658,0.011298473,,363.97617,3093,3320,394.58154,544,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-176,TRUE
-3.571596975,187.1411,38.788036,,,40.000042,47.067276,2659,0.011298487,,499.6127,3094,3319,394.3801,543.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-175,TRUE
-3.585745075,187.05458,38.78203,,,39.999985,47.003574,2659,0.011298549,,593.4471,3094,3319,394.19733,543.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-174,TRUE
-3.599684,186.97002,38.77691,,,39.999912,46.679672,2659,0.01129866,,643.5696,3094,3318,394.03265,543.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-173,TRUE
-3.6134442,186.8875,38.772507,,,39.99982,44.823486,2659,0.011298824,,656.72534,3095,3318,393.88678,543.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-172,TRUE
-3.62699965,186.80705,38.768696,,,39.99971,36.118504,2659,0.011299034,,667.3646,3095,3317,393.7594,543.7,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-171,TRUE
-3.640395025,186.72871,38.76536,,,39.99959,46.581245,2659,0.011299254,,680.3581,3096,3317,393.65076,543.7,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-170,TRUE
-3.6535926,186.65256,38.762432,,,39.999466,38.89031,2659,0.011299495,,697.6372,3096,3316,393.56076,543.7,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-169,TRUE
-3.66659345,186.5786,38.75983,,,39.999294,45.293716,2659,0.011299783,,711.9646,3097,3315,393.48926,543.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-168,TRUE
-3.679413925,186.50691,38.757504,,,39.999104,33.3805,2659,0.011300074,,712.6319,3097,3315,393.43652,543.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-167,TRUE
-3.692005425,186.43752,38.892162,,,39.99889,33.119595,2660,0.011300351,,698.89325,3098,3314,393.40244,543.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-166,TRUE
-3.704395575,186.37047,37.663494,,,39.99867,39.97542,2660,0.011300598,,678.2614,3098,3314,393.38678,544,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-165,TRUE
-3.7166228,186.30579,36.39339,,,39.99846,44.822556,2660,0.011300784,,657.1494,3099,3313,393.38974,544.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-164,TRUE
-3.728599575,186.24355,36.481045,,,39.99825,34.68561,2660,0.011300927,,637.30615,3099,3312,393.4113,544.2,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-163,TRUE
-3.7403978,186.18375,36.57504,,,39.99799,38.881145,2661,0.011301029,,623.6162,3100,3312,393.45157,544.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-162,TRUE
-3.7519591,186.12645,36.6649,,,39.997726,45.139923,2661,0.011301066,,608.35315,3100,3311,393.5106,544.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-161,TRUE
-3.763322,186.07169,36.653465,,,39.99746,43.372578,2661,0.011301047,,578.8774,3101,3310,393.58798,544.7,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-160,TRUE
-3.77447095,186.01949,36.652237,,,39.997192,42.074463,2661,0.011300997,,537.22894,3102,3309,393.68417,544.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-159,TRUE
-3.7854194,185.9699,36.651093,,,39.996967,46.904915,2662,0.011300944,,498.52094,3102,3309,393.799,545.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-158,TRUE
-3.796136,185.92291,36.650047,,,39.99675,46.05723,2662,0.011300899,,467.23724,3103,3308,393.93222,545.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-157,TRUE
-3.806621975,185.87862,36.64911,,,39.996502,47.707916,2662,0.011300882,,444.93277,3104,3307,394.08398,545.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-156,TRUE
-3.816873125,185.837,36.64829,,,39.99627,33.564156,2663,0.011300913,,439.83,3104,3307,394.2545,545.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-155,TRUE
-3.826940075,185.79816,36.647587,,,39.99606,51.04819,2663,0.011301013,,450.564,3105,3306,394.44342,546.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-154,TRUE
-3.83675465,185.76204,36.647015,,,39.995865,37.138687,2664,0.011301186,,458.0126,3106,3305,394.65073,546.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-153,TRUE
-3.846366475,185.7287,36.64657,,,39.99572,47.96667,2664,0.011301399,,459.05518,3106,3304,394.87653,546.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-152,TRUE
-3.855758125,185.6982,36.646255,,,39.9956,55.681442,2664,0.011301663,,465.53354,3107,3303,395.12115,547.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-151,TRUE
-3.8649047,185.67055,36.646072,,,39.995502,50.899967,2665,0.01130201,,489.5741,3108,3303,395.38403,547.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-150,TRUE
-3.87381955,185.64574,36.646023,,,39.995438,51.96553,2665,0.011302388,,538.2295,3108,3302,395.66504,547.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-149,TRUE
-3.8825283,185.62386,36.6461,,,39.995415,47.870113,2666,0.011302775,,568.5614,3109,3301,395.9645,548.2,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-148,TRUE
-3.89101365,185.60487,36.646305,,,39.995434,51.88079,2666,0.011303146,,552.3466,3110,3300,396.28226,548.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-147,TRUE
-3.899229775,185.58887,36.646637,,,39.995483,51.18888,2667,0.011303448,,535.87463,3111,3299,396.61832,549.1,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-146,TRUE
-3.90724935,185.5758,36.647095,,,39.995564,58.17154,2667,0.011303717,,570.20026,3112,3298,396.97208,549.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-145,TRUE
-3.91500035,185.56573,36.64767,,,39.9957,42.55672,2668,0.011303973,,610.0539,3112,3298,397.34393,550,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-144,TRUE
-3.92254225,185.55867,36.648373,,,39.99587,53.71228,2668,0.011304174,,608.59216,3113,3297,397.73383,550.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-143,TRUE
-3.9298551,185.55464,36.6492,,,39.996075,52.742477,2669,0.011304303,,585.52527,3114,3296,398.1413,550.9,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-142,TRUE
-3.93689885,185.55367,36.650146,,,39.996304,53.311584,2669,0.011304366,,562.0671,3115,3295,398.56625,551.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-141,TRUE
-3.943737725,185.55574,36.651215,,,39.99652,62.931908,2670,0.011304364,,566.5892,3116,3294,399.00867,552,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-140,TRUE
-3.950338675,185.56091,36.65241,,,39.996754,52.52596,2670,0.011304309,,620.3253,3116,3293,399.46844,552.5,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-139,TRUE
-3.956684575,185.56915,36.65372,,,39.997036,60.434513,2671,0.011304185,,671.95245,3117,3292,399.9455,553,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-138,TRUE
-3.962829425,185.58052,36.65516,,,39.99733,36.801083,2672,0.011304004,,654.096,3118,3291,400.43942,553.6,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-137,TRUE
-3.968707275,185.59499,36.65672,,,39.99762,33.276314,2672,0.01130377,,560.599,3119,3291,400.95013,554.2,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-136,TRUE
-3.97433235,185.61258,36.658398,,,39.99791,30.952833,2673,0.0113035,,480.5362,3120,3290,401.47723,554.8,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-135,TRUE
-3.9797322,185.63332,36.66019,,,39.998154,33.114258,2674,0.011303242,,453.41833,3121,3289,402.0207,555.4,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-134,TRUE
-3.98489895,185.65717,36.662094,,,39.998386,60.803658,2674,0.011302971,,440.49957,3122,3288,402.58038,556,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-133,TRUE
-3.989828375,185.68416,36.674255,,,39.998642,64.10909,2675,0.011302654,,409.6762,3122,3287,403.1558,556.7,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-132,TRUE
-3.994536375,185.71431,36.585026,,,39.998882,67.01989,2676,0.011302337,,377.69455,3123,3286,403.74698,557.3,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-131,TRUE
-3.99895665,185.7476,36.495693,,,39.999096,66.878784,2676,0.011302033,,365.31674,3124,3285,404.3534,558,6.163261849,6.536477074,6.909732613,3.572958263,3.766210741,3.959192911,-90,-130,TRUE
