Numb	Lon	Lat	Hcc	Sed	Hc	Type	DLy1	DLy2	DLy3	TLy1	TLy2	TLy3	VP1	VP2	VP3	VS1	VS2	VS3	VPN	VSN	RHO1	RHO2	RHO3	RHON
1	-179.5	89.5	6.4459	2.3303	8.7762	SOCE	4.4574	6.5846	8.7762	2.1271	2.1271	2.1916	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
2	-178.5	89.5	6.3511	2.3344	8.6854	SOCE	4.4302	6.5261	8.6854	2.0959	2.0959	2.1594	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
3	-177.5	89.5	6.2512	2.3398	8.591	SOCE	4.4027	6.4656	8.591	2.0629	2.0629	2.1254	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
4	-176.5	89.5	6.1516	2.3463	8.498	SOCE	4.3764	6.4064	8.498	2.03	2.03	2.0916	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
5	-175.5	89.5	6.0578	2.352	8.4098	SOCE	4.351	6.3501	8.4098	1.9991	1.9991	2.0596	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
6	-174.5	89.5	5.9792	2.3493	8.3284	SOCE	4.3224	6.2955	8.3284	1.9731	1.9731	2.0329	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
7	-173.5	89.5	5.9128	2.3439	8.2566	SOCE	4.2951	6.2463	8.2566	1.9512	1.9512	2.0103	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
8	-172.5	89.5	5.8595	2.3389	8.1984	SOCE	4.2726	6.2062	8.1984	1.9336	1.9336	1.9922	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
9	-171.5	89.5	5.8235	2.3346	8.1581	SOCE	4.2563	6.1781	8.1581	1.9218	1.9218	1.98	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
10	-170.5	89.5	5.8001	2.3366	8.1368	SOCE	4.2507	6.1647	8.1368	1.914	1.914	1.972	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
11	-169.5	89.5	5.7893	2.3428	8.1321	SOCE	4.2533	6.1637	8.1321	1.9105	1.9105	1.9683	5.694938089	6.091359729	6.739466744	3.217479146	3.441446174	3.80760833	8.028348754	4.467863248	2.654495089	2.736551637	2.895386984	3.30110365
