"depth_top_km","depth_bot_km","total_mean","total_median","total_lo95","total_hi95"
0,0.3,2.266601722553e+29,2.2622478268837e+29,2.10830313960094e+29,2.45756130977384e+29
0.3,0.7,7.07679786175724e+28,7.05569010404665e+28,5.70234831528382e+28,8.82334045013395e+28
0.7,1,3.92024213266911e+28,3.89738821939774e+28,3.04394102430552e+28,5.07203145994918e+28
1,2,9.70357217721686e+28,9.62460445156283e+28,7.23095150466378e+28,1.30381317931774e+29
2,3,6.92388624787964e+28,6.8337813914543e+28,4.87551453550985e+28,9.79275528723144e+28
3,4,4.52590597474095e+28,4.44624695182778e+28,3.0352020850244e+28,6.64964745249766e+28
4,5,2.19647000425417e+28,2.151916282168e+28,1.43309101906029e+28,3.31258177394832e+28
5,6,1.09663068023058e+28,1.07260924454855e+28,6.98147721781572e+27,1.68055677308831e+28
6,7,5.89622420990468e+27,5.76096894981447e+27,3.59555184354428e+27,9.23542009226088e+27
7,8,3.39018544753792e+27,3.30458100852274e+27,2.04148537071382e+27,5.36376720087816e+27
8,9,1.97909754652585e+27,1.92708697274186e+27,1.18281750771833e+27,3.15421634564211e+27
9,10,1.27978649845381e+27,1.24291989156857e+27,7.65023438941391e+26,2.05000241296421e+27
10,13.5763661394656,1.3431816196079e+27,1.30395445017205e+27,7.90730952018057e+26,2.17849204224926e+27
