"depth_top_km","depth_bot_km","total_mean","total_median","total_lo95","total_hi95"
0,0.3,8.07923400165419e+28,8.06891821702769e+28,7.28914933311815e+28,8.90183634971226e+28
0.3,0.7,3.17974801379952e+28,3.17088776460444e+28,2.71137720109679e+28,3.67668903907489e+28
0.7,1,1.63530064571765e+28,1.62891122441553e+28,1.35827134721817e+28,1.93196542842766e+28
1,2,3.6680955233247e+28,3.64999687106077e+28,2.99509305134e+28,4.41777585124066e+28
2,3,2.17214797030297e+28,2.15904134485781e+28,1.72995746112382e+28,2.66669765760883e+28
3,4,1.22537465450695e+28,1.21733353478714e+28,9.59824552788807e+27,1.52379965620786e+28
4,5,5.26929414557034e+27,5.23707412728378e+27,4.07718144104708e+27,6.61582985542703e+27
5,6,2.37731459055259e+27,2.36320859579445e+27,1.82111524397992e+27,3.00849218732941e+27
6,7,1.15237659814562e+27,1.14536435564919e+27,8.75607375192294e+26,1.46740314665621e+27
7,8,6.25800547742354e+26,6.22026400015716e+26,4.73298561026167e+26,8.01039135826533e+26
8,9,3.60047925563126e+26,3.57933423521482e+26,2.71468800617803e+26,4.63233352360039e+26
9,10,2.29372071630822e+26,2.27954000508243e+26,1.72460274121369e+26,2.96622788179571e+26
