"depth_top_km","depth_bot_km","total_mean","total_median","total_lo95","total_hi95"
0,0.3,3.30470325325293e+29,3.29223172209991e+29,2.88989360640628e+29,3.76580154543897e+29
0.3,0.7,2.31104871446259e+29,2.30686216621376e+29,2.0938784963014e+29,2.56118102118674e+29
0.7,1,9.64978573176796e+28,9.61492256136138e+28,8.76164260558319e+28,1.07189994860949e+29
1,2,1.37469782992294e+29,1.36860949354434e+29,1.19961280625861e+29,1.57365482794314e+29
2,3,4.35216723044048e+28,4.32624115517215e+28,3.70809801751084e+28,5.09268194844875e+28
3,4,2.37173569799768e+28,2.36047060808253e+28,2.13950395783354e+28,2.67198768368682e+28
4,5,2.7040055574307e+28,2.61119594872532e+28,2.02345801688501e+28,3.97331219094037e+28
5,6,2.57633504438315e+28,2.44664494883482e+28,1.70003582845229e+28,4.25915534553693e+28
6,7,1.5847506969585e+27,1.56992792431883e+27,1.22331827022206e+27,1.98756823518253e+27
7,8,1.00701565943537e+27,9.99229949297114e+26,7.881598262855e+26,1.24768128446374e+27
8,9,6.99435495451486e+26,6.93917859146966e+26,5.5573941538829e+26,8.56023566573122e+26
9,10,4.7333876146339e+26,4.69758104907232e+26,3.78548094956953e+26,5.76005364880272e+26
