method,dataset,layer,mean_cells,median_cells,std_cells,ci_2_5_cells,ci_97_5_cells,n_draws
stratified_bootstrap,Shallow-Excluded,Upper Crust,7.748779545374709e+27,7.749273281162072e+27,5.601677644669852e+25,7.636021855814099e+27,7.853924903603983e+27,1000
unstratified_bootstrap,Shallow-Excluded,Upper Crust,4.219701107621472e+27,4.2192864164473536e+27,4.761935852709502e+25,4.128546016165294e+27,4.312652417286185e+27,1000
stratified_power_law,Shallow-Excluded,Upper Crust,1.4163520848093452e+28,1.4160734723153432e+28,9.757298163308416e+25,1.3977034735972632e+28,1.4365997306887297e+28,1000
unstratified_power_law,Shallow-Excluded,Upper Crust,7.410170423241978e+27,7.409577257757525e+27,7.427147608825115e+25,7.26620471548037e+27,7.549468498906781e+27,1000
stratified_bootstrap,Shallow-Included,Upper Crust,1.0523921450823805e+32,1.0519824854896962e+32,2.967510533770926e+30,9.945203424805952e+31,1.1099932763592169e+32,1000
unstratified_bootstrap,Shallow-Included,Upper Crust,4.174574210465768e+31,4.184886954875103e+31,1.928816594027652e+30,3.790715825989851e+31,4.539765772363309e+31,1000
stratified_power_law,Shallow-Included,Upper Crust,1.8465451036331185e+29,1.839283225102403e+29,8.417902451928706e+27,1.7094367186138478e+29,2.0483908159765623e+29,1000
unstratified_power_law,Shallow-Included,Upper Crust,3.455809910298541e+29,3.4132313739930156e+29,4.874283085227953e+28,2.6361243113664633e+29,4.496774781484659e+29,1000
stratified_bootstrap,Shallow-Excluded,Middle Crust,1.565557423122405e+27,1.56490976986886e+27,1.970212244668815e+25,1.529178491822475e+27,1.6026223201297876e+27,1000
unstratified_bootstrap,Shallow-Excluded,Middle Crust,5.578225192308563e+26,5.574738353111674e+26,1.5129156309480665e+25,5.2923310610374866e+26,5.885777714297716e+26,1000
stratified_power_law,Shallow-Excluded,Middle Crust,1.372827639228913e+27,1.3726136876440302e+27,1.79690448696767e+25,1.339371774281408e+27,1.407470268070696e+27,1000
unstratified_power_law,Shallow-Excluded,Middle Crust,1.2282613930031156e+27,1.2270996666927675e+27,2.8375809954063665e+25,1.1757035254886863e+27,1.2848913478350128e+27,1000
stratified_bootstrap,Shallow-Included,Middle Crust,1.565557423122405e+27,1.56490976986886e+27,1.970212244668815e+25,1.529178491822475e+27,1.6026223201297876e+27,1000
unstratified_bootstrap,Shallow-Included,Middle Crust,5.529111852005365e+30,5.521980448556245e+30,5.997193767048716e+29,4.393228785490796e+30,6.690711968654231e+30,1000
stratified_power_law,Shallow-Included,Middle Crust,1.372827639228913e+27,1.3726136876440302e+27,1.79690448696767e+25,1.339371774281408e+27,1.407470268070696e+27,1000
unstratified_power_law,Shallow-Included,Middle Crust,2.742233270338298e+28,2.4834967526793303e+28,1.194903794413056e+28,1.2198520583173692e+28,5.986043103010828e+28,1000
stratified_bootstrap,Shallow-Excluded,Lower Crust,8.355602033331014e+24,8.346203931427584e+24,4.38828182259416e+23,7.521718667221589e+24,9.26104451227381e+24,1000
unstratified_bootstrap,Shallow-Excluded,Lower Crust,1.0597418970601974e+26,1.0574835853575751e+26,8.46740733065036e+24,8.98696026768502e+25,1.2320053060357296e+26,1000
stratified_power_law,Shallow-Excluded,Lower Crust,1.0417257306153917e+25,1.042409510336578e+25,5.047059657133763e+23,9.455027648473188e+24,1.1384314987835537e+25,1000
unstratified_power_law,Shallow-Excluded,Lower Crust,2.6000707776250845e+26,2.5928572367996745e+26,1.5776682469642426e+25,2.2916047499876705e+26,2.9233564167733593e+26,1000
stratified_bootstrap,Shallow-Included,Lower Crust,8.355602033331014e+24,8.346203931427584e+24,4.38828182259416e+23,7.521718667221589e+24,9.26104451227381e+24,1000
unstratified_bootstrap,Shallow-Included,Lower Crust,1.0470756180505208e+30,1.02223984158383e+30,3.207594732450393e+29,4.936863882181039e+29,1.7523750452408046e+30,1000
stratified_power_law,Shallow-Included,Lower Crust,1.0417257306153917e+25,1.042409510336578e+25,5.047059657133763e+23,9.455027648473188e+24,1.1384314987835537e+25,1000
unstratified_power_law,Shallow-Included,Lower Crust,4.278842267116942e+27,2.4364042126013007e+27,5.74231988425276e+27,8.321074137734005e+26,2.020810743672901e+28,1000
stratified_bootstrap,Shallow-Excluded,Mantle,2.4645973037685537e+25,2.376509623575642e+25,8.583183533219385e+24,1.1112528980800812e+25,4.452404231971822e+25,1000
unstratified_bootstrap,Shallow-Excluded,Mantle,5.351175939223392e+25,5.268153996888548e+25,1.0726385544057598e+25,3.5588013445613346e+25,7.67864507150067e+25,1000
stratified_power_law,Shallow-Excluded,Mantle,1.9295835771235145e+23,5.2450825811827085e+22,5.372262806665365e+23,9.420134417202868e+21,1.2811659540675357e+24,1000
unstratified_power_law,Shallow-Excluded,Mantle,1.4923952101849407e+26,1.4869974363631716e+26,2.2414103222550503e+25,1.0921364935937967e+26,1.963353400624692e+26,1000
stratified_bootstrap,Shallow-Included,Mantle,4.269728239659233e+26,4.083170050055861e+26,1.8130156685038728e+26,1.270828944035569e+26,8.248136046226905e+26,1000
