Lithologic Unit,Dataset,Strat. Bootstrap,Unstrat. Bootstrap,Strat. Power-law,Unstrat. Power-law
Upper Crust,Shallow-Excluded,7.749 [7.636-7.854],4.22 [4.129-4.313],14.16 [13.98-14.37],7.41 [7.266-7.549]
Upper Crust,Shallow-Included,1.052e+05 [9.945e+04-1.11e+05],4.175e+04 [3.791e+04-4.54e+04],184.7 [170.9-204.8],345.6 [263.6-449.7]
Middle Crust,Shallow-Excluded,1.566 [1.529-1.603],0.5578 [0.5292-0.5886],1.373 [1.339-1.407],1.228 [1.176-1.285]
Middle Crust,Shallow-Included,1.566 [1.529-1.603],5529 [4393-6691],1.373 [1.339-1.407],27.42 [12.2-59.86]
Lower Crust,Shallow-Excluded,0.008356 [0.007522-0.009261],0.106 [0.08987-0.1232],0.01042 [0.009455-0.01138],0.26 [0.2292-0.2923]
Lower Crust,Shallow-Included,0.008356 [0.007522-0.009261],1047 [493.7-1752],0.01042 [0.009455-0.01138],4.279 [0.8321-20.21]
Mantle,Shallow-Excluded,0.02465 [0.01111-0.04452],0.05351 [0.03559-0.07679],0.000193 [9.42e-06-0.001281],0.1492 [0.1092-0.1963]
Mantle,Shallow-Included,0.427 [0.1271-0.8248],525.7 [29.97-1572],7.869e-06 [1.668e-07-4.235e-05],1.798 [0.08038-12.43]
Total,Shallow-Excluded,9.347 [9.227-9.465],4.937 [4.83-5.045],15.55 [15.36-15.75],9.048 [8.854-9.243]
Total,Shallow-Included,1.052e+05 [9.945e+04-1.11e+05],4.885e+04 [4.466e+04-5.271e+04],186 [172.3-206.2],379.1 [284.9-500.2]
