Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%
Perturbed Depth,92318.14477948575,92324.7605299349,260.3371627470407,91772.48801292092,92824.13662880956
Upper Crust Depth,80769.23127109114,80770.47688038403,188.38301931284067,80395.21470148822,81121.91040073504
Middle Crust Depth,9184.349174425117,9184.186326531737,92.60772440604627,9002.280406510281,9364.393606919039
Lower Crust Depth,1583.3086362198355,1581.1346545403426,46.84460703417299,1495.2801281692973,1676.3486876537472
Mantle Depth,781.2530254496415,781.5431565105719,66.14173426422128,655.3505916013274,910.2065927837847
Sampled UCC,509692576.98600006,509715306.5000001,2738844.809311146,504459888.7500001,515277694.2750002
Sampled MCC,778559675.0000001,778547500.0000002,1956996.9732666935,774823275.0000002,782249575.0000002
Sampled LCC,21889260.27,21887024.5,107925.0431757296,21672701.375,22096590.275
Sampled MNCC,130363887.76799993,130345399.99999991,2118095.572308193,126267958.77499992,134467196.19999987
Upper Crust,7.748779545374709e+27,7.749273281162072e+27,5.601677644669852e+25,7.636021855814099e+27,7.853924903603983e+27
Middle Crust,1.565557423122405e+27,1.56490976986886e+27,1.970212244668815e+25,1.529178491822475e+27,1.6026223201297876e+27
Lower Crust,8.355602033331014e+24,8.346203931427584e+24,4.38828182259416e+23,7.521718667221589e+24,9.26104451227381e+24
Mantle,2.4645973037685537e+25,2.3765096235756426e+25,8.583183533219385e+24,1.1112528980800812e+25,4.452404231971822e+25
Total in Each Cell,9.34733854356813e+27,9.343816240755636e+27,6.0632008364255865e+25,9.226570071246446e+27,9.464969141889743e+27
