Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%
Perturbed Depth,92318.14477948575,92324.7605299349,260.3371627470407,91772.48801292092,92824.13662880956
Upper Crust Depth,80769.23127109114,80770.47688038403,188.38301931284067,80395.21470148822,81121.91040073504
Middle Crust Depth,9184.349174425117,9184.186326531737,92.60772440604627,9002.280406510281,9364.393606919039
Lower Crust Depth,1583.3086362198355,1581.1346545403426,46.84460703417299,1495.2801281692973,1676.3486876537472
Mantle Depth,781.2530254496415,781.5431565105719,66.14173426422128,655.3505916013274,910.2065927837847
Sampled UCC,6921882640935.206,6923418542782.497,163706233559.91937,6602454559858.323,7236478162816.196
Sampled MCC,778559675.0000001,778547500.0000002,1956996.9732666935,774823275.0000002,782249575.0000002
Sampled LCC,21889260.27,21887024.5,107925.0431757296,21672701.375,22096590.275
Sampled MNCC,2206284531.579999,2206654516.999998,45674195.346365206,2114825581.549998,2296261304.024998
Upper Crust,1.0523921450823803e+32,1.0519824854896962e+32,2.967510533770926e+30,9.945203424805952e+31,1.1099932763592169e+32
Middle Crust,1.565557423122405e+27,1.56490976986886e+27,1.970212244668815e+25,1.529178491822475e+27,1.6026223201297876e+27
Lower Crust,8.355602033331014e+24,8.346203931427584e+24,4.38828182259416e+23,7.521718667221589e+24,9.26104451227381e+24
Mantle,4.269728239659233e+26,4.083170050055861e+26,1.8130156685038728e+26,1.270828944035569e+26,8.248136046226905e+26
Total in Each Cell,1.0524121539408715e+32,1.0520014122772073e+32,2.967513184027678e+30,9.945426216154638e+31,1.1100142433799095e+32
