iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,1.057883562350378e+32,7.66521088297599e+26,2.4108386811575015e+24,2.031298141198437e+24,1.0578912719826291e+32
iter_0002,1.0586968324049075e+32,7.70612834055779e+26,2.103761160195824e+24,2.88392240580053e+20,1.0587045595737436e+32
iter_0003,1.0739215646274172e+32,7.661528242015387e+26,2.1273440055744847e+24,2.031298141198437e+24,1.0739292677420807e+32
iter_0004,1.0799537600085563e+32,7.681917078262309e+26,2.212754687660811e+24,7.579539656270625e+21,1.0799614641289769e+32
iter_0005,1.0763988965562018e+32,7.610480371693999e+26,2.2257863494859495e+24,1.0352541969540366e+20,1.0764065292954725e+32
iter_0006,1.0910214435934407e+32,7.74964309226462e+26,2.0737705244444722e+24,1.57136797751952e+20,1.0910292139758096e+32
iter_0007,1.0877793875221557e+32,7.625777774104608e+26,2.0709839462313896e+24,1.970661823948275e+23,1.0877870359804311e+32
iter_0008,1.0717433288765576e+32,7.620474077820587e+26,1.9769821697726305e+24,1.6878340746768493e+21,1.0717509691373355e+32
iter_0009,1.1364704325062692e+32,7.604252480424527e+26,2.327923242412741e+24,9.243341044232467e+20,1.1364780600472253e+32
iter_0010,1.100317016543494e+32,7.588277549303695e+26,2.1468274924642177e+24,3.660363053516056e+20,1.1003246262929786e+32
iter_0011,1.0717864559983905e+32,7.624469925691459e+26,2.0901055114079362e+24,4.436803701231583e+19,1.071794101369815e+32
iter_0012,1.120774115034859e+32,7.60176958987531e+26,2.1345154045995135e+24,4.288910244523867e+20,1.1207817381538917e+32
iter_0013,1.1097725369959916e+32,7.630658034999692e+26,2.3606350742934916e+24,4.436803701231583e+19,1.109780191260821e+32
iter_0014,1.042336098174593e+32,7.734881590351156e+26,2.3296732263143985e+24,9.243341044232467e+20,1.0423438563621591e+32
iter_0015,1.0232816545909613e+32,7.630948242001126e+26,2.1437308796658742e+24,2.2923485789696528e+20,1.0232893069788045e+32
iter_0016,1.0424545229167392e+32,7.758176528402586e+26,2.604100280423205e+24,7.579539656270625e+21,1.0424623072100658e+32
iter_0017,1.0507369737711367e+32,7.630404030625188e+26,2.221551580530792e+24,9.982808327771069e+19,1.0507446263916816e+32
iter_0018,1.0509514742269932e+32,7.616676793371821e+26,2.4424673126745066e+24,1.5528812954310545e+20,1.0509591153300125e+32
iter_0019,1.0673355294816547e+32,7.880775780618206e+26,2.2566318495102163e+24,1.3495277924579403e+20,1.0673434328251033e+32
