iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,1.3985437542640665e+32,3.183282966496856e+27,1.7130731140419516e+25,8.141317461940703e+26,1.3985838997185048e+32
iter_0002,1.398088383814964e+32,3.203505708314426e+27,1.661618722998671e+25,1.2474920096498047e+27,1.3981330599540157e+32
iter_0003,1.418864493484171e+32,3.1542754740738016e+27,1.6557754478538913e+25,1.0764269469489253e+27,1.4189069660859258e+32
iter_0004,1.4270355200399116e+32,3.1770520972545355e+27,1.662658394098858e+25,8.164426914162711e+26,1.4270756212536377e+32
iter_0005,1.4303162911866595e+32,3.1732337513408047e+27,1.625420757596394e+25,9.65059427027499e+26,1.430357836660519e+32
iter_0006,1.4539613418362012e+32,3.1945645635130994e+27,1.5849710242927282e+25,1.0000036070653569e+27,1.4540034460150094e+32
iter_0007,1.4525713522586094e+32,3.185399241764386e+27,1.6276377477343827e+25,1.0578821804944074e+27,1.4526139478366068e+32
iter_0008,1.4131449155381112e+32,3.172805655463061e+27,1.6403725898038184e+25,7.997176128962393e+26,1.4131848048080538e+32
iter_0009,1.4946949430606329e+32,3.154168688522072e+27,1.7118149628679303e+25,7.413360209310554e+26,1.4947340692892237e+32
iter_0010,1.4518096332224066e+32,3.1801800641749325e+27,1.6425076452561948e+25,9.704280433893823e+26,1.4518513035542468e+32
iter_0011,1.4229548346793832e+32,3.1656889661182337e+27,1.6507603591552285e+25,7.297943567817344e+26,1.422993954588648e+32
iter_0012,1.4771237851599197e+32,3.185373904201595e+27,1.6297817768753812e+25,7.774370500821793e+26,1.4771635762476402e+32
iter_0013,1.4669428609922012e+32,3.192919520642468e+27,1.7437521651660266e+25,1.1018405907584106e+27,1.4669859829685318e+32
iter_0014,1.367284461799662e+32,3.171977115403704e+27,1.6703985546899886e+25,8.604773231560697e+26,1.367324953383903e+32
iter_0015,1.3613421474820887e+32,3.17926255256561e+27,1.6742882633048812e+25,9.947389892422269e+26,1.361384054926333e+32
iter_0016,1.3737817950463796e+32,3.215097257081182e+27,1.7359744610190082e+25,6.504840017334563e+26,1.3738206244564138e+32
iter_0017,1.4000709536811115e+32,3.180098574204764e+27,1.666353928990186e+25,8.83198555174124e+26,1.4001117532877981e+32
