iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,5.2688387222451955e+31,8.140640916616898e+25,0.0,0.0,5.268846862886112e+31
iter_0002,5.260168384442493e+31,8.160226349547027e+25,0.0,0.0,5.260176544668842e+31
iter_0003,5.288003309250393e+31,7.932385626593814e+25,0.0,0.0,5.288011241636019e+31
iter_0004,5.276196579144052e+31,8.14485397163333e+25,0.0,0.0,5.2762047239980245e+31
iter_0005,5.274365851113449e+31,8.070179218735924e+25,0.0,0.0,5.274373921292667e+31
iter_0006,5.415704157056715e+31,8.219748146303991e+25,0.0,0.0,5.415712376804862e+31
iter_0007,5.296293275801234e+31,8.057274502683496e+25,0.0,0.0,5.296301333075737e+31
iter_0008,5.249819448184561e+31,8.03261224700518e+25,0.0,0.0,5.249827480796809e+31
iter_0009,5.608363792603347e+31,7.926911550866251e+25,0.0,0.0,5.608371719514898e+31
iter_0010,5.523170123835749e+31,8.066827534431743e+25,0.0,0.0,5.523178190663283e+31
iter_0011,5.202414687390108e+31,8.045206311953622e+25,0.0,0.0,5.20242273259642e+31
iter_0012,5.469670315395473e+31,7.876106819505483e+25,0.0,0.0,5.469678191502292e+31
iter_0013,5.468327744113299e+31,8.020946708196217e+25,0.0,0.0,5.468335765060008e+31
iter_0014,5.206584292793365e+31,8.1498488762689e+25,0.0,0.0,5.206592442642241e+31
iter_0015,5.050332727839859e+31,8.040994350555019e+25,0.0,0.0,5.05034076883421e+31
iter_0016,5.179962734208431e+31,8.1399755417754e+25,0.0,0.0,5.179970874183972e+31
iter_0017,5.205411709180342e+31,8.126587110141967e+25,0.0,0.0,5.205419835767452e+31
iter_0018,5.128822946256692e+31,8.049044743507146e+25,0.0,0.0,5.128830995301435e+31
iter_0019,5.163355945414193e+31,8.271348210342039e+25,0.0,0.0,5.1633642167624035e+31
iter_0020,5.244751268218409e+31,8.045365824994254e+25,0.0,0.0,5.244759313584234e+31
iter_0021,5.2186747449069795e+31,7.99794507229675e+25,0.0,0.0,5.218682742852052e+31
iter_0022,5.336246094216132e+31,7.959473032281081e+25,0.0,0.0,5.336254053689164e+31
iter_0023,5.178423689998615e+31,8.11029436918651e+25,0.0,0.0,5.178431800292984e+31
iter_0024,5.437375243314202e+31,7.932542409504582e+25,0.0,0.0,5.437383175856612e+31
iter_0025,5.240112681328044e+31,8.091425415423443e+25,0.0,0.0,5.240120772753459e+31
