iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,1.821929709831958e+29,6.76052050849763e+26,2.663524803047387e+24,92436553242264.94,1.8287168655884874e+29
iter_0002,1.7668718250535552e+29,6.814922631474282e+26,2.726620323169262e+24,5619541665490852.0,1.7737140138883176e+29
iter_0003,1.8477180229740808e+29,6.651605632451155e+26,2.859120813616291e+24,1.5543420510596168e+16,1.8543982198148238e+29
iter_0004,1.8411453499056437e+29,6.728753127622683e+26,2.748451904240406e+24,36659533179927.77,1.847901587552309e+29
iter_0005,1.9195490575649027e+29,6.634021959250914e+26,2.8028485977383427e+24,7909836261922613.0,1.92621110801021e+29
iter_0006,1.7745622323986177e+29,6.714808407480856e+26,2.5766455433399223e+24,2.8208363848783222e+17,1.7813028072643525e+29
iter_0007,1.895852578144651e+29,6.822472068901802e+26,2.6476082005766506e+24,52736756077001.234,1.9027015262955587e+29
iter_0008,1.8110746255991335e+29,6.601097446540944e+26,2.707739769009488e+24,2330812874798599.5,1.817702800443388e+29
iter_0009,1.763049386599641e+29,6.665114480769815e+26,2.679107951789672e+24,25876964913569.113,1.769741292159929e+29
iter_0010,1.7914259416498524e+29,6.823600207493347e+26,2.598917308918162e+24,43764271418421.66,1.7982755310304354e+29
iter_0011,1.822806170757333e+29,6.703334756945573e+26,2.842600702321594e+24,38962486608692.89,1.829537931521302e+29
iter_0012,1.8008676469296082e+29,6.567043220157014e+26,2.756001643125268e+24,420822656042274.2,1.807462250166201e+29
iter_0013,1.875806369070309e+29,6.737749018377003e+26,2.574964841969302e+24,2.6285903124569037e+17,1.8825698677397343e+29
iter_0014,1.809805164864916e+29,6.955015648453571e+26,2.737184334211022e+24,71931252766526.89,1.816787552356712e+29
iter_0015,1.832174943003493e+29,6.706637528618378e+26,2.5695597618598115e+24,399533593410407.4,1.8389072761297338e+29
iter_0016,1.9054082383191095e+29,6.694176424477631e+26,2.897784819359073e+24,1.1410247413012148e+16,1.9121313925918947e+29
iter_0017,1.9286888741875318e+29,6.858088840977763e+26,2.600888568861878e+24,9.09690403302569e+16,1.9355729719151078e+29
iter_0018,1.8564872487092296e+29,6.659735028409318e+26,2.7139775686831426e+24,2.3693853836445197e+17,1.863174123515695e+29
iter_0019,1.9812641029504925e+29,6.668059051902082e+26,2.7436612642134694e+24,813770181801580.1,1.987959598615045e+29
iter_0020,1.91971148099667e+29,6.896808094779721e+26,2.6214989088093024e+24,2456848362439.9326,1.9266345040805378e+29
iter_0021,1.8900060548107547e+29,6.747488129846518e+26,2.7408630902453414e+24,1.3825352719261105e+18,1.896780951585329e+29
iter_0022,1.8176746354259954e+29,6.786998480105092e+26,2.797282428221456e+24,96973637528.17943,1.8244896067303828e+29
iter_0023,1.8620735832346847e+29,6.767684204504481e+26,2.825617606503018e+24,81972737529136.53,1.8688695236152547e+29
iter_0024,1.8478149290082785e+29,6.792122962732725e+26,2.9976132981813565e+24,3.5280928328560224e+16,1.854637028104346e+29
iter_0025,1.8024464758698745e+29,6.77426565289425e+26,2.76414041527131e+24,17891957085975.914,1.809248382926922e+29
iter_0026,1.7744340165979582e+29,6.924606227405277e+26,2.7067215058419754e+24,4.121704026327729e+16,1.781385690040834e+29
iter_0027,1.7893065332785378e+29,6.5974849197481e+26,2.5892123329726145e+24,103447260294.89677,1.7959299103216154e+29
iter_0028,1.7859602072679982e+29,6.697322019115183e+26,2.861562189573659e+24,5647931553967960.0,1.7926861449090658e+29
iter_0029,1.9407973282087887e+29,6.634072534573806e+26,2.696288592524079e+24,64086865673325.63,1.9474583636292883e+29
iter_0030,1.943063822693378e+29,6.782937719219228e+26,2.888464232303058e+24,7498077993532041.0,1.9498756450549954e+29
iter_0031,1.875621030060494e+29,6.672511405184146e+26,2.668873869007622e+24,1.6034917488539808e+17,1.8823202302059714e+29
iter_0032,1.8686715989905236e+29,6.846402595587285e+26,2.7651393023175584e+24,2863986372027.536,1.8755456529791342e+29
