iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,1.822585080222522e+29,2.7838373073954496e+27,2.032003167063656e+25,5.614716087948557e+21,1.8506267097603437e+29
iter_0002,1.767497425805172e+29,2.8037834333365573e+27,2.1105795921723186e+25,2.153939481148292e+21,1.7957463396371495e+29
iter_0003,1.848324777458301e+29,2.791812709454358e+27,2.0791786353683267e+25,6.307569310827253e+21,1.8764508854920744e+29
iter_0004,1.8416774172948713e+29,2.7787219228248295e+27,2.0897064345605103e+25,5.504692047005825e+21,1.869673662213496e+29
iter_0005,1.920309520799094e+29,2.7807723624413536e+27,2.0996016951563477e+25,8.486629474102928e+22,1.9483280532559706e+29
iter_0006,1.7751750763328522e+29,2.7722602848463014e+27,2.0270655566601506e+25,1.340197866395773e+21,1.80310039913896e+29
iter_0007,1.8965073401688748e+29,2.805867625418326e+27,2.0061581587220463e+25,6.762272182581302e+21,1.924766699861652e+29
iter_0008,1.8116888938448e+29,2.76708241917716e+27,2.076209054149119e+25,1.1723654072158497e+21,1.839567350665641e+29
iter_0009,1.763688352034501e+29,2.77543141167044e+27,2.094840651321981e+25,1.9367991700208838e+21,1.7916521695843292e+29
iter_0010,1.7920089857615146e+29,2.814671295414359e+27,2.0777911951433474e+25,3.202558807753687e+21,1.8203635098607607e+29
iter_0011,1.823465718916845e+29,2.7948937810403325e+27,2.121768917303841e+25,3.163960448687016e+21,1.8516268652585837e+29
iter_0012,1.8014338121159367e+29,2.758519551994728e+27,2.144393660480427e+25,4.85136695617766e+21,1.8292334955156016e+29
iter_0013,1.8764177201667262e+29,2.7860722634342573e+27,2.0295955284954456e+25,2.495980118959476e+21,1.9044814273137193e+29
iter_0014,1.8104646940452374e+29,2.81249039754349e+27,2.1074810086563944e+25,1.301340573179062e+22,1.8388004762555952e+29
iter_0015,1.8328752195554726e+29,2.786457818173607e+27,2.085567919446905e+25,7.560861938020653e+21,1.8609484301377728e+29
iter_0016,1.906044782060003e+29,2.7620275281961274e+27,2.1021161511545694e+25,4.23128685516126e+21,1.9338753112699485e+29
iter_0017,1.929374169203026e+29,2.8160267349713986e+27,2.0348470997296884e+25,7.441985260273025e+21,1.9577379956825654e+29
iter_0018,1.857102308321535e+29,2.783312418894569e+27,2.13068110039036e+25,5.704251925061355e+21,1.8851485576630387e+29
iter_0019,1.9818629844994113e+29,2.7864073693407666e+27,2.0987354980164565e+25,2.830993522694184e+21,2.009936960052556e+29
iter_0020,1.9203984897953833e+29,2.79108769059513e+27,2.05579161754053e+25,8.769886928732467e+20,1.9485149546329756e+29
iter_0021,1.8906529770472557e+29,2.772436736842135e+27,2.1571251088069623e+25,1.8325574469237612e+21,1.918593075252132e+29
iter_0022,1.8182844535958167e+29,2.7981929037889707e+27,2.050477772055985e+25,1.326492084620535e+21,1.8464714436758332e+29
iter_0023,1.862658533751813e+29,2.800246212065136e+27,2.1008975342364764e+25,3.2022257179457906e+21,1.890871117648145e+29
iter_0024,1.8484292452062424e+29,2.810478382894341e+27,2.1226247614020936e+25,4.257300925657447e+23,1.876750548812252e+29
iter_0025,1.8030682067637093e+29,2.7824105855930427e+27,2.1799543538711047e+25,3.294284987087224e+21,1.831110340997877e+29
iter_0026,1.7750538673954414e+29,2.8278684138838217e+27,2.042372349177882e+25,1.1119171803789009e+21,1.803536799888369e+29
iter_0027,1.7898381374058954e+29,2.7864729834272535e+27,2.045776521613447e+25,2.9103639794694714e+21,1.8179074739959686e+29
iter_0028,1.7865512591725705e+29,2.8005071060014257e+27,2.086663879580112e+25,8.673080619259468e+20,1.8147650052936232e+29
iter_0029,1.9413871768412406e+29,2.7914747209982814e+27,2.09618079760043e+25,4.4370304306322625e+22,1.9695119858340263e+29
iter_0030,1.943713374883073e+29,2.7922220984490724e+27,2.0539183139201235e+25,4.2905075825948796e+21,1.9718410306040315e+29
iter_0031,1.876281605672419e+29,2.7834410638091544e+27,2.083391836416829e+25,5.139507382112182e+21,1.9043244068892256e+29
iter_0032,1.8692234177414293e+29,2.795766792641215e+27,2.0978237821440786e+25,3.0203314377114754e+22,1.8973911700791996e+29
iter_0033,1.7475572688427887e+29,2.783463889005174e+27,2.0488182686404816e+25,2.402689353851871e+21,1.775596813586598e+29
iter_0034,1.8548755360298276e+29,2.818244640545585e+27,2.0877868455998697e+25,3.5076241992499724e+21,1.8832667961960857e+29
iter_0035,1.7686253158021974e+29,2.7552198746736725e+27,2.06135946363722e+25,1.4508219079092153e+21,1.796383665003517e+29
iter_0036,2.0378215611614764e+29,2.807253991661615e+27,2.0745689722150544e+25,8.853526804609188e+21,2.0661016465105818e+29
iter_0037,1.8763028466599315e+29,2.801908778668002e+27,2.068330756151385e+25,2.344118439490836e+21,1.904528790963411e+29
iter_0038,1.7879287907500293e+29,2.7616221889638835e+27,2.1819599427582814e+25,2.3491456699282833e+21,1.815763232125401e+29
iter_0039,1.7781180938803844e+29,2.797880641021427e+27,2.1011051448605825e+25,5.8707412633654655e+22,1.8063075978792113e+29
iter_0040,1.8516134615437754e+29,2.793870266468344e+27,2.1448665030515783e+25,7.667404576324328e+21,1.8797667275328098e+29
iter_0041,1.901838384507182e+29,2.8018203090701256e+27,2.067989248924373e+25,3.553363725394033e+21,1.930063422056413e+29
iter_0042,1.999038175956757e+29,2.7704430068805716e+27,2.044217683279018e+25,3.0139160086376124e+21,2.0269470579330505e+29
iter_0043,1.8243043369359324e+29,2.825076804217999e+27,2.0635390355649346e+25,5.727888484535419e+21,1.8527615161605535e+29
iter_0044,1.8446962306055392e+29,2.766735771401085e+27,2.0809122669342698e+25,1.2408358205476865e+22,1.8725718036298254e+29
iter_0045,1.805299165934105e+29,2.7970978974003127e+27,2.0230166871113736e+25,2.338609577328058e+21,1.833472469962915e+29
iter_0046,1.7648302714718502e+29,2.784090696859289e+27,2.065894097207206e+25,2.0446570424983014e+22,1.792877972315868e+29
iter_0047,1.9991354232805516e+29,2.7801541294633726e+27,2.1634312929316318e+25,4.0386031004129585e+21,2.0271533480905095e+29
iter_0048,1.7683623678854678e+29,2.809195657719608e+27,2.1050471829772075e+25,5.493870163062543e+21,1.796664884119663e+29
iter_0049,1.702990765250902e+29,2.7728510096580927e+27,2.0682282953294753e+25,2.108110146899234e+21,1.7309261192581175e+29
iter_0050,1.800224973813436e+29,2.7817087499221876e+27,2.094652310905311e+25,1.5588813433172356e+22,1.828251682431883e+29
iter_0051,1.806537646772411e+29,2.7789799927145473e+27,2.0392991257419232e+25,1.2655757791454208e+22,1.8345315031697087e+29
iter_0052,2.0739118078891325e+29,2.7983674705102254e+27,2.1050725675590987e+25,6.314186403887766e+21,2.1021060529928545e+29
iter_0053,1.990649887884726e+29,2.7794264033436626e+27,2.1070391315546283e+25,5.815326305679176e+21,2.018654913984581e+29
iter_0054,1.8083805670664265e+29,2.768881994147279e+27,2.129892694013905e+25,1.2638822738799521e+22,1.836282502665528e+29
iter_0055,1.714142130942732e+29,2.7996704074101936e+27,2.097023020044929e+25,1.9708365084627522e+21,1.7423485570272037e+29
iter_0056,1.784023394422672e+29,2.778182944072384e+27,2.1131464340453233e+25,6.663627100398179e+20,1.8120165451704272e+29
iter_0057,1.9007977484036872e+29,2.8156100759524463e+27,2.1759239644533095e+25,5.882060571463262e+22,1.929172029765714e+29
iter_0058,1.77872938964904e+29,2.8016002868964665e+27,2.1025092975877395e+25,4.1975193818088457e+21,1.8069556854229572e+29
iter_0059,1.8214823443922985e+29,2.794428200534717e+27,2.139840404511729e+25,1.801817251067302e+21,1.849640628456269e+29
iter_0060,1.765524987898714e+29,2.8188447595471073e+27,2.1473813610311305e+25,2.787955143156869e+21,1.7939282015098396e+29
iter_0061,1.790035021987636e+29,2.811903599625598e+27,2.111150963835369e+25,5.145228533157473e+21,1.8183652245325607e+29
iter_0062,1.995489328864362e+29,2.7749011658346617e+27,2.0492678335935275e+25,2.1031706228318528e+23,2.0234453704766907e+29
iter_0063,1.908136767015492e+29,2.776830735026652e+27,2.064620909986611e+25,1.5052994819849655e+21,1.936111551509752e+29
iter_0064,1.741642677421932e+29,2.790385651241608e+27,2.10683623085756e+25,1.2197339015746616e+22,1.769757339530824e+29
iter_0065,1.8712982695001376e+29,2.797059455200652e+27,2.1371717354002296e+25,6.377076852396229e+21,1.8994826449964524e+29
iter_0066,1.7946273639882824e+29,2.760979337166703e+27,2.1191530775280166e+25,1.7308632231528002e+21,1.8224490899763342e+29
iter_0067,1.856337801503162e+29,2.809912627931273e+27,2.0805648793293206e+25,1.258335294666261e+23,1.8846462426057024e+29
iter_0068,1.8238817571319657e+29,2.7802945765465816e+27,2.1417759814071253e+25,5.988624189622193e+21,1.8518989403818143e+29
iter_0069,1.946434138189354e+29,2.8017014261585443e+27,2.0778258006710556e+25,5.719372704375588e+21,1.9746589922247338e+29
iter_0070,1.77035513141367e+29,2.7643271474604716e+27,2.091892202153545e+25,3.0152743301095897e+22,1.798207893635923e+29
iter_0071,1.9679113683540614e+29,2.77777281063397e+27,2.084833640642531e+25,2.7025403377146685e+21,1.9958976068498686e+29
iter_0072,1.8250941157759408e+29,2.819500983580262e+27,2.192526563059714e+25,8.819341820980856e+20,1.853508387087391e+29
iter_0073,1.8263817836038115e+29,2.7688610077741164e+27,2.133703444431017e+25,6.362628175460127e+21,1.8542838276522777e+29
iter_0074,1.823316036669219e+29,2.779491254589948e+27,2.081162111787946e+25,3.55638433283257e+21,1.8513191009901407e+29
iter_0075,1.7569256441155693e+29,2.7841434029093606e+27,2.1242421163146665e+25,3.683412746077983e+21,1.7849795391904218e+29
iter_0076,1.8178054881866915e+29,2.792333868839535e+27,2.075048850211954e+25,1.3928361765880277e+21,1.8459363456884697e+29
iter_0077,1.8400928960415014e+29,2.7832626638538916e+27,2.0386215451131086e+25,1.4915271348928895e+21,1.8681293997498233e+29
iter_0078,1.8292693970172814e+29,2.7733554109899034e+27,2.089915108259954e+25,3.6069603513267504e+22,1.8572123033340417e+29
iter_0079,1.962439061826062e+29,2.7802883944064965e+27,2.1606501206839287e+25,6.702510728472405e+21,1.9904580778073024e+29
iter_0080,1.8029652545707385e+29,2.799352667194668e+27,2.153667152416916e+25,3.3845415124048135e+21,1.8311741818033417e+29
iter_0081,1.904252023707034e+29,2.78753845233663e+27,2.053308904601471e+25,9.73939075673558e+21,1.9323328365147678e+29
iter_0082,1.851171538550989e+29,2.786248943520546e+27,2.1061050149962937e+25,3.0996255783029387e+22,1.8792449484502516e+29
iter_0083,1.9860038173946746e+29,2.7987716542335494e+27,2.1027598011237087e+25,2.521801677817258e+22,2.01420206209729e+29
iter_0084,1.947410123026169e+29,2.794853783603264e+27,2.0709465774165367e+25,5.614587978198662e+21,1.975565811665823e+29
iter_0085,2.003143042247349e+29,2.785138121162652e+27,2.1564247026239814e+25,1.3582592116048903e+22,2.0312102017551587e+29
iter_0086,1.9222966542465774e+29,2.791668279558814e+27,2.0830578995361393e+25,1.9521563663654076e+21,1.9504216623536825e+29
iter_0087,1.9113175159066878e+29,2.7930685605563495e+27,2.1101905582310825e+25,5.776114086188244e+21,1.939459278329215e+29
iter_0088,1.79192603942315e+29,2.7931398149470366e+27,2.100586609063836e+25,3.9572029115004045e+21,1.820067535805556e+29
iter_0089,1.822470602826293e+29,2.768665324848815e+27,2.0400076761748123e+25,1.359265266410448e+21,1.850361270435051e+29
iter_0090,1.842077673260277e+29,2.7906447592353645e+27,2.1181753358924524e+25,1.4913923569165038e+21,1.8701959533001435e+29
iter_0091,1.9594211769829926e+29,2.763947744109274e+27,2.0865879045218573e+25,9.3448836559951e+22,1.9872702477029028e+29
iter_0092,1.8051478736338547e+29,2.7968262234399715e+27,2.1535539010693292e+25,3.059535995088839e+21,1.8333315218537213e+29
iter_0093,1.7614019746528867e+29,2.7876738336278324e+27,2.1274677510406126e+25,1.8709685301606896e+22,1.789491646861122e+29
iter_0094,1.9401016552031436e+29,2.777691423401035e+27,2.1256586699950846e+25,8.819626929901335e+20,1.9680911441237803e+29
iter_0095,1.8556965550082736e+29,2.797134717411069e+27,2.1633527135692674e+25,2.149320791596199e+21,1.883884258946949e+29
iter_0096,1.9040553205975397e+29,2.7873123236869305e+27,2.142136039234172e+25,6.571351257558643e+21,1.932142723151845e+29
iter_0097,1.793494547779114e+29,2.8092295236693184e+27,2.074942533346855e+25,1.3481445149458425e+22,1.821794472083594e+29
iter_0098,1.7265738915556654e+29,2.7938886123526503e+27,2.1012412755063905e+25,3.548928859695186e+21,1.7547229372960312e+29
iter_0099,1.847229313691539e+29,2.779774527804569e+27,2.117104658887293e+25,2.6043901914832825e+22,1.8752390298744927e+29
iter_0100,1.767217386000227e+29,2.786109838819803e+27,2.1925876043848294e+25,4.042225109050575e+21,1.7952977835711146e+29
iter_0101,1.7546519672190846e+29,2.7895921332640793e+27,2.122018424727142e+25,7.854874421109682e+20,1.782760098249073e+29
iter_0102,1.728464511864505e+29,2.7934721904967036e+27,2.1229966926970577e+25,9.876418326875926e+21,1.756611632202925e+29
iter_0103,1.940766126764492e+29,2.781444437505432e+27,2.073479424602442e+25,1.4564219186829832e+21,1.968787933646226e+29
iter_0104,1.8086274343851837e+29,2.792885731510612e+27,2.033279913673546e+25,5.823310254320947e+21,1.8367596779247597e+29
iter_0105,1.7731114737157606e+29,2.818672296980824e+27,2.1202619061880185e+25,3.1983828181655036e+21,1.8015102548600155e+29
iter_0106,1.7573948865252275e+29,2.7923909063402473e+27,1.9944792065251086e+25,1.9455710201478342e+21,1.7855182629649925e+29
iter_0107,1.7781632355415625e+29,2.797304008131171e+27,2.153843612499892e+25,2.608920467753325e+22,1.8063519208761713e+29
iter_0108,1.8580143711116917e+29,2.8072476265588897e+27,2.058669181152073e+25,2.0368124992412626e+21,1.8862927346635207e+29
iter_0109,1.878250592501247e+29,2.796645881081829e+27,1.985126325970997e+25,4.266785089936507e+21,1.9064156066125135e+29
iter_0110,1.8129991069246117e+29,2.76792121031908e+27,2.023010857597115e+25,2.439452282724743e+21,1.840880644508085e+29
iter_0111,1.8177459480368967e+29,2.7783330407780116e+27,2.150166739712712e+25,1.0382882782447216e+21,1.8457443055015307e+29
iter_0112,1.9852233879624532e+29,2.792580477669624e+27,2.02380129547939e+25,5.995945872501677e+21,2.013351632828156e+29
iter_0113,1.753603710869259e+29,2.7909899667447255e+27,2.0299548083531123e+25,4.683912159533804e+21,1.7817166528566633e+29
iter_0114,1.8667810541318878e+29,2.7760221525364144e+27,2.069256001048663e+25,1.0220411018560265e+22,1.894748303461467e+29
iter_0115,1.820907819989365e+29,2.800678830265338e+27,2.0553288580275955e+25,1.7569348118486844e+23,1.849121898112633e+29
iter_0116,1.8084595214908025e+29,2.7715754846768943e+27,2.02562655381411e+25,4.832909231244835e+21,1.8363778873220452e+29
iter_0117,1.879326600985216e+29,2.8034416193701615e+27,2.1221982920986135e+25,2.1587543808343626e+21,1.9075732585956712e+29
iter_0118,1.8519826012682407e+29,2.7573678124360414e+27,2.0834531099315887e+25,3.025914196146252e+21,1.879764654962736e+29
iter_0119,1.8323057225288653e+29,2.767661641110016e+27,1.998279323688423e+25,3.019715346388622e+21,1.860182197069488e+29
iter_0120,1.774448635174621e+29,2.781277872286727e+27,2.19078629169957e+25,2.9043094545120113e+22,1.802480782957604e+29
iter_0121,1.8340984131542847e+29,2.779039427487479e+27,2.085189006129154e+25,1.6846485238981473e+21,1.8620973431762577e+29
