iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,1.7736484521672697e+29,7.081609721017014e+25,0.0,0.0,1.7743566131393715e+29
iter_0002,1.7214213431455637e+29,7.21440952258309e+25,0.0,0.0,1.722142784097822e+29
iter_0003,1.77992832504972e+29,7.045186038959461e+25,0.0,0.0,1.780632843653616e+29
iter_0004,1.7953442175025068e+29,7.081142956112318e+25,0.0,0.0,1.796052331798118e+29
iter_0005,1.8649240117639974e+29,7.159810603266461e+25,0.0,0.0,1.8656399928243242e+29
iter_0006,1.7253410660481645e+29,7.057583492544412e+25,0.0,0.0,1.726046824397419e+29
iter_0007,1.8496778812660965e+29,7.236964760423047e+25,0.0,0.0,1.8504015777421388e+29
iter_0008,1.764572679111559e+29,6.8740891408890465e+25,0.0,0.0,1.7652600880256477e+29
iter_0009,1.691719003399056e+29,7.2114013172364915e+25,0.0,0.0,1.6924401435307796e+29
iter_0010,1.7507635789509885e+29,7.106522826941747e+25,0.0,0.0,1.7514742312336827e+29
iter_0011,1.7752838105576555e+29,6.920722301763239e+25,0.0,0.0,1.7759758827878318e+29
iter_0012,1.7633964277616885e+29,7.154547938551623e+25,0.0,0.0,1.7641118825555436e+29
iter_0013,1.7967077324713455e+29,7.0594888326911826e+25,0.0,0.0,1.7974136813546145e+29
iter_0014,1.7540269339469487e+29,7.284358529708246e+25,0.0,0.0,1.7547553697999197e+29
iter_0015,1.7816774026838318e+29,7.035411568997103e+25,0.0,0.0,1.7823809438407314e+29
iter_0016,1.8525163676474878e+29,6.8881851571866514e+25,0.0,0.0,1.8532051861632065e+29
iter_0017,1.881991859378161e+29,7.143375779844254e+25,0.0,0.0,1.8827061969561453e+29
iter_0018,1.8157426475418142e+29,7.086723073075578e+25,0.0,0.0,1.8164513198491218e+29
iter_0019,1.9032484189385386e+29,7.0327306942664724e+25,0.0,0.0,1.903951692007965e+29
iter_0020,1.8775880647835045e+29,7.235624866283275e+25,0.0,0.0,1.8783116272701328e+29
iter_0021,1.8323091869083525e+29,7.09484631663964e+25,0.0,0.0,1.8330186715400164e+29
iter_0022,1.7735789109721846e+29,7.184917715630228e+25,0.0,0.0,1.7742974027437477e+29
iter_0023,1.8123155080755757e+29,7.04690702108159e+25,0.0,0.0,1.813020198777684e+29
iter_0024,1.7977556236585265e+29,7.136972484448878e+25,0.0,0.0,1.7984693209069714e+29
iter_0025,1.748379917150151e+29,7.142857984328752e+25,0.0,0.0,1.7490942029485836e+29
iter_0026,1.7015614123239925e+29,7.252716041894591e+25,0.0,0.0,1.702286683928182e+29
iter_0027,1.7466409996805116e+29,6.907625227675663e+25,0.0,0.0,1.747331762203279e+29
iter_0028,1.735239924332828e+29,7.05716552583889e+25,0.0,0.0,1.735945640885412e+29
iter_0029,1.8898948350119956e+29,6.764898432809379e+25,0.0,0.0,1.8905713248552765e+29
iter_0030,1.8798699128975353e+29,7.091552391662092e+25,0.0,0.0,1.8805790681367015e+29
iter_0031,1.8365532433505344e+29,7.1624447881690284e+25,0.0,0.0,1.8372694878293515e+29
iter_0032,1.824606291831427e+29,7.126008030830358e+25,0.0,0.0,1.8253188926345103e+29
iter_0033,1.6944229144280025e+29,7.049863504357625e+25,0.0,0.0,1.6951279007784384e+29
iter_0034,1.7904094061890415e+29,7.2999538251114116e+25,0.0,0.0,1.7911394015715527e+29
iter_0035,1.727258985294549e+29,7.022304994693294e+25,0.0,0.0,1.727961215794018e+29
iter_0036,1.972031773348331e+29,7.073345503802464e+25,0.0,0.0,1.9727391078987112e+29
iter_0037,1.8104332615130086e+29,7.221770393525667e+25,0.0,0.0,1.8111554385523612e+29
iter_0038,1.7266253692757913e+29,6.996602885891228e+25,0.0,0.0,1.7273250295643804e+29
iter_0039,1.6763964659897687e+29,7.149526466312656e+25,0.0,0.0,1.6771114186364e+29
iter_0040,1.8073935076518583e+29,7.003852751390188e+25,0.0,0.0,1.8080938929269972e+29
iter_0041,1.847035987853871e+29,7.15076552323295e+25,0.0,0.0,1.8477510644061945e+29
iter_0042,1.920692350534459e+29,6.821222210381887e+25,0.0,0.0,1.921374472755497e+29
iter_0043,1.762425477731837e+29,7.138407364242166e+25,0.0,0.0,1.763139318468261e+29
iter_0044,1.7973122812276574e+29,7.1403044607602195e+25,0.0,0.0,1.7980263116737333e+29
iter_0045,1.761184131337035e+29,7.3587039796828485e+25,0.0,0.0,1.7619200017350034e+29
iter_0046,1.721031204818055e+29,7.04501881914586e+25,0.0,0.0,1.7217357066999695e+29
iter_0047,1.9065127365170194e+29,7.193821123026019e+25,0.0,0.0,1.9072321186293218e+29
iter_0048,1.7094983221005764e+29,7.09572817416273e+25,0.0,0.0,1.7102078949179927e+29
iter_0049,1.6515600756945515e+29,7.1533128430169485e+25,0.0,0.0,1.652275406978853e+29
iter_0050,1.7549308691717912e+29,6.9929937846531985e+25,0.0,0.0,1.7556301685502564e+29
