iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,4.310524542412595e+31,2.4082877253143903e+30,1.7286874519408465e+29,5.398111169831763e+20,4.568640189517424e+31
iter_0002,4.185730036016323e+31,2.7674030960848006e+30,2.1844863003789977e+29,1.4974212491656592e+22,4.484315210126015e+31
iter_0003,4.368210539054312e+31,2.680746115920289e+30,2.2481057127039128e+29,8.448413714428482e+20,4.658766207857864e+31
iter_0004,4.3588876693796605e+31,2.667691029019713e+30,2.6036990614870024e+29,1.6079346346905035e+25,4.651695370831136e+31
iter_0005,4.198329671584541e+31,2.8791217981717333e+30,3.5313146614736e+29,3.6973364176929885e+22,4.521555001713787e+31
iter_0006,4.367147586450363e+31,2.839840717690097e+30,7.071691654453832e+28,1.1461742894848263e+22,4.658203351020002e+31
iter_0007,4.422425478183951e+31,2.6129556218806937e+30,6.484481167503286e+29,2.0312981411984374e+24,4.748566055176867e+31
iter_0008,4.421917164620479e+31,2.516199503002754e+30,2.3513032781027132e+29,1.3040505545203173e+22,4.697050149005831e+31
iter_0009,4.143174091234809e+31,2.5249359930863872e+30,2.1468540722296078e+29,5.2317310310355776e+20,4.417136231318062e+31
iter_0010,4.259498940711087e+31,2.5288918413022823e+30,1.140594446769042e+29,2.033535029731145e+22,4.52379407134254e+31
iter_0011,4.193807924994347e+31,3.0864782434457915e+30,3.224576858654818e+29,3.1687578087467646e+26,4.534733205503562e+31
iter_0012,4.3317600129474255e+31,2.7515002020441557e+30,1.4665541724742054e+29,4.851829714117628e+24,4.621576060059556e+31
iter_0013,4.394944556311691e+31,2.51486792661502e+30,2.5852083019085892e+29,7.504036349284913e+27,4.673033835627208e+31
iter_0014,3.993912038191473e+31,2.180441197689135e+30,2.6232017150017865e+29,1.081470902175199e+21,4.238188175218551e+31
iter_0015,4.132931010887202e+31,2.080022603342966e+30,2.8103918197435685e+29,1.0352541969540362e+22,4.369037190454189e+31
iter_0016,4.694430284341379e+31,3.043592299758779e+30,2.041937148861255e+29,1.6079346346905035e+25,5.019210493740504e+31
iter_0017,4.653555998455823e+31,2.770116252132491e+30,1.795350629434249e+29,3.882203238577639e+22,4.948521133845617e+31
iter_0018,4.317347595737033e+31,2.874960346262607e+30,3.666375038175255e+29,2.218401850615794e+22,4.641507382963448e+31
iter_0019,4.348199117891576e+31,2.923643961476505e+30,2.8986640635780484e+29,2.292348578969653e+20,4.6695501546979305e+31
iter_0020,4.267674986581825e+31,2.804643593409458e+30,2.923648176144112e+29,2.033535029731145e+22,4.5773758297177465e+31
iter_0021,4.141765650427769e+31,2.814998405175941e+30,1.771054767005167e+29,7.579539656270626e+21,4.440976039373368e+31
iter_0022,4.293485543401383e+31,2.3360392404290944e+30,3.1504239493380847e+29,3.697336417692988e+19,4.55859370694137e+31
iter_0023,4.24744246156097e+31,2.2736712670945407e+30,3.492734579066257e+29,4.566210475850841e+20,4.509736934106748e+31
iter_0024,4.4589931380321755e+31,2.800382926241687e+30,3.296757198955098e+29,9.243341044232469e+20,4.771999002738329e+31
iter_0025,3.9836894346545136e+31,2.642791812047186e+30,3.0608926352603794e+29,5.2317310310355776e+20,4.278577542264153e+31
iter_0026,4.350363404063987e+31,1.9538925498439104e+30,2.15484708210103e+29,3.697336417692988e+19,4.567301129873086e+31
iter_0027,4.211268455390985e+31,2.66796050214274e+30,2.726428734350354e+29,2.421755353588908e+20,4.50532879297298e+31
iter_0028,4.259202588337962e+31,2.743690074102202e+30,8.320694405051071e+28,1.3495277924579407e+20,4.541892290166729e+31
iter_0029,4.294632490722394e+31,2.540561343043603e+30,2.2647449432409635e+29,2.66762822536549e+21,4.571336074725926e+31
iter_0030,3.9971047937656676e+31,3.3981283691065777e+30,1.5455303771008069e+29,1.0722275611309665e+20,4.352372934458056e+31
iter_0031,4.260363645785257e+31,2.556469876796467e+30,3.540195398884181e+29,1.5528812954310548e+20,4.551412587469274e+31
iter_0032,4.4195139910776485e+31,2.4169896248802546e+30,7.188421750901003e+29,1.0352541969540368e+20,4.733097171085037e+31
iter_0033,4.387376414167439e+31,2.4105087330397768e+30,3.18995425881259e+29,2.0312981411984374e+24,4.660327033189357e+31
iter_0034,4.188980662351779e+31,2.3522795189184925e+30,2.978304797790383e+29,3.061394553849793e+21,4.453991662527672e+31
iter_0035,4.322990563321002e+31,2.708237197752447e+30,4.654571362484288e+29,2.5881354923850926e+22,4.640359999309226e+31
iter_0036,4.440210389652213e+31,2.695084727903025e+30,1.8875639543294138e+29,5.176270984770186e+22,4.728594507162081e+31
iter_0037,4.058406841999357e+31,1.7786485959340662e+30,1.2906141072888937e+29,2.0312981411984374e+24,4.249178045795468e+31
iter_0038,4.648240721830668e+31,2.7918561350369504e+30,3.353567782936211e+29,1.5528812954310548e+20,4.960962013179254e+31
iter_0039,4.344120991472634e+31,2.782902684859928e+30,1.9670484861070314e+29,2.8839224058005304e+20,4.642081744848536e+31
