iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,5.789570601038564e+31,1.029731088621875e+31,1.570811142895976e+30,1.051692433400563e+30,7.081552047290093e+31
iter_0002,5.5866289132657155e+31,1.136149212917647e+31,2.618508951729748e+30,1.0334997501394956e+30,7.0879789963702875e+31
iter_0003,5.777460703583201e+31,1.0804043151886145e+31,2.007447464546822e+30,6.351190903309155e+29,7.12212167425959e+31
iter_0004,5.854888442083149e+31,1.1727208203950352e+31,1.9007406555326864e+30,1.744019120219354e+30,7.392085240053387e+31
iter_0005,5.737118957314083e+31,1.0396138611901282e+31,2.43148548281243e+30,2.1496630092346608e+30,7.234847667708921e+31
iter_0006,5.710560288343566e+31,1.1387183583587533e+31,1.9714627147998824e+30,7.819115493882097e+29,7.124616073121128e+31
iter_0007,5.9107446252390415e+31,1.1314866325434066e+31,2.490593332749013e+30,1.1365969606744596e+30,7.404950287124795e+31
iter_0008,5.780459717159115e+31,9.535411053746948e+30,2.2221706667558892e+30,1.604902047896852e+30,7.116708093999084e+31
iter_0009,5.456811393341394e+31,1.1942984391709206e+31,1.8695214808041137e+30,1.6257775653775118e+30,7.000639737130477e+31
iter_0010,5.7220653446009055e+31,1.1227208783432305e+31,1.2315743267475759e+30,1.1314488798620519e+30,7.081088543605099e+31
iter_0011,5.44683815516645e+31,1.241499081450226e+31,1.9952635728753463e+30,1.352415055598534e+30,7.023105099464065e+31
iter_0012,5.726265292570511e+31,1.1490574692672028e+31,1.8130987633340597e+30,9.313713302086016e+29,7.14976977119198e+31
iter_0013,5.812092205978596e+31,9.876630727803466e+30,2.4900657631401494e+30,1.3113137809636936e+30,7.1798932331693265e+31
iter_0014,5.308497287438659e+31,9.537076876722864e+30,1.9335300850832008e+30,1.8977233001639458e+30,6.64533031363566e+31
iter_0015,5.406370357871065e+31,1.0991006062599678e+31,2.62046612427604e+30,1.0588593669511858e+30,6.873403513253755e+31
iter_0016,6.177442099882214e+31,1.1964416585587331e+31,2.0033125513113113e+30,2.7773731684271665e+30,7.851952330414795e+31
iter_0017,6.1079065148907075e+31,1.1256979269111452e+31,1.78167808390726e+30,2.7262018032995014e+29,7.439034268225573e+31
iter_0018,5.784053599273594e+31,1.3342799790681963e+31,1.9046037485034756e+30,1.5275872027167862e+30,7.461552673463817e+31
iter_0019,5.691713433823018e+31,1.2021794561303729e+31,1.9817991776946912e+30,1.0048423633164904e+30,7.192557044054509e+31
iter_0020,5.705084977865781e+31,1.1295246569257266e+31,1.7776435981584527e+30,1.3573035672237683e+30,7.14810435132973e+31
iter_0021,5.504970633104565e+31,1.053443036843858e+31,1.4755722241459355e+30,1.470559454660847e+30,6.853026837829101e+31
iter_0022,5.607113144063824e+31,1.0292629371746163e+31,2.1181293308395143e+30,7.217802218114411e+29,6.920367036503537e+31
iter_0023,5.614944383236135e+31,1.0519188319086135e+31,1.8337815947201198e+30,1.423007251013436e+30,6.9925420997181045e+31
iter_0024,5.833672428739734e+31,1.1267734726822578e+31,2.1874675316635075e+30,2.493504793531742e+29,7.204127702523659e+31
iter_0025,5.205275519888638e+31,1.0706637208613099e+31,1.789737718972718e+30,7.382775202958768e+29,6.528740764676809e+31
iter_0026,5.698967906278215e+31,9.994439152621722e+30,1.8026107303878963e+30,1.889474673283633e+30,7.06762036190754e+31
iter_0027,5.619968534160111e+31,9.792707331584762e+30,2.5322015146934144e+30,1.2322991385615414e+30,6.975689332644083e+31
iter_0028,5.5742284598047325e+31,1.2801006118680205e+31,1.6216364848360917e+30,1.1521000853037176e+30,7.131702728686734e+31
