iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,2.0630887888333138e+31,2.3802833347533508e+29,0.0,0.0,2.0868916221808476e+31
iter_0002,2.0514243548541767e+31,2.584233708859978e+29,0.0,0.0,2.077266691942777e+31
iter_0003,2.1711997874313227e+31,3.349319275004381e+29,0.0,0.0,2.2046929801813665e+31
iter_0004,2.134507145654052e+31,2.9324164568751758e+29,0.0,0.0,2.1638313102228037e+31
iter_0005,2.0005902576234074e+31,2.3721959442046683e+29,0.0,0.0,2.0243122170654542e+31
iter_0006,2.118517915983183e+31,3.569940348896228e+29,0.0,0.0,2.154217319472145e+31
iter_0007,2.1125692011688275e+31,2.8565174818466943e+29,0.0,0.0,2.141134375987295e+31
iter_0008,2.1451564155201315e+31,3.897615175649437e+29,0.0,0.0,2.1841325672766256e+31
iter_0009,2.047793874884762e+31,2.7711566263762507e+29,0.0,0.0,2.0755054411485243e+31
iter_0010,2.047918267622661e+31,2.718940690759779e+29,0.0,0.0,2.075107674530259e+31
iter_0011,2.1094693241666023e+31,2.3182072675469804e+29,0.0,0.0,2.1326513968420723e+31
iter_0012,2.1288314005020483e+31,1.6885151000875076e+29,0.0,0.0,2.1457165515029233e+31
iter_0013,2.1551489235176846e+31,2.4659227672568043e+29,0.0,0.0,2.179808151190253e+31
iter_0014,1.9716143330557531e+31,2.6472183938519248e+29,0.0,0.0,1.9980865169942725e+31
iter_0015,2.0500767853454006e+31,1.6061044551979498e+29,0.0,0.0,2.06613782989738e+31
iter_0016,2.3264357117191055e+31,3.478247055831878e+29,0.0,0.0,2.361218182277424e+31
iter_0017,2.2466399719497696e+31,2.8136127535120536e+29,0.0,0.0,2.2747760994848904e+31
iter_0018,2.077564320214171e+31,2.1760713083106033e+29,0.0,0.0,2.0993250332972767e+31
iter_0019,2.1092212426124082e+31,2.4624552274327326e+29,0.0,0.0,2.1338457948867356e+31
iter_0020,2.1205469637741914e+31,2.145455277970297e+29,0.0,0.0,2.1420015165538944e+31
iter_0021,2.035760715030238e+31,1.9754416006456965e+29,0.0,0.0,2.0555151310366945e+31
iter_0022,2.1494010007081293e+31,3.1461550007316136e+29,0.0,0.0,2.1808625507154453e+31
iter_0023,2.0852864776618455e+31,2.1980461775798168e+29,0.0,0.0,2.1072669394376443e+31
iter_0024,2.202425605069114e+31,3.0176900042822407e+29,0.0,0.0,2.232602505111936e+31
iter_0025,2.0227872920473702e+31,2.5197973702081713e+29,0.0,0.0,2.047985265749452e+31
