iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,3.676439535672693e+29,1.879089581227886e+28,7.056428616927411e+26,6.116492590789117e+20,3.871404928528902e+29
iter_0002,4.248972292666305e+29,9.540478320542165e+27,3.876468368225874e+26,1.1341993288063162e+19,4.348253544353372e+29
iter_0003,3.425324958833035e+29,1.8508993280964895e+28,6.313499447893198e+26,7.174406920735202e+21,3.616728462834646e+29
iter_0004,3.216647637607723e+29,8.124908716512938e+27,2.9444531887664252e+26,2.3004712638101942e+18,3.300841177984624e+29
iter_0005,2.9185877976550043e+29,6.74533661809747e+27,1.466027215566401e+26,5.410814046680108e+18,2.9875071911056535e+29
iter_0006,3.681767718516996e+29,6.925404685724602e+27,1.5925487320671894e+26,2.567576596653252e+20,3.752614316673887e+29
iter_0007,3.810565990311314e+29,1.4679110926705805e+28,1.7044467352616093e+27,6.25320527160262e+22,3.974402192251515e+29
iter_0008,3.366767557514158e+29,1.6833331126183653e+28,2.4805378888759862e+26,1.1103894619873758e+20,3.53758140777526e+29
iter_0009,3.476285085004475e+29,7.84873662429156e+27,5.33432360538262e+26,7.655819011278804e+19,3.560106775618354e+29
iter_0010,2.6050708204444588e+29,7.472361132983088e+27,5.525243244043891e+26,3.4789359601954744e+20,2.6853196784972698e+29
iter_0011,2.5712591915618438e+29,9.76448950843509e+27,4.122251781636224e+26,1.3124476231043834e+21,2.6730263515523073e+29
iter_0012,4.093925619924306e+29,2.8196884223366064e+28,9.235351276538849e+26,3.3579629818421556e+20,4.3851298167924685e+29
iter_0013,3.372943182380707e+29,1.0615440413360935e+28,1.4744307151206793e+27,3.24999170285141e+18,3.4938418936980224e+29
iter_0014,3.129142505209699e+29,1.2823239675996973e+28,3.743345406538091e+26,6.531742531591345e+19,3.2611182480293805e+29
iter_0015,3.083658187773441e+29,9.392112020685823e+27,3.248019186690118e+26,4.504210364387246e+20,3.1808273316712e+29
