iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,4.32236928932795e+29,6.905573673957708e+28,6.280408500156195e+27,6.179325455031441e+26,5.0819100671803135e+29
iter_0002,5.0859268842240376e+29,5.716173911010756e+28,5.029459299973309e+27,1.3303869923401295e+27,5.7211427382482474e+29
iter_0003,4.001475611107614e+29,6.995040772574253e+28,8.181271828699797e+27,2.1761005206440205e+27,4.804553411858478e+29
iter_0004,3.939054740924374e+29,3.292485072146514e+28,4.4116034399453264e+27,3.0290094702003415e+27,4.342709377240482e+29
iter_0005,3.584460919935416e+29,3.186402757931815e+28,4.6899757166472247e+27,6.894978315167552e+26,3.956895931210237e+29
iter_0006,4.388636803654122e+29,6.164975840031852e+28,1.330317224921877e+27,4.0360787135379605e+26,5.0224736386200646e+29
iter_0007,4.39236981633977e+29,6.6711587908553325e+28,8.595668311122554e+27,1.459831874824737e+27,5.160040697284776e+29
iter_0008,3.876863612608393e+29,6.639669633104535e+28,7.409406985526162e+27,6.277172233464071e+26,4.621201818007572e+29
iter_0009,4.181944068269719e+29,3.105852951571825e+28,4.214293367399229e+27,1.536341934730594e+27,4.5500357164482e+29
iter_0010,3.063914285382755e+29,3.55956425210492e+28,3.456779237509267e+27,1.8792829051048533e+27,3.473231332019388e+29
iter_0011,3.0063670463840642e+29,3.3582564318378356e+28,4.986869168426242e+27,1.6502140274570585e+27,3.4085635215266816e+29
iter_0012,4.8613851190638326e+29,1.0709554090067416e+29,1.900689337253023e+28,8.327436539344752e+27,6.205683827189324e+29
iter_0013,3.95928337629742e+29,3.289334348215511e+28,7.885932977978936e+27,1.8745900968271303e+27,4.385822041867032e+29
iter_0014,3.663393677290432e+29,4.565690090451992e+28,1.8226350430015896e+27,1.0602119859393277e+27,4.148791156625041e+29
iter_0015,3.631971125641505e+29,4.205582889047081e+28,3.162393923204383e+27,7.649814303135577e+26,4.091803168081392e+29
iter_0016,4.7146800656920485e+29,4.967562822245071e+28,6.02866964068141e+27,3.3630949300802484e+27,5.305353993624172e+29
iter_0017,4.3988444913106296e+29,4.450946847482011e+28,6.206627163178505e+27,3.658422810267102e+27,4.9425896757932866e+29
iter_0018,4.255558778158214e+29,6.071862852156619e+28,1.3238510468912994e+28,3.0618493110485953e+27,5.0257486611734916e+29
iter_0019,4.676690231895759e+29,5.3456710688127225e+28,3.8672630268050734e+27,5.131141899316574e+26,5.255061110944398e+29
iter_0020,4.696008493130587e+29,5.815068906641516e+28,5.141199531130444e+27,1.5844833769285112e+27,5.3447722128753285e+29
iter_0021,4.376325059292278e+29,5.19356700228998e+28,7.516864375783521e+27,4.5411801729856265e+27,5.016262205008968e+29
iter_0022,3.763402869106557e+29,6.399581529242997e+28,6.152830427297091e+27,1.7172168502626535e+27,4.4820614948064534e+29
iter_0023,5.036453778329349e+29,6.008255877084194e+28,4.7595652596511897e+27,1.3666560064993743e+27,5.698541578699275e+29
iter_0024,4.305596270796238e+29,5.343570901676531e+28,5.466740590012543e+27,5.155830365487805e+27,4.946179070518895e+29
iter_0025,3.71035179549831e+29,4.985887152780444e+28,6.44035794232359e+27,9.587129568627755e+26,4.282931219768219e+29
iter_0026,3.745184429295389e+29,5.323563867038551e+28,1.3763529436121756e+28,1.594930665863502e+27,4.431125417019096e+29
iter_0027,3.1862352305641166e+29,2.985662593598286e+28,3.176938384160485e+27,4.5611659037407773e+27,3.562182532802957e+29
iter_0028,3.92023807888442e+29,5.480365500661819e+28,6.53921808599215e+27,2.7583376148433035e+27,4.561250185958956e+29
iter_0029,4.373972827487599e+29,6.618212096619725e+28,2.4165828784514636e+28,2.06117017343919e+28,5.483569342338637e+29
iter_0030,3.0919675612807358e+29,3.747511591731265e+28,4.618836413424136e+27,1.1042839534338145e+27,3.523949924122442e+29
iter_0031,3.6225337920207155e+29,4.110106209235712e+28,4.395303367291834e+27,1.6040266034985976e+27,4.0935377126521915e+29
iter_0032,4.3306495953172654e+29,4.149397974800774e+28,3.6634226203238024e+27,1.0528404718271099e+27,4.792752023718852e+29
iter_0033,5.787424908968565e+29,4.85446526860139e+28,3.751901709859741e+27,3.7224734497434055e+27,6.347615187424736e+29
iter_0034,4.723496177489676e+29,6.925169637803346e+28,1.5475103775046077e+28,1.731030170637525e+27,5.588074480726846e+29
iter_0035,3.7766404195193424e+29,4.273804245946107e+28,6.270861267534013e+27,1.9131231253566142e+27,4.285860688042859e+29
iter_0036,4.6466714926636195e+29,5.532651616756898e+28,6.562793615902162e+27,6.50361765252971e+27,5.330600767023628e+29
iter_0037,4.771377573801715e+29,6.601301565490436e+28,5.089544540968223e+27,2.2263989866660626e+27,5.504667165627101e+29
iter_0038,4.4079934705745346e+29,5.392611570195556e+28,3.607460280339559e+28,6.412791645898723e+26,5.314413447273945e+29
iter_0039,3.705031659746191e+29,5.467505458386921e+28,1.2805801527987148e+28,3.674086594198563e+27,4.41658108680674e+29
iter_0040,4.01630779389559e+29,7.216000788271535e+28,2.583060475139597e+27,1.5176950909426567e+27,4.778915428383565e+29
iter_0041,4.401907741204083e+29,4.318147216331766e+28,1.1854480226503325e+28,7.667007446411079e+27,5.028937339566404e+29
iter_0042,4.362788418977755e+29,4.426412987351669e+28,2.9507204286066746e+27,4.644711163608392e+26,4.8395816331625966e+29
iter_0043,4.81495910662047e+29,6.163284404959723e+28,6.315931174744939e+27,7.025975857489533e+26,5.501472834721381e+29
iter_0044,3.321875430399787e+29,4.542568254615691e+28,1.237407617935348e+28,8.895141576837173e+27,3.9888244334232624e+29
iter_0045,5.215032552806433e+29,6.760995188066401e+28,9.74262134070269e+27,4.6172358797085625e+27,6.034730643817185e+29
iter_0046,4.087048529883312e+29,7.592468158800014e+28,4.323898315281805e+27,1.2767500098743116e+27,4.902301829014874e+29
iter_0047,4.6340744981653575e+29,4.831621400527308e+28,4.9356809863865846e+27,1.115497573543436e+27,5.1777484238173886e+29
iter_0048,4.857687277214013e+29,6.767997029552855e+28,1.0764263562205067e+28,1.9021394939417843e+27,5.661151010730768e+29
iter_0049,3.7406206289564e+29,4.005934474581608e+28,9.371116067293363e+27,1.9386843140572722e+27,4.254312080228067e+29
iter_0050,3.632815128170696e+29,4.283688036711452e+28,5.865852251116651e+27,6.666241847164199e+26,4.1265086962001715e+29
iter_0051,3.980623850904102e+29,4.771164289054313e+28,7.434054125386577e+27,1.7401621926659994e+27,4.5494824429900596e+29
iter_0052,3.839814095657016e+29,5.502129801720955e+28,1.1945254832934455e+28,2.2509608416900024e+27,4.5319892325753554e+29
iter_0053,4.349361480875333e+29,7.673228704170282e+28,1.3021425200202758e+28,5.398705734191817e+27,5.3008856606363076e+29
iter_0054,4.608229960118747e+29,5.251232670494769e+28,3.3665272516819315e+27,1.577731204805595e+27,5.182795811733099e+29
iter_0055,4.7132491026339696e+29,5.621842264607117e+28,5.959928715303073e+27,3.8310922485344086e+27,5.373343538733056e+29
iter_0056,4.8336734850361434e+29,4.7056040913152475e+28,1.0402423678476136e+28,6.705815098560159e+27,5.475316281938031e+29
iter_0057,3.6406491968178506e+29,4.21803576956811e+28,4.5827777865925715e+27,8.663025410208505e+26,4.116943577050796e+29
iter_0058,4.893959273837972e+29,9.607297034760274e+28,5.261117555654735e+27,8.600074296964542e+26,5.915900227167512e+29
iter_0059,3.0248117249799487e+29,5.329271500070863e+28,2.9774716974452574e+28,7.81513439196216e+28,4.6369994839277765e+29
iter_0060,4.29983402568623e+29,5.505999517061226e+28,8.658093653546454e+27,1.6270673663205174e+27,4.9532855875910225e+29
iter_0061,4.6944177670319255e+29,6.002958728113113e+28,1.1713189748851365e+28,4.659944196338591e+27,5.4584449792951355e+29
iter_0062,4.7046350666778016e+29,4.5318381196387825e+28,2.945304155745434e+27,5.1199905087467324e+26,5.192391910707881e+29
iter_0063,3.6499031750844844e+29,3.696146666875324e+28,4.0008038460465e+27,1.1027131962686191e+27,4.070553012195168e+29
iter_0064,5.002997036178125e+29,3.6337062046472104e+28,2.3115977857875865e+27,7.292983977383509e+26,5.3967766184781055e+29
iter_0065,3.452378365930416e+29,3.570106832672926e+28,8.286589113245977e+27,3.371858424216037e+27,3.925973524572328e+29
iter_0066,4.331533444336459e+29,4.547576693878859e+28,5.972983348855932e+27,7.62257180603301e+27,4.9222466652732336e+29
iter_0067,3.436180965079281e+29,3.5385154222802e+28,4.7384437756908514e+27,3.1453436822491114e+27,3.868870381886701e+29
iter_0068,3.860799326663037e+29,4.496535292959804e+28,5.251336677268234e+27,6.2925813701375e+26,4.3692588041018364e+29
iter_0069,3.626403261077064e+29,3.421619517054275e+28,6.194806054580913e+27,4.1694798114073386e+27,4.072208071442374e+29
iter_0070,4.0905659774738455e+29,6.8264010192970335e+28,3.4728474312112362e+28,6.9827226763763415e+28,5.818763090162307e+29
iter_0071,3.601438135921846e+29,4.394922530258819e+28,1.304459748208786e+28,7.023656677935588e+26,4.178400020446542e+29
iter_0072,3.1294319369928108e+29,4.016704121410731e+28,6.094815368313078e+27,4.368242174490931e+27,3.635732924561925e+29
iter_0073,5.420868905575299e+29,6.828067121948255e+28,3.814509386856224e+27,1.7667167430079312e+27,6.159487879068766e+29
iter_0074,3.729742271861685e+29,3.5493155418337816e+28,3.7821560873324085e+27,6.51476377543539e+26,4.129010150693823e+29
iter_0075,4.365394482061389e+29,3.929750613416165e+28,6.579371224449764e+27,7.833190930389635e+26,4.831996446577893e+29
iter_0076,4.312523613559385e+29,5.692454782540937e+28,7.683073831749104e+27,9.368062870185749e+27,5.0522804588328275e+29
