iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,2.3603539135755414e+29,4.3591883598929877e+27,0.0,0.0,2.4039457971744713e+29
iter_0002,2.7021895866505266e+29,1.2932039380686745e+27,0.0,0.0,2.7151216260312134e+29
iter_0003,2.1287953214604756e+29,2.0725280101738166e+27,0.0,0.0,2.149520601562214e+29
iter_0004,2.0587369155767826e+29,8.956200456599312e+26,0.0,0.0,2.067693116033382e+29
iter_0005,1.8258177765535764e+29,9.056820900638804e+26,0.0,0.0,1.8348745974542154e+29
iter_0006,2.2377653646563586e+29,8.24961954659607e+26,0.0,0.0,2.2460149842029545e+29
iter_0007,2.4929623439960777e+29,2.160786100991391e+27,0.0,0.0,2.5145702050059916e+29
iter_0008,2.1664291130309366e+29,6.878144636994316e+26,0.0,0.0,2.1733072576679308e+29
iter_0009,2.367973382459554e+29,1.411832344645652e+27,0.0,0.0,2.3820917059060106e+29
iter_0010,1.713687241031278e+29,6.270225986132774e+26,0.0,0.0,1.7199574670174107e+29
iter_0011,1.7369570324711632e+29,1.534703797977552e+27,0.0,0.0,1.7523040704509386e+29
iter_0012,2.25815366781946e+29,4.1927525104739623e+27,0.0,0.0,2.3000811929241995e+29
iter_0013,2.3511753687146652e+29,1.4823255902096918e+27,0.0,0.0,2.365998624616762e+29
iter_0014,2.1523908985388054e+29,3.138590354097846e+27,0.0,0.0,2.183776802079784e+29
iter_0015,2.0312432772394705e+29,1.1847509062349013e+27,0.0,0.0,2.0430907863018194e+29
iter_0016,2.540204545226252e+29,1.3321856646616733e+27,0.0,0.0,2.553526401872869e+29
iter_0017,2.3452647999144612e+29,9.711169746040934e+26,0.0,0.0,2.3549759696605023e+29
iter_0018,2.193537842868261e+29,1.5115536794434449e+27,0.0,0.0,2.2086533796626957e+29
iter_0019,2.041453806977869e+29,2.841766885980776e+27,0.0,0.0,2.0698714758376768e+29
iter_0020,2.2731795019858986e+29,2.9768527027393505e+27,0.0,0.0,2.3029480290132922e+29
iter_0021,2.3528372705675025e+29,9.288002088444379e+26,0.0,0.0,2.3621252726559468e+29
iter_0022,1.983016756065815e+29,1.3244292210896914e+27,0.0,0.0,1.996261048276712e+29
iter_0023,2.4058752742471785e+29,4.10437159081425e+27,0.0,0.0,2.446918990155321e+29
iter_0024,2.2854611111379875e+29,6.983285038950604e+26,0.0,0.0,2.292444396176938e+29
iter_0025,1.987566369561032e+29,1.1123740357583507e+27,0.0,0.0,1.9986901099186156e+29
iter_0026,2.0906721666074528e+29,3.662372725003398e+27,0.0,0.0,2.127295893857487e+29
iter_0027,1.871457677303533e+29,7.679424384901456e+26,0.0,0.0,1.8791371016884344e+29
iter_0028,2.2708937680211067e+29,1.6201554207733945e+27,0.0,0.0,2.2870953222288406e+29
iter_0029,2.310918435466647e+29,2.6368721395746494e+27,0.0,0.0,2.3372871568623935e+29
iter_0030,1.7509725159114743e+29,1.0869673623470886e+27,0.0,0.0,1.7618421895349453e+29
iter_0031,2.0806563667741293e+29,1.8196206534588425e+27,0.0,0.0,2.0988525733087177e+29
iter_0032,2.4292616648102362e+29,2.2852812131394242e+27,0.0,0.0,2.4521144769416305e+29
iter_0033,2.516413562022064e+29,6.611958807574508e+26,0.0,0.0,2.5230255208296385e+29
iter_0034,2.4019269325050958e+29,8.561755985135187e+26,0.0,0.0,2.4104886884902308e+29
iter_0035,2.25648950579042e+29,3.413426799264936e+27,0.0,0.0,2.2906237737830694e+29
iter_0036,2.5326894353625367e+29,1.0604607846639346e+27,0.0,0.0,2.5432940432091762e+29
iter_0037,2.532846692228982e+29,1.972988435166473e+27,0.0,0.0,2.5525765765806466e+29
iter_0038,2.2697339328093212e+29,4.327812702094781e+27,0.0,0.0,2.313012059830269e+29
iter_0039,2.0195075667694687e+29,8.119010435398383e+26,0.0,0.0,2.027626577204867e+29
iter_0040,2.0506103967401456e+29,1.0050966438101015e+27,0.0,0.0,2.0606613631782466e+29
iter_0041,2.229451163468643e+29,9.106539094035355e+26,0.0,0.0,2.2385577025626785e+29
iter_0042,2.4398218869591777e+29,1.192898986122535e+27,0.0,0.0,2.451750876820403e+29
iter_0043,2.665885797147076e+29,4.3466822322346703e+27,0.0,0.0,2.7093526194694227e+29
iter_0044,1.7573910666675224e+29,8.148155535715306e+26,0.0,0.0,1.7655392222032378e+29
iter_0045,2.4785265490093654e+29,2.7581304648234785e+27,0.0,0.0,2.5061078536576e+29
iter_0046,2.366916925346917e+29,1.0812531907469209e+27,0.0,0.0,2.3777294572543862e+29
iter_0047,2.1733887180863926e+29,1.8273773924678668e+27,0.0,0.0,2.1916624920110712e+29
iter_0048,2.4358186158046543e+29,2.07615874360943e+27,0.0,0.0,2.4565802032407487e+29
iter_0049,2.106104562197167e+29,1.492596538173366e+27,0.0,0.0,2.1210305275789004e+29
iter_0050,1.945625038288613e+29,1.9710982669293402e+27,0.0,0.0,1.9653360209579065e+29
iter_0051,2.186767557388425e+29,2.5065294058461707e+27,0.0,0.0,2.211832851446887e+29
iter_0052,2.0282070388909035e+29,5.228335690697314e+27,0.0,0.0,2.0804903957978768e+29
iter_0053,2.2067730647288472e+29,1.9012084430621205e+27,0.0,0.0,2.2257851491594683e+29
