iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,7.952357292303809e+27,7.66521088297599e+26,2.4108386811575015e+24,3.660363053516056e+20,8.72128958531887e+27
iter_0002,7.991300724674731e+27,7.70612834055779e+26,2.103761160195824e+24,1.57136797751952e+20,8.764017477027504e+27
iter_0003,8.059538495193315e+27,7.661528242015387e+26,2.1273440055744847e+24,1.5528812954310545e+20,8.827818818688557e+27
iter_0004,8.067269910086901e+27,7.681917078262309e+26,2.212754687660811e+24,7.579539656270625e+21,8.837681952140449e+27
iter_0005,8.015633156008187e+27,7.610480371693999e+26,2.2257863494859495e+24,2.2923485789696528e+20,8.778907208761932e+27
iter_0006,7.982225530219775e+27,7.74964309226462e+26,2.0737705244444722e+24,1.0352541969540366e+20,8.759263713496101e+27
iter_0007,7.994773153354249e+27,7.625777774104608e+26,2.0709839462313896e+24,3.0133291804197834e+20,8.759422216043859e+27
iter_0008,7.914009462522828e+27,7.620474077820587e+26,1.9769821697726305e+24,1.6878340746768493e+21,8.678035540308734e+27
iter_0009,8.02557054244621e+27,7.604252480424527e+26,2.327923242412741e+24,9.243341044232467e+20,8.788324638065181e+27
iter_0010,8.085063303623974e+27,7.588277549303695e+26,2.1468274924642177e+24,2.88392240580053e+20,8.846038174439049e+27
iter_0011,8.023583383383762e+27,7.624469925691459e+26,2.0901055114079362e+24,7.579539656270625e+21,8.788128061003971e+27
iter_0012,8.001744121508205e+27,7.60176958987531e+26,2.1345154045995135e+24,4.288910244523867e+20,8.76405602479136e+27
iter_0013,8.038646908453263e+27,7.630658034999692e+26,2.3606350742934916e+24,4.436803701231583e+19,8.804073391395562e+27
iter_0014,7.966911079901077e+27,7.734881590351156e+26,2.3296732263143985e+24,4.436803701231583e+19,8.742728956530545e+27
iter_0015,8.077836496844799e+27,7.630948242001126e+26,2.1437308796658742e+24,9.982808327771069e+19,8.84307515175266e+27
iter_0016,7.994942913780455e+27,7.758176528402586e+26,2.604100280423205e+24,7.579539656270625e+21,8.773372246440792e+27
iter_0017,7.96928236674113e+27,7.630404030625188e+26,2.221551580530792e+24,9.982808327771069e+19,8.734544421212263e+27
iter_0018,7.966378493109924e+27,7.616676793371821e+26,2.4424673126745066e+24,7.487106245828303e+20,8.730489388470405e+27
iter_0019,7.973464877388146e+27,7.880775780618206e+26,2.2566318495102163e+24,1.3495277924579403e+20,8.763799222252257e+27
iter_0020,8.03539029474893e+27,7.618550170244851e+26,2.3147051802875482e+24,2.2923485789696528e+20,8.799560246188561e+27
iter_0021,8.018028774779219e+27,7.747385338886306e+26,2.2176508361218337e+24,1.5288486087160501e+21,8.79498648835258e+27
iter_0022,8.035359741470086e+27,7.557694689967408e+26,2.1262957478436828e+24,1.3040505545203173e+22,8.793268546720216e+27
iter_0023,7.951378214089983e+27,7.699590611253732e+26,2.1173923020450166e+24,1.5528812954310545e+20,8.723454822805531e+27
iter_0024,8.069334195603077e+27,7.625549040577918e+26,2.3081260128470404e+24,1.3040505545203173e+22,8.834210266179261e+27
iter_0025,8.017163851914709e+27,7.662974186700895e+26,2.1134349789036448e+24,9.243341044232467e+20,8.785575629897807e+27
iter_0026,8.008049393178088e+27,7.793787133080418e+26,2.3598863809132727e+24,1.3040505545203173e+22,8.789801033372589e+27
iter_0027,8.014454009557391e+27,7.724965507115968e+26,2.4647811535402815e+24,4.436803701231583e+19,8.789415385790566e+27
iter_0028,8.026897268508532e+27,7.62808368713317e+26,2.473303631396765e+24,1.0722275611309665e+20,8.792179048076003e+27
iter_0029,8.059365644657436e+27,7.64756570621688e+26,2.296740559693988e+24,2.88392240580053e+20,8.826419244231059e+27
iter_0030,7.97894239393612e+27,7.62628610217235e+26,2.3217554002621088e+24,8.00473334430532e+20,8.743893560026953e+27
iter_0031,7.998889978961463e+27,7.600983158075107e+26,2.1416052968476994e+24,3.0133291804197834e+20,8.761130201398739e+27
iter_0032,7.940447389913117e+27,7.685428191005978e+26,2.0821394760845745e+24,1.3495277924579403e+20,8.711072483442579e+27
iter_0033,7.991656358251489e+27,7.649566554279867e+26,2.1802556148450835e+24,3.0133291804197834e+20,8.758793570627238e+27
iter_0034,8.016942951136706e+27,7.774147201080883e+26,2.1781991361185112e+24,4.436803701231583e+19,8.79653591474895e+27
iter_0035,7.929223854081602e+27,7.671693097493967e+26,2.3733822116437288e+24,1.5528812954310545e+20,8.698766701330772e+27
iter_0036,7.866367766573831e+27,7.631805664451672e+26,2.2769269661116398e+24,4.288910244523867e+20,8.631825688876134e+27
iter_0037,7.901182769055733e+27,7.665622702911758e+26,2.3985261173806278e+24,3.0133291804197834e+20,8.670143866797207e+27
iter_0038,7.973893683134801e+27,7.716404437127263e+26,2.330795094583487e+24,3.0133291804197834e+20,8.747865223275028e+27
iter_0039,7.944621369508856e+27,7.597908267512525e+26,2.116153683213726e+24,8.817962489376882e+22,8.706616529568216e+27
iter_0040,7.931727076197883e+27,7.672161360328041e+26,2.0139676791010685e+24,1.0722275611309665e+20,8.700957287132545e+27
iter_0041,8.119777195870752e+27,7.72774584210337e+26,2.2181093857953435e+24,1.3040505545203173e+22,8.89478292997243e+27
iter_0042,7.991370586104951e+27,7.650418847371477e+26,1.9101400804832967e+24,3.660363053516056e+20,8.758322976958887e+27
iter_0043,8.01732283105099e+27,7.653968702224304e+26,2.2250352556403168e+24,1.0722275611309665e+20,8.784944843751818e+27
iter_0044,8.038668718729563e+27,7.570938964050053e+26,2.2460934039633904e+24,1.3040505545203173e+22,8.798021749044078e+27
iter_0045,8.063596372600175e+27,7.757046124788725e+26,2.3100178866657705e+24,9.982808327771069e+19,8.841611102793796e+27
iter_0046,7.975709391153553e+27,7.653871340091083e+26,2.346074072301431e+24,3.697336417692988e+19,8.743442636208327e+27
iter_0047,7.99566638193698e+27,7.732103064067788e+26,2.387290459260047e+24,9.982808327771069e+19,8.771264078631103e+27
iter_0048,7.991308707096635e+27,7.718438947997027e+26,2.1477549684449026e+24,1.0352541969540366e+20,8.765300460390203e+27
iter_0049,7.967752173654834e+27,7.718517341780136e+26,2.198264862004136e+24,1.0352541969540366e+20,8.741802276220271e+27
iter_0050,7.990596125593472e+27,7.640603261663052e+26,2.6773448897162953e+24,1.6878340746768493e+21,8.757335484483568e+27
iter_0051,7.966156231948198e+27,7.599939751559459e+26,2.2620155248578733e+24,7.487106245828303e+20,8.728412971339625e+27
iter_0052,7.932166404821671e+27,7.761209267883844e+26,2.2455057698856462e+24,1.57136797751952e+20,8.710532994516739e+27
iter_0053,7.937062833666661e+27,7.632132357105357e+26,2.1310174703349508e+24,7.487106245828303e+20,8.702407835558156e+27
iter_0054,8.035101925705549e+27,7.555522232728532e+26,2.271635833649891e+24,1.5528812954310545e+20,8.792925940100181e+27
iter_0055,7.983621657783837e+27,7.759657225975571e+26,2.1790265338809435e+24,8.00473334430532e+20,8.76176720738861e+27
iter_0056,7.981264318703574e+27,7.606867537817238e+26,2.2284969457016522e+24,1.0352541969540366e+20,8.74417967295642e+27
iter_0057,7.906581574885747e+27,7.670361463208646e+26,2.2410144002983404e+24,3.0133291804197834e+20,8.675859036939828e+27
iter_0058,7.985698462637813e+27,7.758744505237088e+26,2.28136914472196e+24,4.436803701231583e+19,8.763854326674281e+27
iter_0059,8.040091017650664e+27,7.731135683375724e+26,1.9554711565197825e+24,1.0722275611309665e+20,8.815160164367514e+27
iter_0060,8.005348745853821e+27,7.725868397661281e+26,2.322326268141679e+24,9.982808327771069e+19,8.780258011716175e+27
iter_0061,8.002231982772741e+27,7.824487480879828e+26,2.294641276341877e+24,1.0352541969540366e+20,8.786975475662485e+27
iter_0062,7.933931963616409e+27,7.815186558541544e+26,2.7173190355912655e+24,1.3040505545203173e+22,8.7181809790117e+27
iter_0063,8.055051193581968e+27,7.64947179901469e+26,2.1080173284954522e+24,2.88392240580053e+20,8.822106679204173e+27
iter_0064,7.986355899432802e+27,7.808478280762008e+26,2.6008171986839824e+24,7.487106245828303e+20,8.769805293418311e+27
iter_0065,7.983432929475081e+27,7.609411698966767e+26,2.2154150953860763e+24,1.6878340746768493e+21,8.746591202301218e+27
iter_0066,7.951570519733898e+27,7.829197294940606e+26,2.1735253576075633e+24,4.436803701231583e+19,8.736663818953604e+27
iter_0067,8.042353219140456e+27,7.650622025158416e+26,2.366629050752332e+24,1.6878340746768493e+21,8.809783738541124e+27
