iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,1.0503825124055181e+28,3.183282966496856e+27,1.7130731140419516e+25,7.124677786685163e+25,1.3775485599559308e+28
iter_0002,1.0542525627878197e+28,3.203505708314426e+27,1.661618722998671e+25,7.145582390186044e+25,1.383410334732447e+28
iter_0003,1.062435168060246e+28,3.1542754740738016e+27,1.6557754478538913e+25,7.3926219374179155e+25,1.3869111128528981e+28
iter_0004,1.0677587385107282e+28,3.1770520972545355e+27,1.662658394098858e+25,3.6179931634288853e+25,1.3907445997937094e+28
iter_0005,1.0588726576572054e+28,3.1732337513408047e+27,1.625420757596394e+25,5.1441505126249006e+25,1.3829656040615072e+28
iter_0006,1.054748306314565e+28,3.1945645635130994e+27,1.5849710242927282e+25,4.699017177705215e+25,1.3804887508678728e+28
iter_0007,1.0609393623069094e+28,3.185399241764386e+27,1.6276377477343827e+25,4.485469535060377e+25,1.3855923937661426e+28
iter_0008,1.0442791057536173e+28,3.172805655463061e+27,1.6403725898038184e+25,5.6661151809662905e+25,1.3688661590706936e+28
iter_0009,1.0589189281055614e+28,3.154168688522072e+27,1.7118149628679303e+25,4.485059018762978e+25,1.3805326709393995e+28
iter_0010,1.0672746499418222e+28,3.1801800641749325e+27,1.6425076452561948e+25,6.405372292893272e+25,1.393340536297465e+28
iter_0011,1.0584934997527159e+28,3.1656889661182337e+27,1.6507603591552285e+25,5.157370907467066e+25,1.3818705276311615e+28
iter_0012,1.060317897232419e+28,3.185373904201595e+27,1.6297817768753812e+25,6.493435331565942e+25,1.3869785047610198e+28
iter_0013,1.062189067390394e+28,3.192919520642468e+27,1.7437521651660266e+25,8.8533468628128e+25,1.3920781184826196e+28
iter_0014,1.0558221086579715e+28,3.171977115403704e+27,1.6703985546899886e+25,9.503199872836262e+25,1.3841934186258682e+28
iter_0015,1.0692493037907855e+28,3.17926255256561e+27,1.6742882633048812e+25,6.158409980882623e+25,1.395008257291534e+28
iter_0016,1.0561890143871955e+28,3.215097257081182e+27,1.7359744610190082e+25,6.657687804502384e+25,1.3860924023608354e+28
iter_0017,1.0518040991360825e+28,3.180098574204764e+27,1.666353928990186e+25,5.7796416360371546e+25,1.3772599521215861e+28
iter_0018,1.0555498755303852e+28,3.178206849591543e+27,1.8361269988394072e+25,4.741437821930668e+25,1.3799481253103096e+28
iter_0019,1.0511131837461141e+28,3.1936053086957477e+27,1.6662387765334354e+25,5.245289653501865e+25,1.3773852430457244e+28
iter_0020,1.0633634711251187e+28,3.19821662001251e+27,1.6866778542132363e+25,5.922902949378454e+25,1.3907947139299613e+28
iter_0021,1.0604033508698845e+28,3.184925481572356e+27,1.6116233649357124e+25,5.262655592708757e+25,1.3857701779847644e+28
iter_0022,1.0591184189281246e+28,3.154692755257668e+27,1.686965226338377e+25,4.964279207828189e+25,1.381238938888058e+28
