iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,3.9121148991786934e+27,8.140640916616898e+25,0.0,0.0,3.9935213083448626e+27
iter_0002,3.9357109355077874e+27,8.160226349547027e+25,0.0,0.0,4.0173131990032575e+27
iter_0003,3.9804982156455066e+27,7.932385626593814e+25,0.0,0.0,4.0598220719114447e+27
iter_0004,3.947251678457749e+27,8.14485397163333e+25,0.0,0.0,4.0287002181740824e+27
iter_0005,3.938282710816865e+27,8.070179218735924e+25,0.0,0.0,4.018984503004224e+27
iter_0006,3.924814733385868e+27,8.219748146303991e+25,0.0,0.0,4.0070122148489083e+27
iter_0007,3.9055883442265394e+27,8.057274502683496e+25,0.0,0.0,3.9861610892533744e+27
iter_0008,3.89752550831347e+27,8.03261224700518e+25,0.0,0.0,3.977851630783522e+27
iter_0009,3.9356445319896363e+27,7.926911550866251e+25,0.0,0.0,4.014913647498299e+27
iter_0010,3.9601515171865576e+27,8.066827534431743e+25,0.0,0.0,4.040819792530875e+27
iter_0011,3.942625268166985e+27,8.045206311953622e+25,0.0,0.0,4.023077331286521e+27
iter_0012,3.922609058319971e+27,7.876106819505483e+25,0.0,0.0,4.001370126515026e+27
iter_0013,3.950667061499549e+27,8.020946708196217e+25,0.0,0.0,4.030876528581511e+27
iter_0014,3.8961939843624643e+27,8.1498488762689e+25,0.0,0.0,3.977692473125153e+27
iter_0015,3.96499021748129e+27,8.040994350555019e+25,0.0,0.0,4.04540016098684e+27
iter_0016,3.931555378979182e+27,8.1399755417754e+25,0.0,0.0,4.012955134396936e+27
iter_0017,3.934311446079036e+27,8.126587110141967e+25,0.0,0.0,4.015577317180456e+27
iter_0018,3.90731725795431e+27,8.049044743507146e+25,0.0,0.0,3.9878077053893817e+27
iter_0019,3.9257433442435253e+27,8.271348210342039e+25,0.0,0.0,4.008456826346946e+27
iter_0020,3.9297219354762364e+27,8.045365824994254e+25,0.0,0.0,4.010175593726179e+27
iter_0021,3.927221906932074e+27,7.99794507229675e+25,0.0,0.0,4.0072013576550414e+27
iter_0022,3.9481877878801827e+27,7.959473032281081e+25,0.0,0.0,4.0277825182029935e+27
iter_0023,3.904443523470802e+27,8.11029436918651e+25,0.0,0.0,3.985546467162667e+27
iter_0024,3.9710819239410254e+27,7.932542409504582e+25,0.0,0.0,4.0504073480360715e+27
