iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,1.4640805983545019e+28,6.76052050849763e+26,2.663524803047387e+24,1.0445904954803014e+16,1.5319521559208274e+28
iter_0002,1.4669756614668376e+28,6.814922631474282e+26,2.726620323169262e+24,4.166822684172613e+17,1.5353975498555654e+28
iter_0003,1.4729537950394469e+28,6.651605632451155e+26,2.859120813616291e+24,9.693423844985856e+17,1.5397557635422543e+28
iter_0004,1.4832931786559082e+28,6.728753127622683e+26,2.748451904240406e+24,3872127685318560.5,1.5508555551229462e+28
iter_0005,1.467242211769588e+28,6.634021959250914e+26,2.8028485977383427e+24,4.476379265198263e+17,1.5338627162666345e+28
iter_0006,1.4587863563761197e+28,6.714808407480856e+26,2.5766455433399223e+24,1.3354725788457896e+19,1.5261921063407348e+28
iter_0007,1.4620062211607468e+28,6.822472068901802e+26,2.6476082005766506e+24,5319535272676233.0,1.5304957026703546e+28
iter_0008,1.482599923043821e+28,6.601097446540944e+26,2.707739769009488e+24,1.1985110490201349e+17,1.5488816714981166e+28
iter_0009,1.4682918725970938e+28,6.665114480769815e+26,2.679107951789672e+24,3594401841131972.5,1.5352109282003304e+28
iter_0010,1.4624254106648249e+28,6.823600207493347e+26,2.598917308918162e+24,2602330062963526.0,1.5309213044709105e+28
iter_0011,1.4745036465615217e+28,6.703334756945573e+26,2.842600702321594e+24,4525281315632764.0,1.5418212542016623e+28
iter_0012,1.463548058335921e+28,6.567043220157014e+26,2.756001643125268e+24,2.986334369364677e+16,1.52949409070479e+28
iter_0013,1.4798503788661577e+28,6.737749018377003e+26,2.574964841969302e+24,1.5803293031231828e+19,1.547485367114454e+28
iter_0014,1.469750689698468e+28,6.955015648453571e+26,2.737184334211022e+24,6361820721250364.0,1.539574564617061e+28
iter_0015,1.4624449049362967e+28,6.706637528618378e+26,2.5695597618598115e+24,3.8496978487663944e+16,1.529768236202516e+28
iter_0016,1.46547572139857e+28,6.694176424477631e+26,2.897784819359073e+24,4.576966407784535e+17,1.5327072641710517e+28
iter_0017,1.469742044920743e+28,6.858088840977763e+26,2.600888568861878e+24,5.738599582130847e+18,1.5385830227612668e+28
iter_0018,1.4611022448702733e+28,6.659735028409318e+26,2.7139775686831426e+24,1.4829897598870467e+19,1.5279709943942247e+28
iter_0019,1.466707525191956e+28,6.668059051902082e+26,2.7436612642134694e+24,6.295894306563567e+16,1.533662481843694e+28
iter_0020,1.4581851130769605e+28,6.896808094779721e+26,2.6214989088093024e+24,229829386176575.1,1.5274153439156617e+28
iter_0021,1.4735658045291973e+28,6.747488129846518e+26,2.7408630902453414e+24,3.957051951220574e+19,1.5413147760937392e+28
iter_0022,1.4634913970615389e+28,6.786998480105092e+26,2.797282428221456e+24,46881692946003.65,1.5316411101054166e+28
iter_0023,1.4732985974255242e+28,6.767684204504481e+26,2.825617606503018e+24,6916493734500792.0,1.5412580012319108e+28
iter_0024,1.4823512652865267e+28,6.792122962732725e+26,2.9976132981813565e+24,2.8295401439753334e+18,1.5505722565266261e+28
iter_0025,1.4550311154522909e+28,6.77426565289425e+26,2.76414041527131e+24,1711591658509622.8,1.5230501860229315e+28
iter_0026,1.4704940305948343e+28,6.924606227405277e+26,2.7067215058419754e+24,1.5538722315694958e+18,1.5400107651748583e+28
iter_0027,1.4639009726276409e+28,6.5974849197481e+26,2.5892123329726145e+24,11730713554684.557,1.5301347430584204e+28
iter_0028,1.4853596797476472e+28,6.697322019115183e+26,2.861562189573659e+24,4.039271241890717e+17,1.552619056198149e+28
iter_0029,1.4629186816718927e+28,6.634072534573806e+26,2.696288592524079e+24,5456524667751901.0,1.5295290358774288e+28
iter_0030,1.4687645075025551e+28,6.782937719219228e+26,2.888464232303058e+24,3.2589049295808794e+17,1.5368827311505668e+28
iter_0031,1.4655467360777447e+28,6.672511405184146e+26,2.668873869007622e+24,6.051711098602362e+18,1.532538738121658e+28
iter_0032,1.4599699979030345e+28,6.846402595587285e+26,2.7651393023175584e+24,310154345271671.25,1.52871053778917e+28
iter_0033,1.4679144638061359e+28,6.734138358885894e+26,2.488000081646524e+24,1.398376082844564e+16,1.5355046474045578e+28
iter_0034,1.4692349971777702e+28,6.940807661885899e+26,2.588930878442295e+24,1.1810995637202598e+18,1.5389019670025836e+28
iter_0035,1.4831449489488654e+28,6.608906808083112e+26,2.6385436421674297e+24,8.735159753396886e+17,1.5494978714812648e+28
iter_0036,1.4739114795336293e+28,6.713740114827564e+26,2.6820475032411674e+24,474370991545015.0,1.5413170854322766e+28
iter_0037,1.4712361653897333e+28,6.778853128504943e+26,2.7201612600567633e+24,2677441541768476.0,1.5392967128010562e+28
iter_0038,1.478102019523572e+28,6.685206513768926e+26,2.753286744537512e+24,3.9307926101405843e+17,1.5452294133750228e+28
iter_0039,1.4695991216456164e+28,6.76420545927816e+26,2.625223862051571e+24,1392095773631231.2,1.5375036986247424e+28
iter_0040,1.4653459815703106e+28,6.726786070760633e+26,2.77462996098023e+24,1.8727788755108042e+17,1.5328913052927426e+28
iter_0041,1.4501027419184652e+28,6.806899830823228e+26,2.8630610428124686e+24,420402004312660.25,1.5184580463310206e+28
iter_0042,1.4748903364555946e+28,6.602990069832668e+26,2.6493865553720327e+24,8.93145412015972e+16,1.54118517581839e+28
iter_0043,1.4565486556064203e+28,6.824365759950133e+26,2.762589880557035e+24,6.5537313903473736e+16,1.525068572200531e+28
iter_0044,1.4686294197287145e+28,6.672101787370329e+26,2.7368782026099797e+24,946794171902131.6,1.5356241254227736e+28
iter_0045,1.4608023933322773e+28,6.830440115313067e+26,2.554270580312377e+24,9018039417247.916,1.52936222154344e+28
iter_0046,1.469560813821663e+28,6.758478371956569e+26,2.7219530562071605e+24,8635376024407321.0,1.5374177928477131e+28
iter_0047,1.4631693014788293e+28,6.765053809383436e+26,3.083790972780619e+24,4.386305205934242e+19,1.531128223056247e+28
iter_0048,1.4722227773848328e+28,6.740899107677584e+26,2.8101918872902857e+24,1.106811390863711e+17,1.5399127876614058e+28
iter_0049,1.46099829931887e+28,6.697231263823329e+26,2.5591895189860343e+24,3.701754607501726e+19,1.5282265346107565e+28
iter_0050,1.4548103507775208e+28,6.720657672499708e+26,2.872548980325492e+24,3.842911059994792e+17,1.5223041824389795e+28
iter_0051,1.4549678012386923e+28,6.786596776749383e+26,2.7081252720289384e+24,1.0449911500621872e+16,1.523104581534434e+28
iter_0052,1.4746643600230903e+28,6.72483527556192e+26,2.7346734582306965e+24,6509149925889091.0,1.5421861801251835e+28
iter_0053,1.480708854040738e+28,6.609296608255014e+26,2.8438914533153375e+24,2199517407572213.0,1.5470862092688397e+28
