iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,1.8913014917710067e+28,2.7838373073954496e+27,2.032003167063656e+25,2.5648250989627752e+23,2.171742873928605e+28
iter_0002,1.8829417263422213e+28,2.8037834333365573e+27,2.1105795921723186e+25,8.195834429388744e+22,2.1654388451024785e+28
iter_0003,1.898915859579057e+28,2.791812709454358e+27,2.0791786353683267e+25,2.4280744345658262e+23,2.180200589904207e+28
iter_0004,1.9089004062925809e+28,2.7787219228248295e+27,2.0897064345605103e+25,2.31911695184388e+23,2.188885496179143e+28
iter_0005,1.8924619303558598e+28,2.7807723624413536e+27,2.0996016951563477e+25,1.7564734942899004e+24,2.17281441564458e+28
iter_0006,1.8792092396426878e+28,2.7722602848463014e+27,2.0270655566601506e+25,7.003932400719451e+22,2.158469337616379e+28
iter_0007,1.8798705331507775e+28,2.805867625418326e+27,2.0061581587220463e+25,3.082854008753435e+23,2.1624942823914202e+28
iter_0008,1.9108140679228413e+28,2.76708241917716e+27,2.076209054149119e+25,5.975292598799967e+22,2.189604494187305e+28
iter_0009,1.883751027859866e+28,2.77543141167044e+27,2.094840651321981e+25,1.0736985606788476e+23,2.163399746663839e+28
iter_0010,1.8800641168379805e+28,2.814671295414359e+27,2.0777911951433474e+25,1.2815425549469256e+23,2.1636218530001093e+28
iter_0011,1.8970166057128202e+28,2.7948937810403325e+27,2.121768917303841e+25,1.394694846628221e+23,2.1786416996826236e+28
iter_0012,1.8855795090452822e+28,2.758519551994728e+27,2.144393660480427e+25,2.4338367515786696e+23,2.1636001962727516e+28
iter_0013,1.903607559361705e+28,2.7860722634342573e+27,2.0295955284954456e+25,1.2541114603976776e+23,2.1842569223482305e+28
iter_0014,1.8893548166758714e+28,2.81249039754349e+27,2.1074810086563944e+25,3.68532615626031e+23,2.1727481907004395e+28
iter_0015,1.8819611272961766e+28,2.786457818173607e+27,2.085567919446905e+25,2.679782648181256e+23,2.162719274859466e+28
iter_0016,1.8839854312320503e+28,2.7620275281961274e+27,2.1021161511545694e+25,1.767158080467609e+23,2.1623079717836226e+28
iter_0017,1.8876638360109695e+28,2.8160267349713986e+27,2.0348470997296884e+25,2.3098444988427252e+23,2.171324455052827e+28
iter_0018,1.87948174801978e+28,2.783312418894569e+27,2.13068110039036e+25,2.7268133989879395e+23,2.1599709391436174e+28
iter_0019,1.8850546955378824e+28,2.7864073693407666e+27,2.0987354980164565e+25,1.0516778870308128e+23,2.165804684748846e+28
