iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,7.633880693638681e+27,7.081609721017014e+25,0.0,0.0,7.704696790848851e+27
iter_0002,7.670104072416622e+27,7.21440952258309e+25,0.0,0.0,7.742248167642453e+27
iter_0003,7.638992411200781e+27,7.045186038959461e+25,0.0,0.0,7.709444271590375e+27
iter_0004,7.692556206364875e+27,7.081142956112318e+25,0.0,0.0,7.763367635925997e+27
iter_0005,7.687222685343299e+27,7.159810603266461e+25,0.0,0.0,7.758820791375964e+27
iter_0006,7.606566351416031e+27,7.057583492544412e+25,0.0,0.0,7.677142186341475e+27
iter_0007,7.620799632405816e+27,7.236964760423047e+25,0.0,0.0,7.693169280010046e+27
iter_0008,7.684931741204834e+27,6.8740891408890465e+25,0.0,0.0,7.753672632613725e+27
iter_0009,7.645225649436123e+27,7.2114013172364915e+25,0.0,0.0,7.717339662608488e+27
iter_0010,7.598783254670678e+27,7.106522826941747e+25,0.0,0.0,7.669848482940095e+27
iter_0011,7.665825971482487e+27,6.920722301763239e+25,0.0,0.0,7.735033194500119e+27
iter_0012,7.589358618824923e+27,7.154547938551623e+25,0.0,0.0,7.660904098210439e+27
iter_0013,7.680101605228218e+27,7.0594888326911826e+25,0.0,0.0,7.75069649355513e+27
iter_0014,7.645970211117554e+27,7.284358529708246e+25,0.0,0.0,7.718813796414637e+27
iter_0015,7.623923470903838e+27,7.035411568997103e+25,0.0,0.0,7.694277586593809e+27
iter_0016,7.596132567421673e+27,6.8881851571866514e+25,0.0,0.0,7.66501441899354e+27
iter_0017,7.659404994183775e+27,7.143375779844254e+25,0.0,0.0,7.730838751982218e+27
iter_0018,7.617646662409075e+27,7.086723073075578e+25,0.0,0.0,7.688513893139831e+27
iter_0019,7.646889418091837e+27,7.0327306942664724e+25,0.0,0.0,7.717216725034502e+27
iter_0020,7.621236761436497e+27,7.235624866283275e+25,0.0,0.0,7.69359301009933e+27
iter_0021,7.697090146265606e+27,7.09484631663964e+25,0.0,0.0,7.768038609432002e+27
iter_0022,7.632260073352113e+27,7.184917715630228e+25,0.0,0.0,7.704109250508414e+27
iter_0023,7.62149838856772e+27,7.04690702108159e+25,0.0,0.0,7.691967458778537e+27
iter_0024,7.700940274935577e+27,7.136972484448878e+25,0.0,0.0,7.772309999780066e+27
iter_0025,7.585027836102249e+27,7.142857984328752e+25,0.0,0.0,7.656456415945537e+27
iter_0026,7.669715236686891e+27,7.252716041894591e+25,0.0,0.0,7.742242397105838e+27
iter_0027,7.630979725377846e+27,6.907625227675663e+25,0.0,0.0,7.700055977654602e+27
iter_0028,7.699667617705562e+27,7.05716552583889e+25,0.0,0.0,7.770239272963951e+27
iter_0029,7.59733643795515e+27,6.764898432809379e+25,0.0,0.0,7.664985422283244e+27
iter_0030,7.680772258742686e+27,7.091552391662092e+25,0.0,0.0,7.751687782659307e+27
iter_0031,7.628024490453273e+27,7.1624447881690284e+25,0.0,0.0,7.699648938334963e+27
iter_0032,7.613337534386275e+27,7.126008030830358e+25,0.0,0.0,7.684597614694578e+27
iter_0033,7.618473888019216e+27,7.049863504357625e+25,0.0,0.0,7.688972523062792e+27
iter_0034,7.658966309851384e+27,7.2999538251114116e+25,0.0,0.0,7.731965848102498e+27
iter_0035,7.683083979155179e+27,7.022304994693294e+25,0.0,0.0,7.753307029102111e+27
iter_0036,7.641176274150414e+27,7.073345503802464e+25,0.0,0.0,7.711909729188439e+27
iter_0037,7.642431073808377e+27,7.221770393525667e+25,0.0,0.0,7.714648777743634e+27
iter_0038,7.689241898430579e+27,6.996602885891228e+25,0.0,0.0,7.759207927289492e+27
iter_0039,7.649698940005872e+27,7.149526466312656e+25,0.0,0.0,7.721194204668999e+27
iter_0040,7.629879118894769e+27,7.003852751390188e+25,0.0,0.0,7.69991764640867e+27
iter_0041,7.603829415837148e+27,7.15076552323295e+25,0.0,0.0,7.675337071069478e+27
iter_0042,7.668685336428461e+27,6.821222210381887e+25,0.0,0.0,7.736897558532279e+27
iter_0043,7.62566920581923e+27,7.138407364242166e+25,0.0,0.0,7.697053279461651e+27
iter_0044,7.629521332367214e+27,7.1403044607602195e+25,0.0,0.0,7.700924376974815e+27
iter_0045,7.640945052129134e+27,7.3587039796828485e+25,0.0,0.0,7.714532091925962e+27
iter_0046,7.631847116458291e+27,7.04501881914586e+25,0.0,0.0,7.70229730464975e+27
iter_0047,7.619984036361094e+27,7.193821123026019e+25,0.0,0.0,7.691922247591354e+27
iter_0048,7.657067985223951e+27,7.09572817416273e+25,0.0,0.0,7.728025266965579e+27
iter_0049,7.622015404466007e+27,7.1533128430169485e+25,0.0,0.0,7.693548532896177e+27
iter_0050,7.618163141002038e+27,6.9929937846531985e+25,0.0,0.0,7.68809307884857e+27
iter_0051,7.580682103499179e+27,7.099737716877093e+25,0.0,0.0,7.651679480667949e+27
iter_0052,7.685929337023953e+27,7.093876522051534e+25,0.0,0.0,7.756868102244468e+27
iter_0053,7.722498102648969e+27,7.118413910320758e+25,0.0,0.0,7.793682241752176e+27
iter_0054,7.603573811438776e+27,7.118355448123958e+25,0.0,0.0,7.674757365920016e+27
iter_0055,7.670577100304032e+27,7.224652704527588e+25,0.0,0.0,7.742823627349308e+27
iter_0056,7.661559570777623e+27,7.0930262739253215e+25,0.0,0.0,7.732489833516876e+27
iter_0057,7.590809539425415e+27,7.2762229542119814e+25,0.0,0.0,7.663571768967536e+27
iter_0058,7.631766573039622e+27,7.153550124898039e+25,0.0,0.0,7.703302074288602e+27
iter_0059,7.646617153964384e+27,7.139598876238748e+25,0.0,0.0,7.718013142726772e+27
iter_0060,7.608048038067076e+27,7.107710471993424e+25,0.0,0.0,7.67912514278701e+27
iter_0061,7.691152706092403e+27,7.128114945698388e+25,0.0,0.0,7.762433855549387e+27
iter_0062,7.587627220723379e+27,6.956922475681305e+25,0.0,0.0,7.657196445480193e+27
iter_0063,7.692091111686522e+27,7.1436035793882345e+25,0.0,0.0,7.763527147480404e+27
iter_0064,7.628656209051809e+27,7.145652734129081e+25,0.0,0.0,7.700112736393099e+27
iter_0065,7.597338137652514e+27,7.062904900816015e+25,0.0,0.0,7.667967186660674e+27
iter_0066,7.636285727973043e+27,6.993760610803517e+25,0.0,0.0,7.706223334081078e+27
iter_0067,7.714523025664326e+27,7.145399583444221e+25,0.0,0.0,7.785977021498768e+27
iter_0068,7.628243608137584e+27,7.145564454664566e+25,0.0,0.0,7.69969925268423e+27
iter_0069,7.55715315103746e+27,7.2381018958210565e+25,0.0,0.0,7.629534169995671e+27
iter_0070,7.654481724616404e+27,7.1513669446107296e+25,0.0,0.0,7.725995394062511e+27
iter_0071,7.666937931176689e+27,7.0037570287755e+25,0.0,0.0,7.736975501464444e+27
iter_0072,7.694594080950142e+27,7.076555505622186e+25,0.0,0.0,7.765359636006363e+27
iter_0073,7.623394775220298e+27,6.869729678564499e+25,0.0,0.0,7.692092072005943e+27
iter_0074,7.740428669116816e+27,6.956562612190282e+25,0.0,0.0,7.809994295238718e+27
iter_0075,7.658552204083471e+27,7.125233557441728e+25,0.0,0.0,7.729804539657888e+27
iter_0076,7.653304481984777e+27,7.155438057713472e+25,0.0,0.0,7.724858862561912e+27
iter_0077,7.630186137378691e+27,7.152321414969581e+25,0.0,0.0,7.701709351528387e+27
iter_0078,7.627407783371764e+27,7.093831448669524e+25,0.0,0.0,7.698346097858459e+27
iter_0079,7.64705213830907e+27,7.020319020814962e+25,0.0,0.0,7.71725532851722e+27
iter_0080,7.658690656082137e+27,7.172856598271672e+25,0.0,0.0,7.730419222064854e+27
iter_0081,7.557269149880927e+27,7.0322750754053705e+25,0.0,0.0,7.627591900634981e+27
iter_0082,7.642517375517363e+27,7.123372165869159e+25,0.0,0.0,7.713751097176054e+27
iter_0083,7.698789209711078e+27,7.124292640529023e+25,0.0,0.0,7.770032136116368e+27
iter_0084,7.641765571281315e+27,7.0818919247674755e+25,0.0,0.0,7.71258449052899e+27
iter_0085,7.69047533390262e+27,6.987452423959762e+25,0.0,0.0,7.760349858142217e+27
iter_0086,7.604449570285804e+27,7.210535132045121e+25,0.0,0.0,7.676554921606256e+27
iter_0087,7.690220826813648e+27,7.14220100860956e+25,0.0,0.0,7.761642836899744e+27
iter_0088,7.675239710786507e+27,6.983831820729123e+25,0.0,0.0,7.745078028993798e+27
iter_0089,7.621666373176614e+27,6.904145818431308e+25,0.0,0.0,7.690707831360927e+27
iter_0090,7.668643239336966e+27,7.256517537406942e+25,0.0,0.0,7.741208414711036e+27
