iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,4.244154099526377e+27,2.6968595716222518e+26,3.083086404186561e+25,1.323646437534089e+21,4.5446722443769054e+27
iter_0002,4.3870861623431913e+27,2.5557270709257403e+26,2.8569086981289897e+25,1.4974212491656592e+22,4.671242930629547e+27
iter_0003,4.40996729362231e+27,2.7981077507075448e+26,2.505224801253341e+25,3.1057625908621096e+20,4.714830627281857e+27
iter_0004,4.3637721835747273e+27,2.7748611287619117e+26,2.432924616639726e+25,2.421755353588908e+20,4.665587784792851e+27
iter_0005,4.341446269976747e+27,2.63707855906873e+26,2.7334462708437613e+25,3.6973364176929885e+22,4.632525561956235e+27
iter_0006,4.2929723395781175e+27,2.636338977176746e+26,2.780026743477293e+25,2.7730023132697417e+22,4.5844342347536974e+27
iter_0007,4.4225844811275575e+27,2.7520251519718243e+26,2.839446407450568e+25,2.8839224058005304e+20,4.726181748791486e+27
iter_0008,4.4101189282858906e+27,2.7543744976145825e+26,2.7383622577075445e+25,8.004733344305321e+20,4.7129408010977586e+27
iter_0009,4.28129021025789e+27,2.6884535719881347e+26,2.9914437775248835e+25,4.214963516170008e+20,4.580050426728304e+27
iter_0010,4.3449979756897433e+27,2.7121082157125076e+26,3.3185484926766784e+25,2.033535029731145e+22,4.6494146175380577e+27
iter_0011,4.2866445846903877e+27,2.7571414610399047e+26,2.3908970601629946e+25,3.061394553849793e+21,4.586270762790562e+27
iter_0012,4.414737960127504e+27,2.8082617975837633e+26,2.6071051428587517e+25,9.243341044232468e+21,4.721644434655512e+27
iter_0013,4.318227629202278e+27,2.7167712224544466e+26,2.5966855855933923e+25,5.2317310310355776e+20,4.61587213047676e+27
iter_0014,4.4632047054568134e+27,2.8167949018839195e+26,2.5839352673871497e+25,2.421755353588908e+20,4.770723790494612e+27
iter_0015,4.3513476481301374e+27,2.875542819686959e+26,2.6914680377913486e+25,2.033535029731145e+22,4.6658369458270443e+27
iter_0016,4.3634217100857514e+27,2.5415631888810652e+26,2.6418618947575755e+25,2.421755353588908e+20,4.6439968900969684e+27
iter_0017,4.3578946304021096e+27,2.853325458235096e+26,2.9446596779664156e+25,1.0352541969540362e+22,4.6726841255472526e+27
iter_0018,4.3401511149143646e+27,2.746339323247935e+26,3.2966306503108053e+25,8.448413714428482e+20,4.647752198583637e+27
iter_0019,4.4279908100271074e+27,2.757462803556646e+26,2.6797324971273425e+25,1.1276876073963616e+23,4.730647184114785e+27
iter_0020,4.4203945033144457e+27,2.6443247378620652e+26,2.650640332036884e+25,1.4234745208118002e+22,4.7113476151662294e+27
iter_0021,4.3264104912018346e+27,2.649384495065352e+26,2.460963423388823e+25,9.243341044232469e+20,4.615959499276363e+27
iter_0022,4.341602239914826e+27,2.7832223368531514e+26,3.012319619257609e+25,1.5288486087160504e+21,4.6500491986413263e+27
iter_0023,4.379492703128271e+27,2.659738791904253e+26,2.6501734850393062e+25,3.1057625908621096e+20,4.671968627745348e+27
iter_0024,4.3377816959174054e+27,2.7622589709900195e+26,2.756471008038817e+25,1.5288486087160504e+21,4.641573831945404e+27
iter_0025,4.305119744663274e+27,2.7018175038482078e+26,2.764439494699947e+25,4.214963516170008e+20,4.6029463114914463e+27
iter_0026,4.3711673333159995e+27,2.6774137960956548e+26,3.00028184606448e+25,1.3040505545203173e+22,4.668924571891755e+27
iter_0027,4.359517057529052e+27,2.6324823754547657e+26,2.964447669153628e+25,5.2317310310355776e+20,4.652410294939169e+27
iter_0028,4.3345790234120006e+27,2.6524359482194613e+26,2.778132762647083e+25,1.5528812954310548e+20,4.627604101148547e+27
iter_0029,4.3836096917415913e+27,2.8295747258917804e+26,3.320653494478667e+25,2.292348578969653e+20,4.6997739285104136e+27
iter_0030,4.36303966557602e+27,2.6594170726457666e+26,3.1648218178477815e+25,8.817962489376884e+22,4.6607177706439684e+27
iter_0031,4.374792829219378e+27,2.696623694842359e+26,3.0376787394692903e+25,2.8839224058005304e+20,4.6748322744905477e+27
iter_0032,4.3293684152019506e+27,2.6103092174353167e+26,2.7115187597853665e+25,4.2889102445238675e+20,4.617514953434361e+27
iter_0033,4.398469326514012e+27,2.720536178793523e+26,3.1821199761507887e+25,2.8839224058005304e+20,4.702344432547113e+27
iter_0034,4.370362720498862e+27,2.6423443227113755e+26,3.4895704744384443e+25,9.280314408409398e+20,4.669493785545826e+27
iter_0035,4.454354203108685e+27,2.608976520064486e+26,2.42973880863151e+25,4.566210475850841e+20,4.7395496998224965e+27
iter_0036,4.367540635001178e+27,2.658533982093471e+26,2.636313638468216e+25,3.882203238577639e+22,4.659795991627593e+27
iter_0037,4.3595062236448775e+27,2.625257952486175e+26,2.634148271437606e+25,2.8839224058005304e+20,4.6483737900001114e+27
iter_0038,4.327881321323816e+27,2.662591022045494e+26,2.97166323116008e+25,3.660363053516056e+20,4.6238574218762716e+27
iter_0039,4.327598909619003e+27,2.7896132865383285e+26,2.732615512176538e+25,2.292348578969653e+20,4.633886622629459e+27
iter_0040,4.376111629413409e+27,2.783815588111821e+26,2.6218877325278122e+25,1.3495277924579407e+20,4.680712200502649e+27
iter_0041,4.3680557333643045e+27,2.719394620258687e+26,3.289014163651518e+25,3.697336417692988e+19,4.6728853740000525e+27
iter_0042,4.3609313267094346e+27,2.8437939751775675e+26,2.580814098065937e+25,5.398111169831763e+20,4.6711194050189677e+27
iter_0043,4.3076317012461976e+27,2.547187311201022e+26,2.6951212652115274e+25,7.487106245828304e+20,4.58930239372904e+27
iter_0044,4.338153183405958e+27,2.7407833910188793e+26,3.0450780919203935e+25,1.5288486087160504e+21,4.642683832275658e+27
iter_0045,4.296890522348388e+27,2.6200553949310543e+26,2.481357350700334e+25,1.0352541969540362e+22,4.5837199878904664e+27
iter_0046,4.3587937437446766e+27,2.7395768484688785e+26,2.453459098963584e+25,2.930139111021694e+21,4.657288949720311e+27
iter_0047,4.293944305298427e+27,2.5852916680152496e+26,2.7779034425288672e+25,2.033535029731145e+22,4.580272841875538e+27
iter_0048,4.3648314851881275e+27,2.685124305019414e+26,2.6780992320076763e+25,1.1461742894848263e+22,4.6601363697530405e+27
iter_0049,4.386828167915233e+27,2.8761172352552665e+26,2.5139867310628886e+25,9.428207865117118e+21,4.699589186959253e+27
iter_0050,4.3503785444075276e+27,2.7785055576833e+26,2.760927783452088e+25,1.6878340746768495e+21,4.6558400658444537e+27
iter_0051,4.3149373910588865e+27,2.8344890550843702e+26,3.162583971686937e+25,2.218401850615794e+22,4.6300343203026993e+27
iter_0052,4.358230119481082e+27,2.6532737985072278e+26,2.5918013514751566e+25,1.7007747521387738e+22,4.6494925205940776e+27
