iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,5.617947403429342e+27,1.1417222523149496e+27,2.272203917362393e+26,1.1555597731035798e+26,7.102446024790889e+27
iter_0002,5.795515551074155e+27,1.1053085906312735e+27,2.0509938545698e+26,1.2162745166785233e+26,7.227550978830261e+27
iter_0003,5.833087568232732e+27,1.1363300139553476e+27,2.0649169550959448e+26,1.479314183745974e+26,7.323840696072271e+27
iter_0004,5.750484552301824e+27,1.1629717317560098e+27,2.0139534351814276e+26,1.17844195708823e+26,7.232695823284799e+27
iter_0005,5.729905744973683e+27,1.0989798901083319e+27,2.0384517552788832e+26,1.255797145056715e+26,7.158310525115576e+27
iter_0006,5.665798019644746e+27,1.0883494950567691e+27,2.06470576334438e+26,1.0342977381531099e+26,7.064047864851265e+27
iter_0007,5.827456322425179e+27,1.1131982245888202e+27,2.1138299200480343e+26,1.2634828523859154e+26,7.278385824257393e+27
iter_0008,5.816919891813646e+27,1.1563491888108543e+27,2.1977304158230912e+26,1.085239776408344e+26,7.301566099847644e+27
iter_0009,5.674093235286127e+27,1.1144372097986825e+27,2.054673949819464e+26,1.1792701571183816e+26,7.111924855778594e+27
iter_0010,5.751055135572998e+27,1.1273698203017403e+27,2.1732141381956835e+26,1.2048853474547119e+26,7.216234904439777e+27
iter_0011,5.636022840529107e+27,1.1352227618913851e+27,2.0660806789773937e+26,1.23239034002243e+26,7.101092704320474e+27
iter_0012,5.831670374277195e+27,1.1488837116645027e+27,2.0225814241711684e+26,1.1845013527746704e+26,7.301262363636283e+27
iter_0013,5.705361592267452e+27,1.135713575684893e+27,2.0545690512697496e+26,1.218299018096279e+26,7.168361974888947e+27
iter_0014,5.901235598539401e+27,1.1313820982375116e+27,2.073766282539369e+26,1.0681964275812872e+26,7.346813967788979e+27
iter_0015,5.742533608985494e+27,1.1761117297114139e+27,2.065637514827051e+26,1.171677154078343e+26,7.242376805587447e+27
iter_0016,5.757670888512286e+27,1.0985515186485571e+27,2.2198770713695498e+26,1.0369582662990625e+26,7.181905940927703e+27
iter_0017,5.755883905382814e+27,1.1403272126997034e+27,2.186136122123303e+26,1.2287747399155285e+26,7.237702204286401e+27
iter_0018,5.725035256758887e+27,1.1284511366401055e+27,2.2584021936772047e+26,1.239251825927117e+26,7.203251795359425e+27
iter_0019,5.860274894694044e+27,1.1364330996384981e+27,2.0230943239940422e+26,1.1317434980476511e+26,7.312191776536712e+27
iter_0020,5.850625967868304e+27,1.1339252108707763e+27,2.1438628791573916e+26,1.2721454065974694e+26,7.326152007314567e+27
iter_0021,5.702183519915773e+27,1.1269344149086819e+27,1.866281744059317e+26,1.1324406878103958e+26,7.128990178011425e+27
iter_0022,5.755688259297581e+27,1.1845418909353641e+27,2.116432845944501e+26,1.1807194656925759e+26,7.269945381396654e+27
iter_0023,5.791501690154796e+27,1.1184569976488245e+27,2.0311665811767096e+26,1.349486097285552e+26,7.248023955649848e+27
iter_0024,5.72001916542739e+27,1.1350338731416339e+27,2.150672466991355e+26,1.1576129391247334e+26,7.185881579180634e+27
