iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,2.081500544581045e+27,2.7778039837255972e+25,0.0,0.0,2.109278584418301e+27
iter_0002,2.1551708184898046e+27,2.721663786303939e+25,0.0,0.0,2.1823874563528437e+27
iter_0003,2.162983617010978e+27,3.0921100589092525e+25,0.0,0.0,2.1939047176000703e+27
iter_0004,2.1480689957315934e+27,2.6941793445027537e+25,0.0,0.0,2.1750107891766208e+27
iter_0005,2.15061549003419e+27,2.5028695421789915e+25,0.0,0.0,2.17564418545598e+27
iter_0006,2.1261706379407236e+27,2.8000253874121837e+25,0.0,0.0,2.1541708918148452e+27
iter_0007,2.1711318970985784e+27,2.9287300262688536e+25,0.0,0.0,2.2004191973612668e+27
iter_0008,2.1633746722725968e+27,2.9002108041930144e+25,0.0,0.0,2.1923767803145266e+27
iter_0009,2.0910932450671678e+27,2.9274875002608494e+25,0.0,0.0,2.120368120069776e+27
iter_0010,2.1378481259070566e+27,2.9251631563221206e+25,0.0,0.0,2.167099757470278e+27
iter_0011,2.1143711671068566e+27,2.9444561929883633e+25,0.0,0.0,2.14381572903674e+27
iter_0012,2.182146155580959e+27,3.2196751433783293e+25,0.0,0.0,2.2143429070147423e+27
iter_0013,2.1225450915055364e+27,2.7251409672749823e+25,0.0,0.0,2.149796501178286e+27
iter_0014,2.184995013563796e+27,2.838092581552102e+25,0.0,0.0,2.2133759393793172e+27
iter_0015,2.1474169062218894e+27,2.937376313335678e+25,0.0,0.0,2.1767906693552462e+27
iter_0016,2.150288177304733e+27,2.619437793971614e+25,0.0,0.0,2.1764825552444493e+27
iter_0017,2.122602427076355e+27,2.9661729391071278e+25,0.0,0.0,2.1522641564674262e+27
iter_0018,2.1603819387322335e+27,2.736450695723985e+25,0.0,0.0,2.1877464456894736e+27
iter_0019,2.167306503970535e+27,3.0516718348408305e+25,0.0,0.0,2.1978232223189433e+27
iter_0020,2.1610695804664298e+27,2.801835462552574e+25,0.0,0.0,2.189087935091956e+27
iter_0021,2.1158355783578594e+27,2.7872278354471476e+25,0.0,0.0,2.1437078567123308e+27
iter_0022,2.1421172304837476e+27,2.7684093881751767e+25,0.0,0.0,2.1698013243654993e+27
iter_0023,2.156434509127876e+27,2.846164696483206e+25,0.0,0.0,2.1848961560927078e+27
iter_0024,2.1378821820168015e+27,2.946425199237689e+25,0.0,0.0,2.1673464340091782e+27
iter_0025,2.1205460963347414e+27,2.981586898466124e+25,0.0,0.0,2.1503619653194027e+27
iter_0026,2.146875792837747e+27,2.903937282947353e+25,0.0,0.0,2.1759151656672206e+27
iter_0027,2.1395945725380966e+27,2.6812317411434976e+25,0.0,0.0,2.166406889949531e+27
iter_0028,2.1389457571766509e+27,2.87036018264541e+25,0.0,0.0,2.167649359003105e+27
iter_0029,2.1492732517446526e+27,3.0298825499299696e+25,0.0,0.0,2.1795720772439522e+27
iter_0030,2.1363609057553564e+27,2.73035358778675e+25,0.0,0.0,2.163664441633224e+27
iter_0031,2.1460815780099165e+27,2.8944655204242154e+25,0.0,0.0,2.1750262332141587e+27
iter_0032,2.137740471494265e+27,2.6144947967592198e+25,0.0,0.0,2.1638854194618572e+27
iter_0033,2.160183595321962e+27,2.903234571834817e+25,0.0,0.0,2.1892159410403103e+27
iter_0034,2.1533076842194627e+27,2.8223965696614144e+25,0.0,0.0,2.1815316499160767e+27
iter_0035,2.1801084397080282e+27,2.804320616791081e+25,0.0,0.0,2.2081516458759387e+27
iter_0036,2.1337663560266295e+27,2.8473729857516473e+25,0.0,0.0,2.1622400858841462e+27
iter_0037,2.130934552454006e+27,2.887524455908063e+25,0.0,0.0,2.1598097970130867e+27
iter_0038,2.1254515699964177e+27,2.7009009218721297e+25,0.0,0.0,2.1524605792151388e+27
iter_0039,2.1197730884668153e+27,3.072638408663796e+25,0.0,0.0,2.1504994725534533e+27
iter_0040,2.153154323089041e+27,3.099939192116705e+25,0.0,0.0,2.1841537150102078e+27
iter_0041,2.1444769342022068e+27,2.7573618794559774e+25,0.0,0.0,2.1720505529967668e+27
iter_0042,2.1356411005550583e+27,3.081290521167406e+25,0.0,0.0,2.1664540057667326e+27
iter_0043,2.1207290785142149e+27,2.606017521989374e+25,0.0,0.0,2.1467892537341086e+27
iter_0044,2.1297036721329533e+27,3.0664173844207225e+25,0.0,0.0,2.1603678459771606e+27
iter_0045,2.121786465415332e+27,2.704320900081447e+25,0.0,0.0,2.148829674416147e+27
iter_0046,2.1518125950154085e+27,2.910045873260837e+25,0.0,0.0,2.1809130537480165e+27
iter_0047,2.1105502995923437e+27,2.7960035312832367e+25,0.0,0.0,2.138510334905176e+27
iter_0048,2.1386187533030467e+27,2.9031169304888997e+25,0.0,0.0,2.1676499226079357e+27
iter_0049,2.1687775722260245e+27,3.0147483081424336e+25,0.0,0.0,2.198925055307449e+27
iter_0050,2.13730883860925e+27,3.0000318213135163e+25,0.0,0.0,2.1673091568223854e+27
iter_0051,2.1278907516821405e+27,2.9930336873109876e+25,0.0,0.0,2.1578210885552506e+27
iter_0052,2.1419732337540534e+27,2.7195367667337126e+25,0.0,0.0,2.1691686014213906e+27
iter_0053,2.0907617546480424e+27,2.8684955024503407e+25,0.0,0.0,2.1194467096725455e+27
iter_0054,2.1255324732369484e+27,2.6321987662074647e+25,0.0,0.0,2.1518544608990228e+27
iter_0055,2.1473436084756686e+27,2.767917223167572e+25,0.0,0.0,2.1750227807073446e+27
iter_0056,2.143051911873485e+27,2.7252706604938573e+25,0.0,0.0,2.170304618478424e+27
iter_0057,2.1628104529142498e+27,2.72026248744843e+25,0.0,0.0,2.1900130777887336e+27
iter_0058,2.113297137053506e+27,2.931742296983939e+25,0.0,0.0,2.1426145600233453e+27
iter_0059,2.1602093888880933e+27,2.746529175466068e+25,0.0,0.0,2.187674680642754e+27
iter_0060,2.1156033965018642e+27,2.8974809048070474e+25,0.0,0.0,2.1445782055499348e+27
iter_0061,2.1445400953366823e+27,2.7177695952229673e+25,0.0,0.0,2.171717791288912e+27
iter_0062,2.1526135635904031e+27,2.5209801716389695e+25,0.0,0.0,2.1778233653067928e+27
iter_0063,2.1761466655143338e+27,2.839895473930851e+25,0.0,0.0,2.2045456202536423e+27
iter_0064,2.1310861537886924e+27,2.8133750429617733e+25,0.0,0.0,2.15921990421831e+27
iter_0065,2.160033878559963e+27,2.8752058239206196e+25,0.0,0.0,2.188785936799169e+27
iter_0066,2.1360784868944164e+27,2.91461341940266e+25,0.0,0.0,2.1652246210884424e+27
iter_0067,2.142328323248742e+27,2.8999856728516793e+25,0.0,0.0,2.1713281799772585e+27
iter_0068,2.1505198149273428e+27,2.9073009430816476e+25,0.0,0.0,2.1795928243581594e+27
iter_0069,2.1720222145012604e+27,3.026088294073881e+25,0.0,0.0,2.2022830974419995e+27
iter_0070,2.1776714615180845e+27,3.074591704507209e+25,0.0,0.0,2.2084173785631565e+27
iter_0071,2.1567245808584218e+27,2.940894924524571e+25,0.0,0.0,2.1861335301036676e+27
iter_0072,2.1228591692294441e+27,2.948006377818538e+25,0.0,0.0,2.1523392330076297e+27
iter_0073,2.139457042691595e+27,2.8924495599507247e+25,0.0,0.0,2.1683815382911023e+27
iter_0074,2.1401513217637264e+27,2.792565443774878e+25,0.0,0.0,2.1680769762014755e+27
iter_0075,2.096364798151835e+27,2.9097406465287946e+25,0.0,0.0,2.1254622046171232e+27
iter_0076,2.1202392785919785e+27,3.003502458233101e+25,0.0,0.0,2.1502743031743098e+27
iter_0077,2.1437611908152095e+27,2.9228488202365405e+25,0.0,0.0,2.1729896790175748e+27
iter_0078,2.122776773081458e+27,3.0774547223811104e+25,0.0,0.0,2.153551320305269e+27
iter_0079,2.1545948537740516e+27,2.9472982552964675e+25,0.0,0.0,2.1840678363270165e+27
iter_0080,2.168488878297083e+27,2.855979520884479e+25,0.0,0.0,2.197048673505928e+27
iter_0081,2.1211558497088107e+27,2.7224517665523725e+25,0.0,0.0,2.1483803673743347e+27
iter_0082,2.16850270474917e+27,2.8070314029819607e+25,0.0,0.0,2.1965730187789895e+27
iter_0083,2.1451918155391998e+27,2.8189250698261015e+25,0.0,0.0,2.1733810662374606e+27
iter_0084,2.1294671512935807e+27,3.039680260324217e+25,0.0,0.0,2.159863953896823e+27
iter_0085,2.1580787314975654e+27,2.8502793701564664e+25,0.0,0.0,2.1865815251991302e+27
iter_0086,2.099164362310355e+27,2.861830971780071e+25,0.0,0.0,2.127782672028156e+27
iter_0087,2.1465926951802984e+27,2.9531002670510837e+25,0.0,0.0,2.1761236978508092e+27
iter_0088,2.119680359280751e+27,2.928105210650743e+25,0.0,0.0,2.1489614113872584e+27
iter_0089,2.1566747878260496e+27,2.7796722051223308e+25,0.0,0.0,2.1844715098772728e+27
iter_0090,2.1112332219462395e+27,2.7535853690232147e+25,0.0,0.0,2.1387690756364715e+27
iter_0091,2.1507324388481717e+27,2.6366824486587997e+25,0.0,0.0,2.1770992633347597e+27
iter_0092,2.148661206293091e+27,2.9130701019418012e+25,0.0,0.0,2.177791907312509e+27
iter_0093,2.1394766628090102e+27,2.979971564362448e+25,0.0,0.0,2.169276378452635e+27
