iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,7.442752394677601e+27,5.523958361799404e+26,6.6161045626854785e+25,1.262501977751242e+22,8.061321901504172e+27
iter_0002,7.652680585753331e+27,5.908229195989435e+26,7.910058839939564e+25,1.193491494179529e+21,8.322605287243165e+27
iter_0003,7.546306694151136e+27,5.669623475678125e+26,5.849628918149184e+25,4.9891695540089385e+22,8.17181522259598e+27
iter_0004,7.517384225847825e+27,5.793307366930617e+26,7.590831055982042e+25,5.145826365559537e+20,8.172623787683345e+27
iter_0005,7.433739260965372e+27,5.492137800131578e+26,7.603860343136677e+25,7.800973940156245e+20,8.058992424507292e+27
iter_0006,7.530835666079102e+27,5.2313840429728826e+26,6.164806118226296e+25,7.5822503935575e+21,8.115629713809046e+27
iter_0007,7.59489323266902e+27,5.677204684287225e+26,6.64257864302883e+25,1.0576085702356387e+23,8.229145248385054e+27
iter_0008,7.569691262692583e+27,5.7765320876639874e+26,6.46987829597352e+25,4.429045662834056e+21,8.21204768346438e+27
iter_0009,7.491870035657063e+27,5.706515471401576e+26,6.404001679149166e+25,3.8477136714776985e+21,8.126565447302384e+27
iter_0010,7.41010217837392e+27,5.775461145282556e+26,7.222495364406112e+25,8.002260711629872e+21,8.059881248806947e+27
iter_0011,7.566046502676559e+27,5.60645250726653e+26,6.646621846705438e+25,1.8093834860492604e+22,8.193176065705127e+27
iter_0012,7.518763252764395e+27,5.8755204062273e+26,6.967045624391605e+25,7.946835455464695e+21,8.175993696466496e+27
iter_0013,7.546075113141812e+27,5.7416124360137744e+26,6.367029576078256e+25,5.737097433030715e+20,8.183907226213715e+27
iter_0014,7.608514931106467e+27,5.568657014793212e+26,6.553580218527382e+25,3.4789775709146086e+21,8.230919913748633e+27
iter_0015,7.54271599630703e+27,5.642135657981295e+26,6.746661738726759e+25,9.002987658941314e+21,8.174405182480086e+27
iter_0016,7.610247385458756e+27,5.610698583185599e+26,6.641123034648107e+25,2.0946131370352543e+21,8.237730568736934e+27
iter_0017,7.662470815085468e+27,5.759392022274312e+26,7.463959633357417e+25,9.757295404048565e+21,8.313059370941878e+27
iter_0018,7.595941455547951e+27,5.7764998570898355e+26,6.8879071157058795e+25,1.8289932407611803e+22,8.2424888023464e+27
iter_0019,7.529308720444752e+27,5.5119162329606215e+26,6.303830649446579e+25,1.3988795771352905e+22,8.143552639031052e+27
