iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,1.0566635157119625e+28,2.467982810488625e+27,5.094236811111436e+26,3.13300941247782e+26,1.3857342589967176e+28
iter_0002,1.084903792737805e+28,2.5554851504834654e+27,5.4923518551184925e+26,3.8800055698694744e+26,1.4341758820360313e+28
iter_0003,1.0706915031110923e+28,2.511053300830441e+27,5.0099891260762165e+26,3.084747699947765e+26,1.4027442014543761e+28
iter_0004,1.0624659652763435e+28,2.565933826673674e+27,5.374165598998728e+26,3.551465055601203e+26,1.4083156544897104e+28
iter_0005,1.0541132914154017e+28,2.490489823774062e+27,5.185754130073544e+26,3.3986450521872234e+26,1.3890062656154154e+28
iter_0006,1.070292731921747e+28,2.481943078149977e+27,4.802513141733394e+26,2.9305917073025006e+26,1.3958180882271036e+28
iter_0007,1.077854345059247e+28,2.5591411719623307e+27,5.329833824822479e+26,3.0918852524492583e+26,1.4179856530281975e+28
iter_0008,1.0669640524934075e+28,2.567451079695017e+27,5.304166285736716e+26,3.31384931302206e+26,1.409889316450497e+28
iter_0009,1.0631588095366798e+28,2.478325390830657e+27,5.183179786026131e+26,3.372674775666134e+26,1.396549894236668e+28
iter_0010,1.049634449954535e+28,2.4745443721930742e+27,5.3070196150560705e+26,3.438630567622969e+26,1.3845453890006328e+28
iter_0011,1.0713555462385403e+28,2.5293764840626477e+27,5.302014354954926e+26,3.30057613636723e+26,1.4103190995580267e+28
iter_0012,1.0628082259121788e+28,2.5555706875359043e+27,5.279710476948414e+26,3.622868580325057e+26,1.4073910852385038e+28
iter_0013,1.0665784346988135e+28,2.566531955056619e+27,5.2414988664184174e+26,3.299515185801267e+26,1.4086417707266723e+28
iter_0014,1.078362507359756e+28,2.5253607373024996e+27,4.9895818836336615e+26,3.4411870021037724e+26,1.4152062699473803e+28
iter_0015,1.0732105867126615e+28,2.476054531044887e+27,5.2205021206733585e+26,3.249810992528691e+26,1.4055191709491708e+28
iter_0016,1.0805860634173926e+28,2.5090860184492153e+27,5.221569906342419e+26,3.2566066580742686e+26,1.4162764309064808e+28
iter_0017,1.0875369553551525e+28,2.5266249648773844e+27,5.551609965699703e+26,3.61605670307389e+26,1.4318761185306267e+28
iter_0018,1.072077342542262e+28,2.5592685533000605e+27,5.295299753958125e+26,3.519298001841701e+26,1.4161501754302662e+28
iter_0019,1.0670574152052815e+28,2.496588893890778e+27,4.947157987637511e+26,3.134730878116756e+26,1.397535193251902e+28
iter_0020,1.076405615593778e+28,2.485348019947178e+27,5.085822450820976e+26,3.3641124081269565e+26,1.4094397661779751e+28
iter_0021,1.0571086037433196e+28,2.5175731902083854e+27,5.381617359216461e+26,3.472090253956642e+26,1.3974029988958889e+28
iter_0022,1.0582318483712761e+28,2.4867226725665643e+27,5.215586018291428e+26,3.4794013263952705e+26,1.3938539890747996e+28
iter_0023,1.0779734538769807e+28,2.581488685664598e+27,5.2777570983261184e+26,3.208985291102302e+26,1.4209897463377246e+28
iter_0024,1.08317170960609e+28,2.581074106093487e+27,5.32846223716247e+26,3.366271511015744e+26,1.4282264576972209e+28
iter_0025,1.0721218708895311e+28,2.5222175709099676e+27,5.088118474138658e+26,3.492750438277089e+26,1.4101523171046852e+28
iter_0026,1.0692059486306035e+28,2.555399691945882e+27,5.2672291430121605e+26,3.287807217226869e+26,1.410296281427582e+28
