iter,Upper Crust,Middle Crust,Lower Crust,Mantle,Total
iter_0001,3.1159765852115385e+27,4.793818396552165e+25,0.0,0.0,3.16391476917706e+27
iter_0002,3.1928299525502393e+27,4.805882818639474e+25,0.0,0.0,3.240888780736634e+27
iter_0003,3.1647359695067203e+27,5.037642871868912e+25,0.0,0.0,3.2151123982254096e+27
iter_0004,3.1385664560994483e+27,5.059508060161796e+25,0.0,0.0,3.1891615367010665e+27
iter_0005,3.093262966486251e+27,4.5251641634398655e+25,0.0,0.0,3.1385146081206497e+27
iter_0006,3.129413338315123e+27,4.453857187276517e+25,0.0,0.0,3.173951910187888e+27
iter_0007,3.16509515389489e+27,5.136855805563386e+25,0.0,0.0,3.216463711950524e+27
iter_0008,3.1875094653248507e+27,5.130506895805132e+25,0.0,0.0,3.238814534282902e+27
iter_0009,3.1422505983942767e+27,5.1557580476249915e+25,0.0,0.0,3.1938081788705265e+27
iter_0010,3.1246871345052417e+27,5.371881353960544e+25,0.0,0.0,3.178405948044847e+27
iter_0011,3.1552698902530954e+27,4.871518449504205e+25,0.0,0.0,3.2039850747481375e+27
iter_0012,3.129932642274907e+27,5.114245578800861e+25,0.0,0.0,3.181075098062916e+27
iter_0013,3.149370826731264e+27,5.057291691216173e+25,0.0,0.0,3.1999437436434257e+27
iter_0014,3.182668302384088e+27,4.820361086417816e+25,0.0,0.0,3.230871913248266e+27
iter_0015,3.149220387255122e+27,5.2928885499598115e+25,0.0,0.0,3.2021492727547204e+27
iter_0016,3.169908497741639e+27,4.9254832718082245e+25,0.0,0.0,3.219163330459721e+27
iter_0017,3.171929278770611e+27,4.892963758063201e+25,0.0,0.0,3.220858916351243e+27
iter_0018,3.1854461946987756e+27,5.250835696563186e+25,0.0,0.0,3.2379545516644077e+27
iter_0019,3.151808345062818e+27,5.152997589402403e+25,0.0,0.0,3.203338320956842e+27
iter_0020,3.1563911543320296e+27,4.628567756954311e+25,0.0,0.0,3.2026768319015727e+27
iter_0021,3.1602488963387225e+27,5.08265257849696e+25,0.0,0.0,3.211075422123692e+27
iter_0022,3.0982050774569514e+27,5.0037497612825886e+25,0.0,0.0,3.148242575069777e+27
iter_0023,3.1549597309703254e+27,5.120735271824178e+25,0.0,0.0,3.206167083688567e+27
iter_0024,3.1573696256837327e+27,5.165450549383467e+25,0.0,0.0,3.2090241311775676e+27
iter_0025,3.1673243268133517e+27,4.8685151677558e+25,0.0,0.0,3.21600947849091e+27
iter_0026,3.1725721800747406e+27,5.358189907231033e+25,0.0,0.0,3.226154079147051e+27
iter_0027,3.1509231781741997e+27,5.211730530864538e+25,0.0,0.0,3.203040483482845e+27
iter_0028,3.1307509857339726e+27,5.019057781125175e+25,0.0,0.0,3.1809415635452245e+27
iter_0029,3.1250851832087853e+27,5.148430533470846e+25,0.0,0.0,3.1765694885434937e+27
iter_0030,3.081608766034611e+27,4.728547000314421e+25,0.0,0.0,3.1288942360377554e+27
iter_0031,3.12823663007152e+27,5.018593976996103e+25,0.0,0.0,3.178422569841481e+27
iter_0032,3.0974962012434834e+27,4.534547429359437e+25,0.0,0.0,3.1428416755370776e+27
iter_0033,3.088168402726947e+27,4.772326916454672e+25,0.0,0.0,3.135891671891494e+27
iter_0034,3.1540542286785906e+27,5.095429773483436e+25,0.0,0.0,3.205008526413425e+27
iter_0035,3.1154907291677175e+27,4.786108624429918e+25,0.0,0.0,3.163351815412017e+27
iter_0036,3.147525159243522e+27,4.6811162819167975e+25,0.0,0.0,3.19433632206269e+27
iter_0037,3.143974177729997e+27,4.8295898760540255e+25,0.0,0.0,3.192270076490537e+27
iter_0038,3.1412350770288245e+27,4.914598941508026e+25,0.0,0.0,3.190381066443905e+27
iter_0039,3.122115145113422e+27,4.830951201901334e+25,0.0,0.0,3.1704246571324353e+27
