dataset,method,scenario,n_draws,oceanic_cells_mean,oceanic_cells_median,oceanic_cells_p2_5,oceanic_cells_p97_5
without_shallow,stratified-log10,low,1000,4.011451681499537e+27,4.013010488690127e+27,3.962755675375803e+27,4.0598225848879866e+27
without_shallow,stratified-log10,base,1000,8.766469090834332e+27,8.767542544268424e+27,8.670430462859171e+27,8.859476873176131e+27
without_shallow,stratified-log10,high,1000,1.3816413168215391e+28,1.3815573870838305e+28,1.3678424290841377e+28,1.3951757824059178e+28
without_shallow,unstratified-log10,low,1000,2.1696125660284745e+27,2.1697351186379792e+27,2.1275472070694747e+27,2.21180672146987e+27
without_shallow,unstratified-log10,base,1000,4.657522423440385e+27,4.6573582806060013e+27,4.570203719495395e+27,4.744532389694412e+27
without_shallow,unstratified-log10,high,1000,7.219457085663773e+27,7.218127807791011e+27,7.091204689185966e+27,7.347113066861909e+27
without_shallow,stratified-power,low,1000,7.718997549026577e+27,7.718727472552587e+27,7.637909087634508e+27,7.800065123601398e+27
without_shallow,stratified-power,base,1000,1.5355470667395597e+28,1.5354373495208682e+28,1.5184902617965989e+28,1.5516656115357365e+28
without_shallow,stratified-power,high,1000,2.1695269607544e+28,2.169365225168105e+28,2.1464292686552202e+28,2.1924550492381307e+28
without_shallow,unstratified-power,low,1000,3.1916613594423e+27,3.191605197145937e+27,3.138417339182573e+27,3.24595381776001e+27
without_shallow,unstratified-power,base,1000,8.151220095701353e+27,8.150660927376996e+27,8.020475337830846e+27,8.279284984297924e+27
without_shallow,unstratified-power,high,1000,1.4022329445349201e+28,1.4024414441659594e+28,1.3771867156654652e+28,1.4258490022781358e+28
with_shallow,stratified-log10,low,1000,5.328052700052363e+31,5.3235461685017445e+31,5.065282072574942e+31,5.60848424135315e+31
with_shallow,stratified-log10,base,1000,1.083396922264364e+32,1.0826418499780024e+32,1.027110709852376e+32,1.1374621368066549e+32
with_shallow,stratified-log10,high,1000,1.4309972525152434e+32,1.4309815886953785e+32,1.3551172493503685e+32,1.5035020992990284e+32
with_shallow,unstratified-log10,low,1000,2.1472783330616727e+31,2.1483290184970264e+31,1.9795423222815994e+31,2.318022960962992e+31
with_shallow,unstratified-log10,base,1000,4.608036506671919e+31,4.610670175602554e+31,4.249557011104236e+31,4.9572915542111e+31
with_shallow,unstratified-log10,high,1000,7.145445318912129e+31,7.148065210981703e+31,6.596841821800306e+31,7.70233885779161e+31
with_shallow,stratified-power,low,1000,1.7989025913333518e+29,1.7915926293860363e+29,1.665198256562359e+29,1.9786120463811686e+29
with_shallow,stratified-power,base,1000,1.8593465857215746e+29,1.850140340943355e+29,1.720290123612849e+29,2.0484985110816845e+29
with_shallow,stratified-power,high,1000,1.8818426460110437e+29,1.872037468362086e+29,1.7423148799983665e+29,2.0716702265279605e+29
with_shallow,unstratified-power,low,1000,2.2706851599600178e+29,2.2443570311409606e+29,1.7635755615535474e+29,2.8670671351569075e+29
with_shallow,unstratified-power,base,1000,3.737478660541069e+29,3.7017392176393266e+29,2.8574411343125153e+29,4.834573360975723e+29
with_shallow,unstratified-power,high,1000,4.926916263908566e+29,4.850550806820401e+29,3.659203021641565e+29,6.49650660494232e+29
