Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%
Perturbed Depth,87080.63758625886,87080.63758625888,1.4551915228366852e-11,87080.63758625888,87080.63758625888
Upper Crust Depth,82408.90808443548,82408.90808443549,1.4551915228366852e-11,82408.90808443549,82408.90808443549
Middle Crust Depth,4255.167349582378,4255.167349582376,1.8189894035458565e-12,4255.167349582376,4255.167349582376
Lower Crust Depth,415.96303517939845,415.9630351793984,5.684341886080802e-14,415.9630351793984,415.9630351793984
Mantle Depth,0.5958170616113742,0.595817061611374,1.1102230246251565e-16,0.595817061611374,0.595817061611374
Sampled UCC,6909736213049.193,6906012118734.498,160083399727.28287,6597891149355.023,7239777101064.721
Sampled MCC,778670921.0000001,778636500.0000002,1978921.0365143425,774824625.0000002,782720750.0000002
Sampled LCC,21887132.135,21884141.5,113309.31393897315,21679158.225,22103133.275
Sampled MNCC,2207144164.728999,2207566736.499998,45025248.934610106,2117932480.924998,2296752913.1749983
Upper Crust,1.0833892245053566e+32,1.0826341391510077e+32,2.820171456546984e+30,1.0271030172655751e+32,1.137454402813281e+32
Middle Crust,7.674224409886998e+26,7.675477566668856e+26,7.423922076309935e+24,7.526446578670114e+26,7.813156425837419e+26
Lower Crust,2.245462154320126e+24,2.2465576115565452e+24,1.4362206650968121e+23,1.9565498390943782e+24,2.5366274552836655e+24
Mantle,1.0799760505748427e+23,4.288910244523867e+20,4.246726838302894e+23,3.697336417692988e+19,2.031298141198437e+24
Total in Each Cell,1.083396922264364e+32,1.0826418499780026e+32,2.8201712248068707e+30,1.027110709852376e+32,1.1374621368066549e+32
