Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%
Perturbed Depth,135063.25468259395,135063.25468259395,0.0,135063.25468259395,135063.25468259395
Upper Crust Depth,111507.46976983875,111507.46976983879,4.3655745685100555e-11,111507.46976983879,111507.46976983879
Middle Crust Depth,18667.0865115705,18667.086511570502,3.637978807091713e-12,18667.086511570502,18667.086511570502
Lower Crust Depth,3141.7341874455255,3141.734187445526,4.547473508864641e-13,3141.734187445526,3141.734187445526
Mantle Depth,1746.9608137391117,1746.9608137391117,0.0,1746.9608137391117,1746.9608137391117
Sampled UCC,6909736213049.193,6906012118734.498,160083399727.28287,6597891149355.023,7239777101064.721
Sampled MCC,778670921.0000001,778636500.0000002,1978921.0365143425,774824625.0000002,782720750.0000002
Sampled LCC,21887132.135,21884141.5,113309.31393897315,21679158.225,22103133.275
Sampled MNCC,2207144164.728999,2207566736.499998,45025248.934610106,2117932480.924998,2296752913.1749983
Upper Crust,1.4309556516426014e+32,1.4309409187508238e+32,3.8901179282797123e+30,1.3550700037825734e+32,1.5034604506799179e+32
Middle Crust,3.181657460559911e+27,3.1824810087406425e+27,1.6396739499286567e+25,3.147545927227006e+27,3.212727601245352e+27
Lower Crust,1.683605186759296e+25,1.6821641277345494e+25,5.058732533001207e+23,1.5829601466884528e+25,1.7835540934878037e+25
Mantle,9.615937517715293e+26,9.457475232872028e+26,2.3865348898195733e+26,5.352001061357795e+26,1.474120447681204e+27
Total in Each Cell,1.4309972525152434e+32,1.4309815886953783e+32,3.890112145562931e+30,1.3551172493503685e+32,1.5035020992990283e+32
