Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%
Perturbed Depth,40355.75531386277,40355.75531386276,7.275957614183426e-12,40355.75531386276,40355.75531386276
Upper Crust Depth,39909.28800506313,39909.288005063136,7.275957614183426e-12,39909.288005063136,39909.288005063136
Middle Crust Depth,446.4667087996256,446.4667087996255,1.1368683772161603e-13,446.4667087996255,446.4667087996255
Lower Crust Depth,0.0,0.0,0.0,0.0,0.0
Mantle Depth,0.0,0.0,0.0,0.0,0.0
Sampled UCC,6909736213049.193,6906012118734.498,160083399727.28287,6597891149355.023,7239777101064.721
Sampled MCC,778670921.0000001,778636500.0000002,1978921.0365143425,774824625.0000002,782720750.0000002
Sampled LCC,21887132.135,21884141.5,113309.31393897315,21679158.225,22103133.275
Sampled MNCC,2207144164.728999,2207566736.499998,45025248.934610106,2117932480.924998,2296752913.1749983
Upper Crust,5.328044601309298e+31,5.323538166555646e+31,1.3578490783689635e+30,5.065274042095689e+31,5.60847631339177e+31
Middle Crust,8.098743065570998e+25,8.098922452969618e+25,1.1469973169941038e+24,7.868363987388614e+25,8.320482257785954e+25
Lower Crust,0.0,0.0,0.0,0.0,0.0
Mantle,0.0,0.0,0.0,0.0,0.0
Total in Each Cell,5.328052700052363e+31,5.3235461685017445e+31,1.3578490433322608e+30,5.065282072574942e+31,5.60848424135315e+31
