Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%
Perturbed Depth,135063.25468259395,135063.25468259395,0.0,135063.25468259395,135063.25468259395
Upper Crust Depth,111507.46976983875,111507.46976983879,4.3655745685100555e-11,111507.46976983879,111507.46976983879
Middle Crust Depth,18667.0865115705,18667.086511570502,3.637978807091713e-12,18667.086511570502,18667.086511570502
Lower Crust Depth,3141.7341874455255,3141.734187445526,4.547473508864641e-13,3141.734187445526,3141.734187445526
Mantle Depth,1746.9608137391117,1746.9608137391117,0.0,1746.9608137391117,1746.9608137391117
Sampled UCC,509878392.9750001,509964584.5000002,2740616.9772502095,504566185.1250001,515156148.25000024
Sampled MCC,778670921.0000001,778636500.0000002,1978921.0365143425,774824625.0000002,782720750.0000002
Sampled LCC,21887132.135,21884141.5,113309.31393897315,21679158.225,22103133.275
Sampled MNCC,130296666.49399994,130301452.99999991,2057185.5160118525,126368076.0999999,134105689.7499999
Upper Crust,1.0561606522585607e+28,1.0562252581577423e+28,6.764672232538314e+25,1.0424090402191368e+28,1.0693443409957292e+28
Middle Crust,3.181657460559911e+27,3.1824810087406425e+27,1.6396739499286567e+25,3.147545927227006e+27,3.212727601245352e+27
Lower Crust,1.683605186759296e+25,1.6821641277345494e+25,5.058732533001207e+23,1.5829601466884528e+25,1.7835540934878037e+25
Mantle,5.631313320228276e+25,5.618234853261448e+25,1.0427168697362845e+25,3.6701338667933633e+25,7.736987172227077e+25
Total in Each Cell,1.3816413168215391e+28,1.3815573870838303e+28,7.074801159241739e+25,1.3678424290841377e+28,1.3951757824059175e+28
