Layer,Total Mean,Total Median,Total Std,Total 2.5%,Total 97.5%
Perturbed Depth,40355.75531386277,40355.75531386276,7.275957614183426e-12,40355.75531386276,40355.75531386276
Upper Crust Depth,39909.28800506313,39909.288005063136,7.275957614183426e-12,39909.288005063136,39909.288005063136
Middle Crust Depth,446.4667087996256,446.4667087996255,1.1368683772161603e-13,446.4667087996255,446.4667087996255
Lower Crust Depth,0.0,0.0,0.0,0.0,0.0
Mantle Depth,0.0,0.0,0.0,0.0,0.0
Sampled UCC,509878392.9750001,509964584.5000002,2740616.9772502095,504566185.1250001,515156148.25000024
Sampled MCC,778670921.0000001,778636500.0000002,1978921.0365143425,774824625.0000002,782720750.0000002
Sampled LCC,21887132.135,21884141.5,113309.31393897315,21679158.225,22103133.275
Sampled MNCC,130296666.49399994,130301452.99999991,2057185.5160118525,126368076.0999999,134105689.7499999
Upper Crust,3.9304642508438273e+27,3.9318461911506036e+27,2.419133360531989e+25,3.8818704813161063e+27,3.979111375763935e+27
Middle Crust,8.098743065570998e+25,8.098922452969618e+25,1.1469973169941038e+24,7.868363987388614e+25,8.320482257785954e+25
Lower Crust,0.0,0.0,0.0,0.0,0.0
Mantle,0.0,0.0,0.0,0.0,0.0
Total in Each Cell,4.011451681499537e+27,4.013010488690127e+27,2.422614657458565e+25,3.962755675375804e+27,4.059822584887986e+27
