RTP-BZ-400-05,Volcanos,YoungRift,LithoRef18-1deg,gradient,Trench,TopoI1,Transform,MeanCurvature-TopoIso-corr,Susceptibility-Sz-LitMod-Aus17-Afr,Ridge,binned-SL2013-2deg,lon,lat,Depth2Moho,VP1,VP2,VP3,VS1,VS2,VS3,Hcc,is_land,maxdepth,maxdepth_sd,volume
-3.708778738975,306.770751953,-15.3500003815,58.1639938354,84.9,4300.0,-593.788391113,1877.0,-0.029139308780424,0.0154338092543062,1324.0,,-178.5,-77.5,25.9,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,24.8126,False,1.388235294117647,0.4622660207612457,3723.4560117270057
-3.5224899649625,330.190002441,21.8899993896,58.5679244995,54.1,4280.0,-579.617919922,1890.0,-0.0292165080458,0.0151796056888937,1323.0,,-177.5,-77.5,25.9,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,24.1734,False,2.177121771217712,1.1369235168366443,5839.368284073717
-2.23566582799,365.618438721,177.399993896,61.4500617981,66.05,4139.0,-489.080718994,1995.0,-0.025986832156768,0.0155793647281874,1333.0,,-170.5,-77.5,26.6,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,21.0699,False,1.7838246409674983,0.7632558221911424,4784.486182869169
-1.18946236372025,228.099411011,315.899993896,54.6670608521,28.5,4012.0,-437.471618652,2102.0,-0.026753151118756,0.0174129318911624,1371.0,,-164.5,-77.5,27.0,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,23.3607,False,4.125874125874126,4.083172771284659,11066.215419468374
-0.66283840686075,160.233154297,384.200012207,49.9154243469,52.1,3946.0,-593.382080078,2161.0,-0.025948268547648,0.0106307508540437,1401.0,,-161.5,-77.5,27.0,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,25.3645,False,2.260536398467433,1.2257130693912301,6063.098869670412
-4.5936280488975,191.442016602,38.9199981689,54.4002075195,38.204615,4393.0,-619.349243164,1821.0,-0.023536600843068,0.0164696602733,1336.0,,176.5,-77.5,25.2,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,23.7886,False,3.0805687513110365,2.276290152951742,8262.549068742645
-4.4280349016175,214.239379883,38.9099998474,55.463470459,58.808825,4375.0,-629.473388672,1831.0,-0.025104391500348,0.0165765320416625,1332.0,,177.5,-77.5,25.3,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,24.3609,False,2.0030954615034333,0.9624298896199878,5372.603527515537
-4.2550157308575,237.201705933,38.8699989319,56.6991157532,78.1988533333333,4357.0,-688.848693848,1841.0,-0.026568880304696,0.0157734626554937,1329.0,,178.5,-77.5,25.4,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,24.5537,False,1.507046335629607,0.5447773200722108,4042.1251081343503
-4.07636213303,260.278198242,14.9399995804,57.4782142639,62.217105,4338.0,-623.014465332,1853.0,-0.027794027701024,0.0155202454188937,1327.0,,179.5,-77.5,25.5,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,24.6762,False,1.8935411072128592,0.8600333327190466,5078.762259524018
-4.871797204015,75.4485549927,13.5699996948,61.7358436584,87.96,4681.0,-603.916992188,1643.0,-0.0111329305544436,0.0206274489173624,1350.0,,164.5,-76.5,26.8,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,25.2068,False,1.3399954576425166,0.43069760882482166,3876.4570361074143
-4.886028409005,84.0546264648,-36.8800010681,52.388923645,106.0,4631.0,-700.974731445,1652.0,-0.007910617180168,0.0236428813077375,1308.0,4.0,167.5,-76.5,26.0,5.96806225,6.484286644,6.639610506,3.443892632,3.686430302,3.788103086,21.4245,False,1.112158341187559,0.29668736747382346,3217.3497323244005
